EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-1157.477	-1437.489	1.022	1109.197	185.043	101.130	25.425
-1121.578	-1389.339	1.023	1062.646	182.729	95.246	24.573
-1084.612	-1342.501	1.024	1015.123	180.636	89.249	23.673
-1049.830	-1297.715	1.024	969.615	178.242	83.244	22.804
-1015.903	-1253.085	1.028	926.079	175.765	76.357	21.729
-985.799	-1212.446	1.026	883.100	173.669	71.081	20.894
-955.958	-1172.275	1.029	844.129	171.273	65.786	19.987
-924.662	-1131.976	1.032	804.748	169.088	60.419	19.004
-896.747	-1095.936	1.032	768.200	166.973	56.183	18.160
-869.913	-1060.991	1.035	733.095	164.740	51.443	17.264
-845.447	-1028.223	1.034	700.542	162.837	47.092	16.338
-822.634	-996.782	1.040	668.647	160.980	42.741	15.428
-802.135	-968.181	1.039	640.092	159.464	39.638	14.693
-781.092	-940.503	1.042	612.492	157.552	36.576	13.953
-762.049	-914.925	1.045	586.794	156.075	33.919	13.191
-742.823	-890.592	1.042	562.911	154.605	31.171	12.470
-727.454	-868.170	1.049	540.617	153.363	29.207	11.945
-710.867	-847.440	1.048	519.955	152.112	26.781	11.247
-695.925	-827.726	1.054	500.684	151.324	25.036	10.724
-682.808	-810.205	1.056	482.038	150.550	23.111	10.179
-669.986	-792.238	1.059	464.354	149.479	22.318	9.813
-658.208	-776.397	1.058	448.222	149.220	20.864	9.432
-646.164	-760.735	1.064	432.534	148.575	19.596	8.968
-635.295	-746.395	1.069	418.762	148.390	19.029	8.674
-625.732	-732.744	1.066	404.800	148.167	18.122	8.396
-614.711	-718.546	1.074	391.299	148.018	16.727	8.051
-604.995	-706.280	1.074	378.742	147.993	16.265	7.843
-595.796	-693.999	1.077	366.450	148.048	15.896	7.638
-587.243	-681.989	1.080	354.121	148.242	15.008	7.355
-577.550	-669.850	1.089	342.548	148.388	14.360	7.090
-569.931	-659.170	1.094	331.252	148.466	13.889	6.958
-561.886	-648.215	1.096	320.614	149.016	12.984	6.651
-553.256	-637.194	1.101	309.590	149.273	12.826	6.488
-545.898	-626.958	1.105	299.657	149.744	11.972	6.308
-538.221	-617.046	1.110	289.514	150.266	11.429	6.059
-531.391	-607.536	1.114	280.044	150.805	10.888	5.818
-525.004	-598.507	1.119	270.988	151.408	10.473	5.704
-517.794	-589.502	1.126	261.684	152.036	9.935	5.487
-511.976	-581.531	1.128	253.918	152.699	9.456	5.315
-506.040	-572.978	1.139	245.571	153.576	9.311	5.185
-500.202	-565.590	1.141	237.632	154.245	8.651	4.950
-494.765	-558.017	1.148	230.445	155.517	8.300	4.793
-489.231	-550.997	1.153	223.769	156.750	7.920	4.694
-484.671	-544.175	1.159	216.609	157.398	7.501	4.503
-480.027	-538.087	1.157	210.661	158.804	7.313	4.380
-475.481	-531.854	1.169	204.281	159.675	6.936	4.229
-471.583	-526.373	1.171	198.610	160.977	6.620	4.076
-467.341	-520.661	1.178	193.369	162.137	6.427	3.988
-463.850	-515.546	1.183	187.769	163.114	6.112	3.854
-460.133	-510.584	1.185	183.290	164.384	5.905	3.769
-456.674	-506.000	1.188	178.180	165.295	5.573	3.609
-453.857	-501.606	1.194	173.630	166.461	5.393	3.518
-450.579	-497.269	1.200	169.608	167.194	5.175	3.417
-447.760	-493.438	1.198	165.955	168.182	5.061	3.372
-445.167	-489.807	1.204	162.245	168.328	4.861	3.260
-442.478	-486.338	1.204	158.608	168.484	4.730	3.210
-440.214	-482.774	1.211	155.148	168.870	4.477	3.087
-437.666	-479.680	1.218	152.046	168.356	4.333	3.011
-435.451	-476.654	1.221	149.278	168.358	4.327	2.976
-433.307	-473.538	1.217	146.047	167.960	4.105	2.896
-431.416	-471.054	1.219	143.543	167.230	3.958	2.800
-429.433	-468.421	1.223	140.850	166.193	3.837	2.733
-427.452	-465.718	1.226	137.925	164.975	3.819	2.718
-425.379	-463.157	1.228	135.515	163.602	3.711	2.655
-423.504	-460.494	1.232	132.943	162.144	3.556	2.590
-421.775	-458.131	1.226	130.525	160.690	3.484	2.543
-420.009	-455.809	1.237	128.445	158.875	3.340	2.451
-418.232	-453.590	1.240	126.042	156.561	3.302	2.431
-416.518	-451.396	1.233	124.072	154.626	3.223	2.403
-414.596	-449.137	1.242	121.672	151.821	3.160	2.345
-413.199	-447.060	1.244	119.287	149.334	3.050	2.290
-411.480	-444.876	1.245	117.398	146.577	3.015	2.261
-409.920	-442.875	1.249	115.004	143.814	2.949	2.227
-408.224	-440.588	1.254	112.897	141.139	2.862	2.164
-406.610	-438.455	1.261	110.750	138.160	2.795	2.122
-404.924	-436.315	1.261	108.591	135.056	2.739	2.083
-403.347	-434.191	1.264	106.612	132.278	2.699	2.055
