SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
4779.319	2447.136	-2737.008	1.376	679.345	232.950	0.000	-0.000
4211.050	2158.430	-2460.876	1.376	594.050	242.714	0.000	-0.000
3731.406	1914.680	-2226.517	1.367	523.992	250.426	0.000	-0.000
3413.858	1749.241	-2075.509	1.364	466.168	256.001	0.000	-0.000
3134.502	1586.960	-1955.191	1.366	419.218	262.574	0.000	-0.000
2898.173	1446.278	-1857.501	1.370	380.944	267.741	0.000	-0.000
2734.854	1355.318	-1787.877	1.383	347.303	278.087	0.000	-0.000
2577.663	1255.035	-1728.692	1.397	318.531	288.556	0.000	-0.000
2458.391	1181.629	-1684.982	1.416	292.871	301.799	0.000	-0.000
2338.125	1091.503	-1654.949	1.432	271.176	315.245	0.000	-0.000
2249.517	1022.237	-1637.716	1.449	253.062	330.015	0.000	-0.000
2169.104	943.241	-1637.676	1.462	237.835	344.808	0.000	-0.000
2087.181	855.723	-1637.623	1.478	224.844	363.827	0.000	-0.000
2018.237	772.448	-1650.778	1.489	213.656	381.782	0.000	-0.000
1964.996	701.555	-1670.313	1.500	204.001	401.059	0.000	-0.000
1907.055	619.470	-1693.795	1.511	196.182	421.772	0.000	-0.000
1864.552	552.944	-1722.492	1.511	189.506	444.936	0.000	-0.000
1831.989	487.183	-1751.270	1.514	183.718	461.060	0.000	-0.000
1785.016	409.394	-1784.167	1.517	178.823	479.440	0.000	-0.000
1768.496	360.054	-1815.826	1.519	174.233	494.584	0.000	-0.000
1743.498	319.505	-1833.026	1.519	170.634	512.620	0.000	-0.000
1714.248	269.756	-1851.617	1.518	166.841	522.763	0.000	-0.000
1688.589	234.893	-1863.629	1.520	163.159	530.620	0.000	-0.000
1658.360	201.277	-1865.829	1.520	159.717	534.798	0.000	-0.000
1638.487	180.850	-1865.008	1.520	156.006	539.112	0.000	-0.000
1615.096	165.226	-1859.079	1.521	152.586	540.575	0.000	-0.000
1576.408	130.352	-1856.246	1.527	148.899	536.880	0.000	-0.000
1571.948	130.624	-1850.100	1.523	145.637	541.322	0.000	-0.000
1555.621	117.420	-1845.790	1.528	142.620	542.209	0.000	-0.000
1532.255	94.918	-1843.090	1.526	139.856	539.840	0.000	-0.000
1519.913	93.712	-1836.555	1.531	136.912	539.515	0.000	-0.000
1513.996	86.102	-1834.633	1.533	134.422	530.976	0.000	-0.000
1503.298	81.950	-1829.268	1.537	132.717	530.099	0.000	-0.000
1497.373	81.366	-1827.006	1.536	131.047	524.058	0.000	-0.000
1489.649	80.827	-1815.090	1.541	129.255	520.164	0.000	-0.000
1475.700	70.174	-1815.850	1.539	128.042	520.573	0.000	-0.000
1469.539	68.789	-1806.992	1.547	126.383	519.683	0.000	-0.000
1465.411	72.417	-1800.892	1.544	125.322	518.505	0.000	-0.000
1453.739	72.322	-1787.897	1.548	124.148	515.021	0.000	-0.000
1453.387	83.976	-1776.992	1.548	123.145	509.845	0.000	-0.000
1474.160	116.037	-1770.193	1.549	121.862	503.458	0.000	-0.000
1461.178	107.949	-1759.236	1.549	121.212	503.022	0.000	-0.000
1450.105	106.648	-1752.166	1.557	120.618	504.757	0.000	-0.000
1450.904	119.959	-1738.999	1.557	119.698	504.943	0.000	-0.000
1456.396	132.155	-1730.865	1.561	119.400	508.091	0.000	-0.000
1454.072	135.370	-1728.542	1.555	118.730	509.670	0.000	-0.000
1435.201	126.739	-1714.863	1.565	118.188	506.547	0.000	-0.000
