SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
13717.413	-1494.942	-15618.658	1.363	1536.967	201.012	177.290	167.770
13178.882	-1456.442	-15045.782	1.370	1474.698	200.257	175.571	168.636
12671.675	-1349.889	-14430.719	1.375	1408.627	199.880	164.220	159.277
12145.179	-1314.933	-13866.852	1.381	1353.172	203.045	167.196	158.508
11680.886	-1253.111	-13341.288	1.385	1294.740	204.229	158.386	151.058
11223.234	-1193.091	-12824.629	1.390	1245.310	207.272	158.800	150.887
10762.463	-1135.321	-12305.995	1.392	1193.739	208.443	154.623	147.381
10330.141	-1093.248	-11827.899	1.398	1137.433	208.904	143.602	142.931
9940.160	-1007.057	-11353.212	1.404	1090.281	211.340	137.816	137.580
9571.783	-983.113	-10961.834	1.409	1048.769	216.353	140.420	137.791
9226.736	-919.781	-10553.012	1.409	1005.411	213.730	135.991	134.601
8891.671	-864.580	-10165.256	1.415	972.198	218.759	134.408	128.233
8576.169	-820.025	-9807.992	1.416	931.950	217.079	128.423	127.754
8318.931	-774.443	-9501.148	1.420	896.693	218.245	124.060	122.062
8011.845	-743.391	-9163.943	1.420	867.612	221.368	124.727	122.214
7756.827	-707.815	-8872.200	1.423	836.825	225.223	121.588	115.705
7496.613	-672.109	-8572.778	1.420	807.061	231.390	115.599	112.400
7257.675	-630.703	-8298.309	1.421	779.098	227.918	116.148	112.819
7085.031	-597.240	-8090.187	1.418	756.801	231.936	112.165	107.634
6854.241	-548.373	-7812.262	1.415	733.990	234.720	114.808	106.382
6670.311	-517.085	-7590.769	1.419	712.454	235.174	112.402	103.404
6454.919	-494.352	-7358.797	1.413	691.396	234.129	110.668	101.332
6284.976	-450.784	-7140.158	1.411	668.028	240.619	104.866	98.283
6129.290	-428.637	-6965.855	1.411	649.664	242.423	103.741	94.831
5961.177	-420.442	-6785.383	1.408	633.109	246.567	101.302	92.493
5847.224	-345.974	-6604.554	1.402	617.787	246.525	102.944	91.939
5686.831	-332.156	-6426.482	1.399	596.995	246.834	100.208	85.666
5550.269	-319.051	-6275.628	1.395	583.166	251.980	98.308	86.585
5446.284	-284.479	-6137.129	1.391	570.487	251.105	97.657	86.753
5308.888	-282.785	-5997.479	1.388	554.460	250.779	96.248	82.936
5185.088	-274.586	-5867.977	1.385	541.334	255.539	94.485	78.428
5079.122	-256.638	-5737.726	1.383	526.645	255.802	91.046	76.895
4980.699	-243.146	-5627.828	1.379	513.343	256.591	89.283	75.666
4918.258	-186.594	-5517.048	1.377	501.496	254.737	87.701	73.786
4806.719	-189.657	-5403.608	1.371	492.727	256.991	88.914	71.437
4699.134	-184.424	-5293.330	1.369	480.192	258.086	85.793	69.767
4633.823	-165.432	-5206.365	1.370	469.896	257.923	84.516	69.580
4550.171	-142.870	-5102.714	1.369	459.547	256.234	81.688	67.827
