(199s) loss: 210.204,  ess: 2.871,  kl_eta_ex: 458.614,  kl_eta_in: 55.958,  kl_z_ex: 6.256,  kl_z_in: 0.689
(199s) loss: 182.613,  ess: 3.183,  kl_eta_ex: 233.387,  kl_eta_in: 42.468,  kl_z_ex: 3.054,  kl_z_in: 0.504
(199s) loss: 176.400,  ess: 3.531,  kl_eta_ex: 122.399,  kl_eta_in: 31.903,  kl_z_ex: 1.489,  kl_z_in: 0.362
(189s) loss: 159.368,  ess: 3.816,  kl_eta_ex: 68.952,  kl_eta_in: 25.530,  kl_z_ex: 1.001,  kl_z_in: 0.283
(185s) loss: 137.272,  ess: 4.141,  kl_eta_ex: 44.063,  kl_eta_in: 22.344,  kl_z_ex: 0.737,  kl_z_in: 0.220
(189s) loss: 121.511,  ess: 4.449,  kl_eta_ex: 28.318,  kl_eta_in: 18.440,  kl_z_ex: 0.582,  kl_z_in: 0.176
(192s) loss: 116.114,  ess: 4.774,  kl_eta_ex: 17.329,  kl_eta_in: 13.983,  kl_z_ex: 0.482,  kl_z_in: 0.132
(197s) loss: 111.111,  ess: 5.087,  kl_eta_ex: 11.098,  kl_eta_in: 10.647,  kl_z_ex: 0.380,  kl_z_in: 0.091
(197s) loss: 96.921,  ess: 5.318,  kl_eta_ex: 8.298,  kl_eta_in: 9.235,  kl_z_ex: 0.288,  kl_z_in: 0.065
(197s) loss: 79.825,  ess: 5.477,  kl_eta_ex: 7.215,  kl_eta_in: 8.933,  kl_z_ex: 0.227,  kl_z_in: 0.053
(198s) loss: 64.553,  ess: 5.607,  kl_eta_ex: 6.519,  kl_eta_in: 8.532,  kl_z_ex: 0.186,  kl_z_in: 0.045
(197s) loss: 53.615,  ess: 5.716,  kl_eta_ex: 5.851,  kl_eta_in: 8.184,  kl_z_ex: 0.159,  kl_z_in: 0.041
(198s) loss: 47.473,  ess: 5.813,  kl_eta_ex: 5.191,  kl_eta_in: 7.793,  kl_z_ex: 0.140,  kl_z_in: 0.038
(174s) loss: 44.150,  ess: 5.914,  kl_eta_ex: 4.622,  kl_eta_in: 7.474,  kl_z_ex: 0.123,  kl_z_in: 0.035
(173s) loss: 42.254,  ess: 5.996,  kl_eta_ex: 4.034,  kl_eta_in: 7.180,  kl_z_ex: 0.109,  kl_z_in: 0.033
(173s) loss: 41.754,  ess: 6.045,  kl_eta_ex: 3.634,  kl_eta_in: 6.804,  kl_z_ex: 0.100,  kl_z_in: 0.032
(193s) loss: 41.373,  ess: 6.101,  kl_eta_ex: 3.276,  kl_eta_in: 6.443,  kl_z_ex: 0.092,  kl_z_in: 0.030
(197s) loss: 41.444,  ess: 6.120,  kl_eta_ex: 3.059,  kl_eta_in: 6.187,  kl_z_ex: 0.086,  kl_z_in: 0.029
(197s) loss: 42.288,  ess: 6.104,  kl_eta_ex: 2.958,  kl_eta_in: 6.233,  kl_z_ex: 0.082,  kl_z_in: 0.029
(179s) loss: 44.535,  ess: 6.021,  kl_eta_ex: 3.235,  kl_eta_in: 7.446,  kl_z_ex: 0.083,  kl_z_in: 0.030
(185s) loss: 46.652,  ess: 5.912,  kl_eta_ex: 3.792,  kl_eta_in: 9.299,  kl_z_ex: 0.080,  kl_z_in: 0.030
(197s) loss: 46.107,  ess: 5.862,  kl_eta_ex: 4.268,  kl_eta_in: 10.944,  kl_z_ex: 0.071,  kl_z_in: 0.028
(178s) loss: 43.013,  ess: 5.953,  kl_eta_ex: 3.477,  kl_eta_in: 7.750,  kl_z_ex: 0.059,  kl_z_in: 0.021
(173s) loss: 40.612,  ess: 6.068,  kl_eta_ex: 2.741,  kl_eta_in: 5.218,  kl_z_ex: 0.051,  kl_z_in: 0.017
(176s) loss: 39.057,  ess: 6.184,  kl_eta_ex: 2.269,  kl_eta_in: 4.103,  kl_z_ex: 0.049,  kl_z_in: 0.016
(197s) loss: 38.107,  ess: 6.302,  kl_eta_ex: 1.893,  kl_eta_in: 3.275,  kl_z_ex: 0.047,  kl_z_in: 0.015
(197s) loss: 36.668,  ess: 6.432,  kl_eta_ex: 1.511,  kl_eta_in: 2.475,  kl_z_ex: 0.042,  kl_z_in: 0.013
(196s) loss: 35.998,  ess: 6.577,  kl_eta_ex: 1.216,  kl_eta_in: 1.908,  kl_z_ex: 0.042,  kl_z_in: 0.012
(197s) loss: 35.139,  ess: 6.746,  kl_eta_ex: 0.976,  kl_eta_in: 1.468,  kl_z_ex: 0.041,  kl_z_in: 0.012
(197s) loss: 34.758,  ess: 6.901,  kl_eta_ex: 0.768,  kl_eta_in: 1.111,  kl_z_ex: 0.040,  kl_z_in: 0.011
(197s) loss: 34.315,  ess: 7.082,  kl_eta_ex: 0.604,  kl_eta_in: 0.840,  kl_z_ex: 0.038,  kl_z_in: 0.010
(190s) loss: 33.923,  ess: 7.260,  kl_eta_ex: 0.469,  kl_eta_in: 0.629,  kl_z_ex: 0.037,  kl_z_in: 0.010
(172s) loss: 33.751,  ess: 7.437,  kl_eta_ex: 0.374,  kl_eta_in: 0.487,  kl_z_ex: 0.037,  kl_z_in: 0.010
(172s) loss: 33.622,  ess: 7.620,  kl_eta_ex: 0.286,  kl_eta_in: 0.361,  kl_z_ex: 0.034,  kl_z_in: 0.009
(172s) loss: 33.372,  ess: 7.803,  kl_eta_ex: 0.224,  kl_eta_in: 0.275,  kl_z_ex: 0.033,  kl_z_in: 0.009
(172s) loss: 33.463,  ess: 7.955,  kl_eta_ex: 0.165,  kl_eta_in: 0.196,  kl_z_ex: 0.030,  kl_z_in: 0.008
(172s) loss: 33.233,  ess: 8.139,  kl_eta_ex: 0.125,  kl_eta_in: 0.144,  kl_z_ex: 0.029,  kl_z_in: 0.008
(172s) loss: 33.685,  ess: 8.301,  kl_eta_ex: 0.097,  kl_eta_in: 0.109,  kl_z_ex: 0.029,  kl_z_in: 0.008
(173s) loss: 33.586,  ess: 8.428,  kl_eta_ex: 0.078,  kl_eta_in: 0.085,  kl_z_ex: 0.029,  kl_z_in: 0.008
