(182s) loss: 56.178061,  ess: 3.971987,  kl_eta_ex: 78.180031,  kl_eta_in: 25.391098,  kl_z_ex: 1.145910,  kl_z_in: 0.290653
(175s) loss: 24.038115,  ess: 5.493945,  kl_eta_ex: 9.187188,  kl_eta_in: 11.612046,  kl_z_ex: 0.233307,  kl_z_in: 0.060342
(164s) loss: 17.973742,  ess: 6.063127,  kl_eta_ex: 4.315553,  kl_eta_in: 8.484360,  kl_z_ex: 0.099727,  kl_z_in: 0.030854
(167s) loss: 18.015420,  ess: 6.034799,  kl_eta_ex: 4.374519,  kl_eta_in: 10.254105,  kl_z_ex: 0.060623,  kl_z_in: 0.021916
(168s) loss: 14.504742,  ess: 6.525958,  kl_eta_ex: 2.316135,  kl_eta_in: 4.194364,  kl_z_ex: 0.040366,  kl_z_in: 0.013021
(169s) loss: 13.688229,  ess: 7.415900,  kl_eta_ex: 0.772933,  kl_eta_in: 1.126185,  kl_z_ex: 0.032978,  kl_z_in: 0.009668
(158s) loss: 13.531185,  ess: 8.432129,  kl_eta_ex: 0.214244,  kl_eta_in: 0.267592,  kl_z_ex: 0.025926,  kl_z_in: 0.007519
(160s) loss: 13.546931,  ess: 9.201031,  kl_eta_ex: 0.054047,  kl_eta_in: 0.061144,  kl_z_ex: 0.019868,  kl_z_in: 0.006068
(163s) loss: 13.542517,  ess: 9.586028,  kl_eta_ex: 0.013474,  kl_eta_in: 0.014346,  kl_z_ex: 0.016023,  kl_z_in: 0.005207
(175s) loss: 13.361079,  ess: 9.772819,  kl_eta_ex: 0.001537,  kl_eta_in: 0.001563,  kl_z_ex: 0.011667,  kl_z_in: 0.004152
(173s) loss: 13.357902,  ess: 9.780842,  kl_eta_ex: 0.001173,  kl_eta_in: 0.001188,  kl_z_ex: 0.011357,  kl_z_in: 0.004083
(210s) loss: 13.248178,  ess: 9.787460,  kl_eta_ex: 0.000935,  kl_eta_in: 0.000938,  kl_z_ex: 0.010888,  kl_z_in: 0.003933
(301s) loss: 13.318703,  ess: 9.793197,  kl_eta_ex: 0.000741,  kl_eta_in: 0.000748,  kl_z_ex: 0.010477,  kl_z_in: 0.003833
(300s) loss: 13.233294,  ess: 9.799878,  kl_eta_ex: 0.000614,  kl_eta_in: 0.000608,  kl_z_ex: 0.010008,  kl_z_in: 0.003653
