(277s) loss: 256.563,  ess: 2.917,  kl_eta_ex: 247.415,  kl_eta_in: 52.465,  kl_z_ex: 4.996,  kl_z_in: 0.669
(250s) loss: 217.507,  ess: 3.253,  kl_eta_ex: 156.774,  kl_eta_in: 48.753,  kl_z_ex: 2.926,  kl_z_in: 0.512
(254s) loss: 182.858,  ess: 3.689,  kl_eta_ex: 102.229,  kl_eta_in: 47.075,  kl_z_ex: 1.640,  kl_z_in: 0.365
(251s) loss: 154.919,  ess: 4.121,  kl_eta_ex: 73.098,  kl_eta_in: 48.843,  kl_z_ex: 0.978,  kl_z_in: 0.260
(254s) loss: 135.667,  ess: 4.448,  kl_eta_ex: 59.029,  kl_eta_in: 54.587,  kl_z_ex: 0.652,  kl_z_in: 0.196
(256s) loss: 122.842,  ess: 4.625,  kl_eta_ex: 53.264,  kl_eta_in: 61.962,  kl_z_ex: 0.504,  kl_z_in: 0.162
(247s) loss: 112.238,  ess: 4.694,  kl_eta_ex: 50.985,  kl_eta_in: 68.084,  kl_z_ex: 0.439,  kl_z_in: 0.149
(249s) loss: 104.715,  ess: 4.712,  kl_eta_ex: 50.103,  kl_eta_in: 72.520,  kl_z_ex: 0.410,  kl_z_in: 0.145
(249s) loss: 101.030,  ess: 4.711,  kl_eta_ex: 49.923,  kl_eta_in: 75.805,  kl_z_ex: 0.398,  kl_z_in: 0.145
(253s) loss: 99.638,  ess: 4.706,  kl_eta_ex: 49.677,  kl_eta_in: 77.164,  kl_z_ex: 0.388,  kl_z_in: 0.143
(253s) loss: 98.713,  ess: 4.712,  kl_eta_ex: 49.371,  kl_eta_in: 77.823,  kl_z_ex: 0.381,  kl_z_in: 0.142
(253s) loss: 98.148,  ess: 4.721,  kl_eta_ex: 49.106,  kl_eta_in: 76.991,  kl_z_ex: 0.371,  kl_z_in: 0.139
(252s) loss: 97.596,  ess: 4.725,  kl_eta_ex: 48.919,  kl_eta_in: 76.408,  kl_z_ex: 0.359,  kl_z_in: 0.135
(252s) loss: 96.958,  ess: 4.736,  kl_eta_ex: 48.646,  kl_eta_in: 75.085,  kl_z_ex: 0.346,  kl_z_in: 0.131
(254s) loss: 96.457,  ess: 4.755,  kl_eta_ex: 48.451,  kl_eta_in: 73.820,  kl_z_ex: 0.336,  kl_z_in: 0.127
(251s) loss: 96.266,  ess: 4.766,  kl_eta_ex: 48.034,  kl_eta_in: 72.516,  kl_z_ex: 0.320,  kl_z_in: 0.121
(252s) loss: 96.113,  ess: 4.778,  kl_eta_ex: 47.847,  kl_eta_in: 70.840,  kl_z_ex: 0.306,  kl_z_in: 0.116
(255s) loss: 95.799,  ess: 4.797,  kl_eta_ex: 47.766,  kl_eta_in: 70.081,  kl_z_ex: 0.290,  kl_z_in: 0.111
(251s) loss: 95.513,  ess: 4.812,  kl_eta_ex: 47.748,  kl_eta_in: 69.274,  kl_z_ex: 0.276,  kl_z_in: 0.105
(248s) loss: 94.993,  ess: 4.820,  kl_eta_ex: 47.966,  kl_eta_in: 68.452,  kl_z_ex: 0.262,  kl_z_in: 0.100
(252s) loss: 94.487,  ess: 4.834,  kl_eta_ex: 48.195,  kl_eta_in: 67.974,  kl_z_ex: 0.251,  kl_z_in: 0.096
(254s) loss: 93.798,  ess: 4.851,  kl_eta_ex: 48.627,  kl_eta_in: 67.886,  kl_z_ex: 0.241,  kl_z_in: 0.093
(255s) loss: 93.124,  ess: 4.864,  kl_eta_ex: 49.186,  kl_eta_in: 67.644,  kl_z_ex: 0.234,  kl_z_in: 0.090
(254s) loss: 92.284,  ess: 4.868,  kl_eta_ex: 49.921,  kl_eta_in: 67.513,  kl_z_ex: 0.228,  kl_z_in: 0.088
(251s) loss: 91.572,  ess: 4.883,  kl_eta_ex: 50.833,  kl_eta_in: 67.936,  kl_z_ex: 0.223,  kl_z_in: 0.086
(250s) loss: 90.253,  ess: 4.901,  kl_eta_ex: 51.910,  kl_eta_in: 68.396,  kl_z_ex: 0.220,  kl_z_in: 0.085
(253s) loss: 89.154,  ess: 4.916,  kl_eta_ex: 52.934,  kl_eta_in: 68.594,  kl_z_ex: 0.219,  kl_z_in: 0.083
(252s) loss: 87.896,  ess: 4.940,  kl_eta_ex: 54.134,  kl_eta_in: 69.091,  kl_z_ex: 0.218,  kl_z_in: 0.081
(255s) loss: 86.978,  ess: 4.961,  kl_eta_ex: 54.859,  kl_eta_in: 68.629,  kl_z_ex: 0.218,  kl_z_in: 0.080
(254s) loss: 86.087,  ess: 4.983,  kl_eta_ex: 55.424,  kl_eta_in: 68.465,  kl_z_ex: 0.215,  kl_z_in: 0.078
(254s) loss: 85.886,  ess: 5.007,  kl_eta_ex: 55.364,  kl_eta_in: 67.717,  kl_z_ex: 0.212,  kl_z_in: 0.075
(253s) loss: 85.739,  ess: 5.023,  kl_eta_ex: 56.075,  kl_eta_in: 67.745,  kl_z_ex: 0.212,  kl_z_in: 0.074
(256s) loss: 84.917,  ess: 5.050,  kl_eta_ex: 56.476,  kl_eta_in: 67.539,  kl_z_ex: 0.210,  kl_z_in: 0.072
(254s) loss: 84.936,  ess: 5.064,  kl_eta_ex: 56.164,  kl_eta_in: 66.880,  kl_z_ex: 0.206,  kl_z_in: 0.069
(257s) loss: 84.075,  ess: 5.084,  kl_eta_ex: 56.617,  kl_eta_in: 66.617,  kl_z_ex: 0.202,  kl_z_in: 0.068
(252s) loss: 84.334,  ess: 5.108,  kl_eta_ex: 56.293,  kl_eta_in: 66.188,  kl_z_ex: 0.197,  kl_z_in: 0.065
(253s) loss: 82.734,  ess: 5.126,  kl_eta_ex: 56.093,  kl_eta_in: 65.859,  kl_z_ex: 0.192,  kl_z_in: 0.063
(248s) loss: 83.300,  ess: 5.144,  kl_eta_ex: 55.795,  kl_eta_in: 65.296,  kl_z_ex: 0.188,  kl_z_in: 0.061
(249s) loss: 82.851,  ess: 5.157,  kl_eta_ex: 55.648,  kl_eta_in: 64.912,  kl_z_ex: 0.183,  kl_z_in: 0.059
(250s) loss: 82.253,  ess: 5.165,  kl_eta_ex: 54.754,  kl_eta_in: 63.882,  kl_z_ex: 0.176,  kl_z_in: 0.057
(248s) loss: 82.345,  ess: 5.188,  kl_eta_ex: 54.725,  kl_eta_in: 63.377,  kl_z_ex: 0.174,  kl_z_in: 0.055
(249s) loss: 81.126,  ess: 5.200,  kl_eta_ex: 54.110,  kl_eta_in: 62.937,  kl_z_ex: 0.166,  kl_z_in: 0.053
(254s) loss: 80.798,  ess: 5.215,  kl_eta_ex: 53.766,  kl_eta_in: 62.152,  kl_z_ex: 0.162,  kl_z_in: 0.052
(250s) loss: 80.354,  ess: 5.224,  kl_eta_ex: 54.087,  kl_eta_in: 62.606,  kl_z_ex: 0.157,  kl_z_in: 0.050
(248s) loss: 80.494,  ess: 5.236,  kl_eta_ex: 52.625,  kl_eta_in: 60.627,  kl_z_ex: 0.153,  kl_z_in: 0.049
(252s) loss: 79.598,  ess: 5.246,  kl_eta_ex: 52.323,  kl_eta_in: 60.405,  kl_z_ex: 0.149,  kl_z_in: 0.047
(253s) loss: 78.808,  ess: 5.253,  kl_eta_ex: 51.929,  kl_eta_in: 59.980,  kl_z_ex: 0.141,  kl_z_in: 0.046
(255s) loss: 78.952,  ess: 5.263,  kl_eta_ex: 51.413,  kl_eta_in: 59.304,  kl_z_ex: 0.139,  kl_z_in: 0.044
(255s) loss: 78.335,  ess: 5.273,  kl_eta_ex: 50.898,  kl_eta_in: 58.961,  kl_z_ex: 0.133,  kl_z_in: 0.043
(249s) loss: 77.478,  ess: 5.274,  kl_eta_ex: 50.488,  kl_eta_in: 58.198,  kl_z_ex: 0.129,  kl_z_in: 0.042
(252s) loss: 77.525,  ess: 5.282,  kl_eta_ex: 50.096,  kl_eta_in: 58.039,  kl_z_ex: 0.124,  kl_z_in: 0.040
(248s) loss: 76.934,  ess: 5.291,  kl_eta_ex: 49.422,  kl_eta_in: 57.182,  kl_z_ex: 0.120,  kl_z_in: 0.039
(252s) loss: 77.118,  ess: 5.290,  kl_eta_ex: 49.158,  kl_eta_in: 57.147,  kl_z_ex: 0.117,  kl_z_in: 0.038
