(181s) loss: 61.618958,  ess: 3.750571,  kl_eta_ex: 166.962155,  kl_eta_in: 40.434275,  kl_z_ex: 1.849682,  kl_z_in: 0.354561
(180s) loss: 31.889756,  ess: 5.206958,  kl_eta_ex: 19.452919,  kl_eta_in: 23.219113,  kl_z_ex: 0.228747,  kl_z_in: 0.083738
(172s) loss: 17.221128,  ess: 5.995084,  kl_eta_ex: 5.989076,  kl_eta_in: 10.104419,  kl_z_ex: 0.085721,  kl_z_in: 0.030860
(174s) loss: 14.431718,  ess: 6.657185,  kl_eta_ex: 2.986957,  kl_eta_in: 6.159872,  kl_z_ex: 0.045674,  kl_z_in: 0.018332
(169s) loss: 12.391138,  ess: 7.346992,  kl_eta_ex: 1.354829,  kl_eta_in: 2.666410,  kl_z_ex: 0.022663,  kl_z_in: 0.009614
(171s) loss: 11.330592,  ess: 8.171722,  kl_eta_ex: 0.473879,  kl_eta_in: 0.778516,  kl_z_ex: 0.013153,  kl_z_in: 0.005933
(170s) loss: 11.006826,  ess: 8.961593,  kl_eta_ex: 0.141485,  kl_eta_in: 0.204537,  kl_z_ex: 0.010236,  kl_z_in: 0.004806
(171s) loss: 10.955470,  ess: 9.468564,  kl_eta_ex: 0.038693,  kl_eta_in: 0.048079,  kl_z_ex: 0.008958,  kl_z_in: 0.004306
(171s) loss: 10.945139,  ess: 9.705982,  kl_eta_ex: 0.011104,  kl_eta_in: 0.012606,  kl_z_ex: 0.008077,  kl_z_in: 0.003884
(170s) loss: 10.946667,  ess: 9.798974,  kl_eta_ex: 0.003748,  kl_eta_in: 0.003923,  kl_z_ex: 0.007172,  kl_z_in: 0.003401
(170s) loss: 10.969716,  ess: 9.837628,  kl_eta_ex: 0.001656,  kl_eta_in: 0.001631,  kl_z_ex: 0.006354,  kl_z_in: 0.002948
