(264s) loss: 61.097,  ess: 3.964,  kl_eta_ex: 96.478,  kl_eta_in: 49.956,  kl_z_ex: 1.148,  kl_z_in: 0.308
(196s) loss: 50.394,  ess: 4.774,  kl_eta_ex: 46.985,  kl_eta_in: 69.283,  kl_z_ex: 0.362,  kl_z_in: 0.140
(89s) loss: 43.581,  ess: 4.885,  kl_eta_ex: 47.913,  kl_eta_in: 77.719,  kl_z_ex: 0.312,  kl_z_in: 0.119
(88s) loss: 42.698,  ess: 4.902,  kl_eta_ex: 48.237,  kl_eta_in: 78.388,  kl_z_ex: 0.309,  kl_z_in: 0.117
(90s) loss: 42.008,  ess: 4.919,  kl_eta_ex: 48.480,  kl_eta_in: 78.823,  kl_z_ex: 0.303,  kl_z_in: 0.114
(89s) loss: 41.187,  ess: 4.938,  kl_eta_ex: 48.793,  kl_eta_in: 78.669,  kl_z_ex: 0.297,  kl_z_in: 0.111
(88s) loss: 40.413,  ess: 4.959,  kl_eta_ex: 48.884,  kl_eta_in: 78.583,  kl_z_ex: 0.291,  kl_z_in: 0.108
(81s) loss: 39.783,  ess: 4.976,  kl_eta_ex: 49.244,  kl_eta_in: 78.839,  kl_z_ex: 0.285,  kl_z_in: 0.106
(84s) loss: 39.080,  ess: 5.000,  kl_eta_ex: 49.600,  kl_eta_in: 78.516,  kl_z_ex: 0.278,  kl_z_in: 0.103
(80s) loss: 38.254,  ess: 5.019,  kl_eta_ex: 49.922,  kl_eta_in: 78.772,  kl_z_ex: 0.273,  kl_z_in: 0.100
(82s) loss: 37.589,  ess: 5.034,  kl_eta_ex: 50.304,  kl_eta_in: 77.934,  kl_z_ex: 0.268,  kl_z_in: 0.097
(91s) loss: 37.048,  ess: 5.050,  kl_eta_ex: 50.499,  kl_eta_in: 77.151,  kl_z_ex: 0.261,  kl_z_in: 0.094
(88s) loss: 36.405,  ess: 5.069,  kl_eta_ex: 51.148,  kl_eta_in: 77.755,  kl_z_ex: 0.258,  kl_z_in: 0.092
(83s) loss: 35.750,  ess: 5.087,  kl_eta_ex: 51.418,  kl_eta_in: 76.947,  kl_z_ex: 0.253,  kl_z_in: 0.090
(88s) loss: 35.217,  ess: 5.102,  kl_eta_ex: 51.897,  kl_eta_in: 76.582,  kl_z_ex: 0.249,  kl_z_in: 0.088
(85s) loss: 34.707,  ess: 5.120,  kl_eta_ex: 52.328,  kl_eta_in: 76.057,  kl_z_ex: 0.245,  kl_z_in: 0.086
(171s) loss: 33.777,  ess: 5.155,  kl_eta_ex: 52.873,  kl_eta_in: 74.961,  kl_z_ex: 0.238,  kl_z_in: 0.083
(161s) loss: 32.929,  ess: 5.170,  kl_eta_ex: 53.282,  kl_eta_in: 73.846,  kl_z_ex: 0.233,  kl_z_in: 0.081
(167s) loss: 32.259,  ess: 5.201,  kl_eta_ex: 53.804,  kl_eta_in: 72.883,  kl_z_ex: 0.227,  kl_z_in: 0.078
(157s) loss: 31.603,  ess: 5.225,  kl_eta_ex: 53.735,  kl_eta_in: 71.579,  kl_z_ex: 0.222,  kl_z_in: 0.075
(165s) loss: 31.039,  ess: 5.248,  kl_eta_ex: 53.912,  kl_eta_in: 70.386,  kl_z_ex: 0.217,  kl_z_in: 0.073
(156s) loss: 30.482,  ess: 5.274,  kl_eta_ex: 54.264,  kl_eta_in: 69.993,  kl_z_ex: 0.211,  kl_z_in: 0.070
(164s) loss: 29.945,  ess: 5.296,  kl_eta_ex: 53.983,  kl_eta_in: 68.815,  kl_z_ex: 0.204,  kl_z_in: 0.068
(164s) loss: 29.564,  ess: 5.319,  kl_eta_ex: 54.463,  kl_eta_in: 68.280,  kl_z_ex: 0.202,  kl_z_in: 0.066
(156s) loss: 29.147,  ess: 5.335,  kl_eta_ex: 53.737,  kl_eta_in: 67.055,  kl_z_ex: 0.192,  kl_z_in: 0.063
(155s) loss: 28.741,  ess: 5.360,  kl_eta_ex: 53.649,  kl_eta_in: 66.804,  kl_z_ex: 0.188,  kl_z_in: 0.061
(169s) loss: 27.913,  ess: 5.426,  kl_eta_ex: 52.044,  kl_eta_in: 65.696,  kl_z_ex: 0.165,  kl_z_in: 0.054
(162s) loss: 27.068,  ess: 5.475,  kl_eta_ex: 48.849,  kl_eta_in: 65.679,  kl_z_ex: 0.132,  kl_z_in: 0.044
