(359s) loss: 261.460,  ess: 2.986,  kl_eta_ex: 346.656,  kl_eta_in: 64.390,  kl_z_ex: 5.083,  kl_z_in: 0.639
(352s) loss: 198.505,  ess: 3.343,  kl_eta_ex: 205.042,  kl_eta_in: 57.344,  kl_z_ex: 2.581,  kl_z_in: 0.470
(356s) loss: 173.071,  ess: 3.679,  kl_eta_ex: 134.388,  kl_eta_in: 55.551,  kl_z_ex: 1.467,  kl_z_in: 0.357
(367s) loss: 155.228,  ess: 3.970,  kl_eta_ex: 98.504,  kl_eta_in: 59.516,  kl_z_ex: 0.965,  kl_z_in: 0.280
(358s) loss: 138.923,  ess: 4.219,  kl_eta_ex: 79.926,  kl_eta_in: 67.930,  kl_z_ex: 0.735,  kl_z_in: 0.233
(358s) loss: 123.903,  ess: 4.379,  kl_eta_ex: 70.344,  kl_eta_in: 76.734,  kl_z_ex: 0.621,  kl_z_in: 0.205
(351s) loss: 112.819,  ess: 4.474,  kl_eta_ex: 63.778,  kl_eta_in: 81.330,  kl_z_ex: 0.538,  kl_z_in: 0.185
(352s) loss: 108.222,  ess: 4.542,  kl_eta_ex: 58.268,  kl_eta_in: 81.738,  kl_z_ex: 0.469,  kl_z_in: 0.169
(359s) loss: 107.457,  ess: 4.594,  kl_eta_ex: 53.552,  kl_eta_in: 79.797,  kl_z_ex: 0.405,  kl_z_in: 0.155
(352s) loss: 107.588,  ess: 4.662,  kl_eta_ex: 50.106,  kl_eta_in: 77.114,  kl_z_ex: 0.357,  kl_z_in: 0.142
(354s) loss: 107.745,  ess: 4.716,  kl_eta_ex: 48.072,  kl_eta_in: 74.673,  kl_z_ex: 0.322,  kl_z_in: 0.132
(353s) loss: 107.163,  ess: 4.723,  kl_eta_ex: 47.128,  kl_eta_in: 74.831,  kl_z_ex: 0.313,  kl_z_in: 0.128
(352s) loss: 104.106,  ess: 4.719,  kl_eta_ex: 47.211,  kl_eta_in: 78.357,  kl_z_ex: 0.324,  kl_z_in: 0.129
(351s) loss: 101.788,  ess: 4.743,  kl_eta_ex: 47.407,  kl_eta_in: 81.040,  kl_z_ex: 0.323,  kl_z_in: 0.127
(349s) loss: 100.494,  ess: 4.757,  kl_eta_ex: 47.478,  kl_eta_in: 82.188,  kl_z_ex: 0.317,  kl_z_in: 0.124
(349s) loss: 99.731,  ess: 4.771,  kl_eta_ex: 47.395,  kl_eta_in: 82.011,  kl_z_ex: 0.307,  kl_z_in: 0.119
(349s) loss: 99.514,  ess: 4.785,  kl_eta_ex: 47.267,  kl_eta_in: 81.316,  kl_z_ex: 0.297,  kl_z_in: 0.115
(350s) loss: 99.103,  ess: 4.791,  kl_eta_ex: 47.098,  kl_eta_in: 80.558,  kl_z_ex: 0.285,  kl_z_in: 0.110
(353s) loss: 98.873,  ess: 4.799,  kl_eta_ex: 46.913,  kl_eta_in: 79.543,  kl_z_ex: 0.274,  kl_z_in: 0.106
(352s) loss: 98.370,  ess: 4.817,  kl_eta_ex: 46.932,  kl_eta_in: 78.838,  kl_z_ex: 0.265,  kl_z_in: 0.102
(351s) loss: 97.674,  ess: 4.833,  kl_eta_ex: 46.930,  kl_eta_in: 78.433,  kl_z_ex: 0.256,  kl_z_in: 0.098
(350s) loss: 97.027,  ess: 4.848,  kl_eta_ex: 46.923,  kl_eta_in: 78.297,  kl_z_ex: 0.246,  kl_z_in: 0.094
(350s) loss: 96.126,  ess: 4.858,  kl_eta_ex: 46.856,  kl_eta_in: 78.176,  kl_z_ex: 0.237,  kl_z_in: 0.090
(350s) loss: 94.999,  ess: 4.882,  kl_eta_ex: 46.729,  kl_eta_in: 77.918,  kl_z_ex: 0.229,  kl_z_in: 0.087
(348s) loss: 94.249,  ess: 4.899,  kl_eta_ex: 46.796,  kl_eta_in: 77.703,  kl_z_ex: 0.223,  kl_z_in: 0.083
(352s) loss: 93.382,  ess: 4.912,  kl_eta_ex: 46.555,  kl_eta_in: 77.377,  kl_z_ex: 0.214,  kl_z_in: 0.080
(349s) loss: 92.623,  ess: 4.929,  kl_eta_ex: 46.709,  kl_eta_in: 76.719,  kl_z_ex: 0.208,  kl_z_in: 0.078
(349s) loss: 91.968,  ess: 4.945,  kl_eta_ex: 46.522,  kl_eta_in: 75.997,  kl_z_ex: 0.200,  kl_z_in: 0.075
(349s) loss: 91.445,  ess: 4.965,  kl_eta_ex: 46.350,  kl_eta_in: 75.832,  kl_z_ex: 0.192,  kl_z_in: 0.072
(351s) loss: 90.572,  ess: 4.982,  kl_eta_ex: 46.443,  kl_eta_in: 75.550,  kl_z_ex: 0.187,  kl_z_in: 0.070
(350s) loss: 90.030,  ess: 4.996,  kl_eta_ex: 46.217,  kl_eta_in: 75.166,  kl_z_ex: 0.181,  kl_z_in: 0.067
(350s) loss: 89.272,  ess: 5.017,  kl_eta_ex: 46.065,  kl_eta_in: 74.641,  kl_z_ex: 0.174,  kl_z_in: 0.065
(350s) loss: 88.768,  ess: 5.042,  kl_eta_ex: 46.210,  kl_eta_in: 74.342,  kl_z_ex: 0.168,  kl_z_in: 0.062
(349s) loss: 88.054,  ess: 5.059,  kl_eta_ex: 46.390,  kl_eta_in: 74.530,  kl_z_ex: 0.163,  kl_z_in: 0.061
(351s) loss: 87.351,  ess: 5.077,  kl_eta_ex: 46.034,  kl_eta_in: 74.051,  kl_z_ex: 0.158,  kl_z_in: 0.058
(353s) loss: 86.819,  ess: 5.091,  kl_eta_ex: 45.852,  kl_eta_in: 73.156,  kl_z_ex: 0.151,  kl_z_in: 0.056
(354s) loss: 86.163,  ess: 5.117,  kl_eta_ex: 46.310,  kl_eta_in: 73.185,  kl_z_ex: 0.150,  kl_z_in: 0.055
(350s) loss: 85.602,  ess: 5.128,  kl_eta_ex: 46.274,  kl_eta_in: 73.119,  kl_z_ex: 0.145,  kl_z_in: 0.053
(352s) loss: 84.893,  ess: 5.140,  kl_eta_ex: 46.422,  kl_eta_in: 72.497,  kl_z_ex: 0.140,  kl_z_in: 0.051
(349s) loss: 84.236,  ess: 5.159,  kl_eta_ex: 46.222,  kl_eta_in: 72.011,  kl_z_ex: 0.135,  kl_z_in: 0.049
(353s) loss: 83.801,  ess: 5.171,  kl_eta_ex: 46.318,  kl_eta_in: 70.835,  kl_z_ex: 0.132,  kl_z_in: 0.048
(350s) loss: 83.428,  ess: 5.187,  kl_eta_ex: 46.500,  kl_eta_in: 70.089,  kl_z_ex: 0.125,  kl_z_in: 0.046
(353s) loss: 82.697,  ess: 5.191,  kl_eta_ex: 46.884,  kl_eta_in: 68.232,  kl_z_ex: 0.122,  kl_z_in: 0.044
(351s) loss: 81.999,  ess: 5.207,  kl_eta_ex: 46.934,  kl_eta_in: 66.671,  kl_z_ex: 0.117,  kl_z_in: 0.043
(349s) loss: 81.218,  ess: 5.214,  kl_eta_ex: 47.387,  kl_eta_in: 65.345,  kl_z_ex: 0.112,  kl_z_in: 0.041
(350s) loss: 80.345,  ess: 5.231,  kl_eta_ex: 47.567,  kl_eta_in: 64.661,  kl_z_ex: 0.109,  kl_z_in: 0.039
(350s) loss: 79.855,  ess: 5.234,  kl_eta_ex: 47.781,  kl_eta_in: 63.523,  kl_z_ex: 0.103,  kl_z_in: 0.037
(352s) loss: 79.102,  ess: 5.241,  kl_eta_ex: 47.561,  kl_eta_in: 62.616,  kl_z_ex: 0.099,  kl_z_in: 0.035
