(287s) loss: 151.329,  ess: 3.439,  kl_eta_ex: 112.163,  kl_eta_in: 6.657,  kl_z_ex: 3.042,  kl_z_in: 0.500
(365s) loss: 138.230,  ess: 3.790,  kl_eta_ex: 43.130,  kl_eta_in: 5.860,  kl_z_ex: 1.136,  kl_z_in: 0.315
(365s) loss: 120.820,  ess: 3.964,  kl_eta_ex: 49.657,  kl_eta_in: 5.706,  kl_z_ex: 1.236,  kl_z_in: 0.289
(366s) loss: 100.991,  ess: 4.329,  kl_eta_ex: 61.962,  kl_eta_in: 6.341,  kl_z_ex: 1.284,  kl_z_in: 0.257
(364s) loss: 86.598,  ess: 4.621,  kl_eta_ex: 70.367,  kl_eta_in: 6.954,  kl_z_ex: 1.112,  kl_z_in: 0.220
(364s) loss: 77.893,  ess: 4.804,  kl_eta_ex: 74.093,  kl_eta_in: 7.463,  kl_z_ex: 0.902,  kl_z_in: 0.188
(365s) loss: 69.930,  ess: 4.922,  kl_eta_ex: 79.240,  kl_eta_in: 7.771,  kl_z_ex: 0.786,  kl_z_in: 0.168
(365s) loss: 62.650,  ess: 5.028,  kl_eta_ex: 82.898,  kl_eta_in: 7.291,  kl_z_ex: 0.709,  kl_z_in: 0.153
(365s) loss: 57.512,  ess: 5.113,  kl_eta_ex: 80.718,  kl_eta_in: 6.895,  kl_z_ex: 0.628,  kl_z_in: 0.140
(365s) loss: 53.862,  ess: 5.182,  kl_eta_ex: 68.494,  kl_eta_in: 6.914,  kl_z_ex: 0.568,  kl_z_in: 0.131
(374s) loss: 50.119,  ess: 5.264,  kl_eta_ex: 58.134,  kl_eta_in: 6.827,  kl_z_ex: 0.519,  kl_z_in: 0.117
(392s) loss: 45.756,  ess: 5.374,  kl_eta_ex: 43.637,  kl_eta_in: 6.353,  kl_z_ex: 0.438,  kl_z_in: 0.092
(428s) loss: 41.190,  ess: 5.555,  kl_eta_ex: 28.715,  kl_eta_in: 5.374,  kl_z_ex: 0.334,  kl_z_in: 0.064
(364s) loss: 37.876,  ess: 5.693,  kl_eta_ex: 21.346,  kl_eta_in: 4.571,  kl_z_ex: 0.263,  kl_z_in: 0.046
(365s) loss: 35.576,  ess: 5.779,  kl_eta_ex: 16.940,  kl_eta_in: 3.964,  kl_z_ex: 0.216,  kl_z_in: 0.036
(365s) loss: 34.123,  ess: 5.848,  kl_eta_ex: 14.028,  kl_eta_in: 3.512,  kl_z_ex: 0.186,  kl_z_in: 0.030
(365s) loss: 32.698,  ess: 5.906,  kl_eta_ex: 11.891,  kl_eta_in: 3.145,  kl_z_ex: 0.158,  kl_z_in: 0.025
(364s) loss: 31.768,  ess: 5.957,  kl_eta_ex: 10.320,  kl_eta_in: 2.847,  kl_z_ex: 0.133,  kl_z_in: 0.022
(364s) loss: 30.929,  ess: 6.006,  kl_eta_ex: 9.117,  kl_eta_in: 2.581,  kl_z_ex: 0.117,  kl_z_in: 0.019
(364s) loss: 30.423,  ess: 6.047,  kl_eta_ex: 8.148,  kl_eta_in: 2.369,  kl_z_ex: 0.103,  kl_z_in: 0.016
(365s) loss: 29.766,  ess: 6.095,  kl_eta_ex: 7.308,  kl_eta_in: 2.172,  kl_z_ex: 0.089,  kl_z_in: 0.014
(364s) loss: 29.337,  ess: 6.131,  kl_eta_ex: 6.707,  kl_eta_in: 2.031,  kl_z_ex: 0.078,  kl_z_in: 0.013
(364s) loss: 29.201,  ess: 6.168,  kl_eta_ex: 6.141,  kl_eta_in: 1.894,  kl_z_ex: 0.069,  kl_z_in: 0.011
(364s) loss: 28.815,  ess: 6.203,  kl_eta_ex: 5.624,  kl_eta_in: 1.784,  kl_z_ex: 0.061,  kl_z_in: 0.010
(364s) loss: 28.558,  ess: 6.226,  kl_eta_ex: 5.201,  kl_eta_in: 1.695,  kl_z_ex: 0.053,  kl_z_in: 0.009
(365s) loss: 28.299,  ess: 6.254,  kl_eta_ex: 4.893,  kl_eta_in: 1.615,  kl_z_ex: 0.049,  kl_z_in: 0.008
(364s) loss: 28.067,  ess: 6.284,  kl_eta_ex: 4.619,  kl_eta_in: 1.551,  kl_z_ex: 0.043,  kl_z_in: 0.007
(363s) loss: 27.953,  ess: 6.310,  kl_eta_ex: 4.377,  kl_eta_in: 1.494,  kl_z_ex: 0.039,  kl_z_in: 0.007
(364s) loss: 27.827,  ess: 6.334,  kl_eta_ex: 4.131,  kl_eta_in: 1.445,  kl_z_ex: 0.035,  kl_z_in: 0.006
(364s) loss: 27.820,  ess: 6.357,  kl_eta_ex: 3.945,  kl_eta_in: 1.396,  kl_z_ex: 0.032,  kl_z_in: 0.006
(365s) loss: 27.688,  ess: 6.378,  kl_eta_ex: 3.780,  kl_eta_in: 1.354,  kl_z_ex: 0.032,  kl_z_in: 0.005
(364s) loss: 27.599,  ess: 6.401,  kl_eta_ex: 3.603,  kl_eta_in: 1.315,  kl_z_ex: 0.030,  kl_z_in: 0.005
(364s) loss: 27.607,  ess: 6.419,  kl_eta_ex: 3.463,  kl_eta_in: 1.277,  kl_z_ex: 0.029,  kl_z_in: 0.005
(364s) loss: 27.499,  ess: 6.446,  kl_eta_ex: 3.287,  kl_eta_in: 1.238,  kl_z_ex: 0.024,  kl_z_in: 0.005
(364s) loss: 27.362,  ess: 6.469,  kl_eta_ex: 3.183,  kl_eta_in: 1.204,  kl_z_ex: 0.023,  kl_z_in: 0.004
(365s) loss: 27.346,  ess: 6.494,  kl_eta_ex: 3.090,  kl_eta_in: 1.169,  kl_z_ex: 0.021,  kl_z_in: 0.004
(365s) loss: 27.393,  ess: 6.505,  kl_eta_ex: 3.010,  kl_eta_in: 1.141,  kl_z_ex: 0.019,  kl_z_in: 0.004
(364s) loss: 27.272,  ess: 6.534,  kl_eta_ex: 2.922,  kl_eta_in: 1.105,  kl_z_ex: 0.018,  kl_z_in: 0.004
(364s) loss: 27.248,  ess: 6.541,  kl_eta_ex: 2.859,  kl_eta_in: 1.082,  kl_z_ex: 0.019,  kl_z_in: 0.004
(364s) loss: 27.235,  ess: 6.556,  kl_eta_ex: 2.793,  kl_eta_in: 1.054,  kl_z_ex: 0.017,  kl_z_in: 0.004
(365s) loss: 27.049,  ess: 6.574,  kl_eta_ex: 2.738,  kl_eta_in: 1.031,  kl_z_ex: 0.016,  kl_z_in: 0.004
(364s) loss: 27.103,  ess: 6.591,  kl_eta_ex: 2.674,  kl_eta_in: 1.011,  kl_z_ex: 0.015,  kl_z_in: 0.003
(365s) loss: 27.001,  ess: 6.604,  kl_eta_ex: 2.620,  kl_eta_in: 0.994,  kl_z_ex: 0.014,  kl_z_in: 0.003
(364s) loss: 27.150,  ess: 6.607,  kl_eta_ex: 2.601,  kl_eta_in: 0.977,  kl_z_ex: 0.014,  kl_z_in: 0.003
(364s) loss: 26.999,  ess: 6.617,  kl_eta_ex: 2.560,  kl_eta_in: 0.961,  kl_z_ex: 0.014,  kl_z_in: 0.003
(364s) loss: 26.994,  ess: 6.624,  kl_eta_ex: 2.500,  kl_eta_in: 0.947,  kl_z_ex: 0.012,  kl_z_in: 0.003
(365s) loss: 26.967,  ess: 6.640,  kl_eta_ex: 2.461,  kl_eta_in: 0.935,  kl_z_ex: 0.012,  kl_z_in: 0.003
(365s) loss: 26.868,  ess: 6.650,  kl_eta_ex: 2.418,  kl_eta_in: 0.923,  kl_z_ex: 0.012,  kl_z_in: 0.003
(364s) loss: 27.000,  ess: 6.657,  kl_eta_ex: 2.410,  kl_eta_in: 0.914,  kl_z_ex: 0.011,  kl_z_in: 0.003
(364s) loss: 26.794,  ess: 6.660,  kl_eta_ex: 2.343,  kl_eta_in: 0.903,  kl_z_ex: 0.011,  kl_z_in: 0.003
