(354s) loss: 148.667,  ess: 3.521,  kl_eta_ex: 108.707,  kl_eta_in: 6.990,  kl_z_ex: 2.851,  kl_z_in: 0.473
(352s) loss: 134.937,  ess: 3.690,  kl_eta_ex: 31.420,  kl_eta_in: 5.051,  kl_z_ex: 1.146,  kl_z_in: 0.315
(350s) loss: 109.319,  ess: 3.904,  kl_eta_ex: 38.532,  kl_eta_in: 5.608,  kl_z_ex: 1.976,  kl_z_in: 0.324
(353s) loss: 80.885,  ess: 4.490,  kl_eta_ex: 33.579,  kl_eta_in: 5.548,  kl_z_ex: 1.831,  kl_z_in: 0.233
(357s) loss: 61.912,  ess: 4.962,  kl_eta_ex: 23.809,  kl_eta_in: 4.924,  kl_z_ex: 1.172,  kl_z_in: 0.145
(351s) loss: 50.929,  ess: 5.271,  kl_eta_ex: 17.813,  kl_eta_in: 4.613,  kl_z_ex: 0.704,  kl_z_in: 0.092
(353s) loss: 44.657,  ess: 5.475,  kl_eta_ex: 14.542,  kl_eta_in: 4.443,  kl_z_ex: 0.448,  kl_z_in: 0.064
(355s) loss: 41.455,  ess: 5.589,  kl_eta_ex: 12.690,  kl_eta_in: 4.272,  kl_z_ex: 0.314,  kl_z_in: 0.051
(355s) loss: 39.574,  ess: 5.667,  kl_eta_ex: 11.259,  kl_eta_in: 4.081,  kl_z_ex: 0.247,  kl_z_in: 0.043
(354s) loss: 38.438,  ess: 5.719,  kl_eta_ex: 10.293,  kl_eta_in: 3.955,  kl_z_ex: 0.210,  kl_z_in: 0.038
(348s) loss: 37.701,  ess: 5.746,  kl_eta_ex: 9.788,  kl_eta_in: 4.013,  kl_z_ex: 0.196,  kl_z_in: 0.035
(354s) loss: 36.922,  ess: 5.782,  kl_eta_ex: 9.074,  kl_eta_in: 4.007,  kl_z_ex: 0.175,  kl_z_in: 0.033
(354s) loss: 34.739,  ess: 5.865,  kl_eta_ex: 7.796,  kl_eta_in: 3.519,  kl_z_ex: 0.145,  kl_z_in: 0.028
(350s) loss: 32.605,  ess: 5.974,  kl_eta_ex: 6.527,  kl_eta_in: 2.891,  kl_z_ex: 0.124,  kl_z_in: 0.023
(346s) loss: 31.191,  ess: 6.049,  kl_eta_ex: 5.730,  kl_eta_in: 2.488,  kl_z_ex: 0.110,  kl_z_in: 0.020
(350s) loss: 30.279,  ess: 6.112,  kl_eta_ex: 5.131,  kl_eta_in: 2.218,  kl_z_ex: 0.099,  kl_z_in: 0.017
(353s) loss: 29.651,  ess: 6.168,  kl_eta_ex: 4.619,  kl_eta_in: 1.975,  kl_z_ex: 0.089,  kl_z_in: 0.015
(351s) loss: 29.114,  ess: 6.215,  kl_eta_ex: 4.215,  kl_eta_in: 1.809,  kl_z_ex: 0.078,  kl_z_in: 0.014
(349s) loss: 28.742,  ess: 6.259,  kl_eta_ex: 3.870,  kl_eta_in: 1.651,  kl_z_ex: 0.069,  kl_z_in: 0.012
(350s) loss: 28.497,  ess: 6.299,  kl_eta_ex: 3.562,  kl_eta_in: 1.524,  kl_z_ex: 0.062,  kl_z_in: 0.011
(349s) loss: 28.149,  ess: 6.343,  kl_eta_ex: 3.285,  kl_eta_in: 1.424,  kl_z_ex: 0.055,  kl_z_in: 0.010
(348s) loss: 28.013,  ess: 6.368,  kl_eta_ex: 3.084,  kl_eta_in: 1.342,  kl_z_ex: 0.050,  kl_z_in: 0.009
(348s) loss: 27.884,  ess: 6.401,  kl_eta_ex: 2.929,  kl_eta_in: 1.273,  kl_z_ex: 0.047,  kl_z_in: 0.009
(344s) loss: 27.838,  ess: 6.430,  kl_eta_ex: 2.755,  kl_eta_in: 1.227,  kl_z_ex: 0.041,  kl_z_in: 0.008
(347s) loss: 27.683,  ess: 6.463,  kl_eta_ex: 2.593,  kl_eta_in: 1.170,  kl_z_ex: 0.041,  kl_z_in: 0.008
(348s) loss: 27.625,  ess: 6.495,  kl_eta_ex: 2.466,  kl_eta_in: 1.124,  kl_z_ex: 0.037,  kl_z_in: 0.007
(348s) loss: 27.491,  ess: 6.520,  kl_eta_ex: 2.366,  kl_eta_in: 1.086,  kl_z_ex: 0.033,  kl_z_in: 0.007
(350s) loss: 27.431,  ess: 6.544,  kl_eta_ex: 2.250,  kl_eta_in: 1.054,  kl_z_ex: 0.033,  kl_z_in: 0.006
(347s) loss: 27.435,  ess: 6.570,  kl_eta_ex: 2.153,  kl_eta_in: 1.021,  kl_z_ex: 0.029,  kl_z_in: 0.006
(352s) loss: 27.347,  ess: 6.598,  kl_eta_ex: 2.054,  kl_eta_in: 0.987,  kl_z_ex: 0.027,  kl_z_in: 0.006
(350s) loss: 27.327,  ess: 6.624,  kl_eta_ex: 1.967,  kl_eta_in: 0.960,  kl_z_ex: 0.026,  kl_z_in: 0.005
(349s) loss: 27.285,  ess: 6.645,  kl_eta_ex: 1.904,  kl_eta_in: 0.933,  kl_z_ex: 0.025,  kl_z_in: 0.005
(349s) loss: 27.341,  ess: 6.662,  kl_eta_ex: 1.822,  kl_eta_in: 0.907,  kl_z_ex: 0.024,  kl_z_in: 0.005
(353s) loss: 27.161,  ess: 6.695,  kl_eta_ex: 1.734,  kl_eta_in: 0.870,  kl_z_ex: 0.024,  kl_z_in: 0.005
(351s) loss: 27.249,  ess: 6.710,  kl_eta_ex: 1.674,  kl_eta_in: 0.845,  kl_z_ex: 0.023,  kl_z_in: 0.005
(346s) loss: 27.275,  ess: 6.728,  kl_eta_ex: 1.605,  kl_eta_in: 0.817,  kl_z_ex: 0.023,  kl_z_in: 0.005
(350s) loss: 27.177,  ess: 6.753,  kl_eta_ex: 1.543,  kl_eta_in: 0.792,  kl_z_ex: 0.020,  kl_z_in: 0.005
(351s) loss: 27.195,  ess: 6.773,  kl_eta_ex: 1.480,  kl_eta_in: 0.767,  kl_z_ex: 0.019,  kl_z_in: 0.005
(351s) loss: 27.205,  ess: 6.787,  kl_eta_ex: 1.430,  kl_eta_in: 0.742,  kl_z_ex: 0.018,  kl_z_in: 0.005
(352s) loss: 27.190,  ess: 6.800,  kl_eta_ex: 1.382,  kl_eta_in: 0.721,  kl_z_ex: 0.017,  kl_z_in: 0.004
(349s) loss: 27.189,  ess: 6.821,  kl_eta_ex: 1.338,  kl_eta_in: 0.698,  kl_z_ex: 0.016,  kl_z_in: 0.004
(349s) loss: 27.101,  ess: 6.836,  kl_eta_ex: 1.280,  kl_eta_in: 0.673,  kl_z_ex: 0.015,  kl_z_in: 0.004
(350s) loss: 27.134,  ess: 6.849,  kl_eta_ex: 1.248,  kl_eta_in: 0.655,  kl_z_ex: 0.015,  kl_z_in: 0.004
(352s) loss: 27.139,  ess: 6.861,  kl_eta_ex: 1.206,  kl_eta_in: 0.638,  kl_z_ex: 0.013,  kl_z_in: 0.004
(347s) loss: 27.142,  ess: 6.877,  kl_eta_ex: 1.176,  kl_eta_in: 0.620,  kl_z_ex: 0.013,  kl_z_in: 0.004
(348s) loss: 27.230,  ess: 6.891,  kl_eta_ex: 1.135,  kl_eta_in: 0.603,  kl_z_ex: 0.012,  kl_z_in: 0.004
