(379s) loss: 154.469,  ess: 3.287,  kl_eta_ex: 149.094,  kl_eta_in: 6.520,  kl_z_ex: 3.927,  kl_z_in: 0.568
(385s) loss: 141.597,  ess: 3.845,  kl_eta_ex: 43.269,  kl_eta_in: 5.887,  kl_z_ex: 1.149,  kl_z_in: 0.323
(386s) loss: 126.999,  ess: 3.912,  kl_eta_ex: 36.836,  kl_eta_in: 4.946,  kl_z_ex: 1.092,  kl_z_in: 0.284
(384s) loss: 98.092,  ess: 4.235,  kl_eta_ex: 38.462,  kl_eta_in: 5.293,  kl_z_ex: 1.473,  kl_z_in: 0.264
(385s) loss: 73.616,  ess: 4.741,  kl_eta_ex: 32.354,  kl_eta_in: 5.557,  kl_z_ex: 1.315,  kl_z_in: 0.188
(383s) loss: 59.329,  ess: 5.116,  kl_eta_ex: 25.121,  kl_eta_in: 5.341,  kl_z_ex: 0.866,  kl_z_in: 0.118
(385s) loss: 50.987,  ess: 5.342,  kl_eta_ex: 20.784,  kl_eta_in: 5.134,  kl_z_ex: 0.566,  kl_z_in: 0.080
(383s) loss: 46.341,  ess: 5.472,  kl_eta_ex: 18.179,  kl_eta_in: 4.908,  kl_z_ex: 0.410,  kl_z_in: 0.062
(386s) loss: 43.372,  ess: 5.554,  kl_eta_ex: 16.096,  kl_eta_in: 4.687,  kl_z_ex: 0.316,  kl_z_in: 0.051
(384s) loss: 41.543,  ess: 5.609,  kl_eta_ex: 14.346,  kl_eta_in: 4.482,  kl_z_ex: 0.254,  kl_z_in: 0.044
(382s) loss: 40.242,  ess: 5.656,  kl_eta_ex: 13.022,  kl_eta_in: 4.297,  kl_z_ex: 0.214,  kl_z_in: 0.040
(383s) loss: 40.831,  ess: 5.650,  kl_eta_ex: 12.359,  kl_eta_in: 4.321,  kl_z_ex: 0.188,  kl_z_in: 0.039
(384s) loss: 41.995,  ess: 5.566,  kl_eta_ex: 14.728,  kl_eta_in: 5.473,  kl_z_ex: 0.182,  kl_z_in: 0.044
(383s) loss: 35.739,  ess: 5.736,  kl_eta_ex: 11.446,  kl_eta_in: 4.183,  kl_z_ex: 0.149,  kl_z_in: 0.032
(383s) loss: 33.000,  ess: 5.878,  kl_eta_ex: 9.238,  kl_eta_in: 3.224,  kl_z_ex: 0.140,  kl_z_in: 0.026
(385s) loss: 31.609,  ess: 5.961,  kl_eta_ex: 8.003,  kl_eta_in: 2.736,  kl_z_ex: 0.128,  kl_z_in: 0.023
(383s) loss: 30.844,  ess: 6.009,  kl_eta_ex: 7.251,  kl_eta_in: 2.453,  kl_z_ex: 0.116,  kl_z_in: 0.021
(383s) loss: 30.151,  ess: 6.058,  kl_eta_ex: 6.650,  kl_eta_in: 2.240,  kl_z_ex: 0.104,  kl_z_in: 0.019
(383s) loss: 29.632,  ess: 6.096,  kl_eta_ex: 6.206,  kl_eta_in: 2.056,  kl_z_ex: 0.096,  kl_z_in: 0.017
(383s) loss: 29.242,  ess: 6.127,  kl_eta_ex: 5.741,  kl_eta_in: 1.913,  kl_z_ex: 0.086,  kl_z_in: 0.015
(382s) loss: 28.990,  ess: 6.161,  kl_eta_ex: 5.409,  kl_eta_in: 1.793,  kl_z_ex: 0.077,  kl_z_in: 0.014
(382s) loss: 28.685,  ess: 6.190,  kl_eta_ex: 5.119,  kl_eta_in: 1.703,  kl_z_ex: 0.069,  kl_z_in: 0.012
