eubo: -727.919,  elbo: -872.761,  ess: 1.050
eubo: -619.883,  elbo: -716.452,  ess: 1.086
eubo: -545.459,  elbo: -615.534,  ess: 1.140
eubo: -508.310,  elbo: -563.096,  ess: 1.165
eubo: -474.743,  elbo: -522.441,  ess: 1.209
eubo: -477.242,  elbo: -524.621,  ess: 1.229
eubo: -451.114,  elbo: -491.208,  ess: 1.233
eubo: -442.976,  elbo: -481.248,  ess: 1.276
eubo: -437.712,  elbo: -473.898,  ess: 1.274
eubo: -426.312,  elbo: -460.454,  ess: 1.270
eubo: -429.636,  elbo: -465.577,  ess: 1.308
eubo: -421.277,  elbo: -456.387,  ess: 1.312
eubo: -407.992,  elbo: -439.739,  ess: 1.357
eubo: -414.322,  elbo: -447.819,  ess: 1.352
eubo: -407.515,  elbo: -437.811,  ess: 1.371
eubo: -407.014,  elbo: -438.119,  ess: 1.346
eubo: -406.618,  elbo: -440.025,  ess: 1.390
eubo: -400.488,  elbo: -430.437,  ess: 1.417
eubo: -400.214,  elbo: -430.669,  ess: 1.398
eubo: -401.598,  elbo: -430.806,  ess: 1.418
eubo: -417.187,  elbo: -452.831,  ess: 1.414
eubo: -394.205,  elbo: -421.902,  ess: 1.374
eubo: -409.999,  elbo: -441.947,  ess: 1.391
eubo: -399.025,  elbo: -430.474,  ess: 1.387
eubo: -414.035,  elbo: -449.446,  ess: 1.399
eubo: -412.626,  elbo: -447.072,  ess: 1.421
eubo: -400.201,  elbo: -430.234,  ess: 1.383
eubo: -414.146,  elbo: -448.149,  ess: 1.380
eubo: -403.573,  elbo: -435.332,  ess: 1.394
eubo: -406.741,  elbo: -438.532,  ess: 1.381
eubo: -388.793,  elbo: -413.887,  ess: 1.431
eubo: -407.154,  elbo: -440.181,  ess: 1.382
eubo: -409.516,  elbo: -441.533,  ess: 1.396
eubo: -401.946,  elbo: -432.767,  ess: 1.396
eubo: -407.740,  elbo: -439.953,  ess: 1.369
eubo: -406.225,  elbo: -438.907,  ess: 1.399
eubo: -403.154,  elbo: -434.640,  ess: 1.375
eubo: -400.670,  elbo: -430.638,  ess: 1.438
eubo: -410.432,  elbo: -442.902,  ess: 1.383
eubo: -413.701,  elbo: -447.535,  ess: 1.370
eubo: -401.891,  elbo: -431.889,  ess: 1.422
eubo: -412.591,  elbo: -447.352,  ess: 1.397
eubo: -404.612,  elbo: -436.219,  ess: 1.374
eubo: -405.670,  elbo: -436.970,  ess: 1.400
eubo: -405.370,  elbo: -438.368,  ess: 1.435
eubo: -404.308,  elbo: -436.379,  ess: 1.374
eubo: -403.938,  elbo: -435.171,  ess: 1.394
eubo: -405.836,  elbo: -437.029,  ess: 1.399
eubo: -411.211,  elbo: -445.542,  ess: 1.411
eubo: -406.334,  elbo: -438.245,  ess: 1.373
eubo: -408.392,  elbo: -441.714,  ess: 1.405
eubo: -413.494,  elbo: -446.642,  ess: 1.391
eubo: -404.477,  elbo: -435.440,  ess: 1.410
eubo: -405.507,  elbo: -437.701,  ess: 1.395
eubo: -410.481,  elbo: -443.290,  ess: 1.367
eubo: -404.944,  elbo: -435.953,  ess: 1.423
eubo: -401.988,  elbo: -433.475,  ess: 1.421
eubo: -399.234,  elbo: -430.960,  ess: 1.400
eubo: -404.349,  elbo: -436.741,  ess: 1.410
eubo: -403.375,  elbo: -435.450,  ess: 1.411
eubo: -400.037,  elbo: -429.775,  ess: 1.438
eubo: -405.408,  elbo: -438.041,  ess: 1.432
eubo: -411.267,  elbo: -444.680,  ess: 1.425
eubo: -398.279,  elbo: -430.599,  ess: 1.378
eubo: -406.380,  elbo: -438.556,  ess: 1.365
