(229s) loss: 60.599348,  ess_rws: 1.053057,  ess_eta: 1.230057,  ess_z: 6.998721,  density: -771.331252,  inckl_eta: 74.874349,  inckl_z: 0.382885
(212s) loss: 51.306839,  ess_rws: 1.340690,  ess_eta: 1.459443,  ess_z: 8.375994,  density: -549.730844,  inckl_eta: 131.824054,  inckl_z: 0.174036
(228s) loss: 47.151032,  ess_rws: 1.407959,  ess_eta: 1.482032,  ess_z: 8.531351,  density: -526.663650,  inckl_eta: 156.369584,  inckl_z: 0.163391
(222s) loss: 46.190029,  ess_rws: 1.396073,  ess_eta: 1.477842,  ess_z: 8.742071,  density: -517.847955,  inckl_eta: 147.544722,  inckl_z: 0.138998
(230s) loss: 45.260268,  ess_rws: 1.450980,  ess_eta: 1.480765,  ess_z: 9.034254,  density: -508.066310,  inckl_eta: 138.042904,  inckl_z: 0.107467
(216s) loss: 44.574435,  ess_rws: 1.456327,  ess_eta: 1.478259,  ess_z: 9.304082,  density: -497.078777,  inckl_eta: 126.137298,  inckl_z: 0.078167
(227s) loss: 44.747416,  ess_rws: 1.440484,  ess_eta: 1.492142,  ess_z: 9.494172,  density: -477.162795,  inckl_eta: 112.118219,  inckl_z: 0.056583
(219s) loss: 43.445464,  ess_rws: 1.466225,  ess_eta: 1.517646,  ess_z: 9.610257,  density: -450.182019,  inckl_eta: 93.489355,  inckl_z: 0.051668
(225s) loss: 40.189263,  ess_rws: 1.545828,  ess_eta: 1.575188,  ess_z: 9.734351,  density: -403.113196,  inckl_eta: 60.012426,  inckl_z: 0.050973
(234s) loss: 27.354629,  ess_rws: 1.647570,  ess_eta: 1.726472,  ess_z: 9.808022,  density: -339.251322,  inckl_eta: 33.199058,  inckl_z: 0.186188
(235s) loss: 21.898654,  ess_rws: 1.714974,  ess_eta: 1.833139,  ess_z: 9.844096,  density: -319.767362,  inckl_eta: 23.435852,  inckl_z: 0.265873
(233s) loss: 17.672964,  ess_rws: 1.775170,  ess_eta: 2.050153,  ess_z: 9.872838,  density: -303.288579,  inckl_eta: 16.136921,  inckl_z: 0.309274
(228s) loss: 13.953920,  ess_rws: 1.813284,  ess_eta: 2.481434,  ess_z: 9.902616,  density: -285.336111,  inckl_eta: 8.035014,  inckl_z: 0.351821
(228s) loss: 11.994583,  ess_rws: 1.825336,  ess_eta: 4.210791,  ess_z: 9.926967,  density: -273.436120,  inckl_eta: 2.266281,  inckl_z: 0.381373
(228s) loss: 10.809680,  ess_rws: 1.849283,  ess_eta: 7.400974,  ess_z: 9.936274,  density: -270.629255,  inckl_eta: 0.499667,  inckl_z: 0.426671
(222s) loss: 10.549203,  ess_rws: 1.832499,  ess_eta: 8.728374,  ess_z: 9.942377,  density: -270.490071,  inckl_eta: 0.123925,  inckl_z: 0.492767
(218s) loss: 10.467043,  ess_rws: 1.844879,  ess_eta: 9.441453,  ess_z: 9.945494,  density: -270.683062,  inckl_eta: 0.030394,  inckl_z: 0.550364
(229s) loss: 10.471725,  ess_rws: 1.850395,  ess_eta: 9.735530,  ess_z: 9.948788,  density: -270.904677,  inckl_eta: 0.008652,  inckl_z: 0.598021
(222s) loss: 10.491545,  ess_rws: 1.869164,  ess_eta: 9.827363,  ess_z: 9.952370,  density: -270.940473,  inckl_eta: 0.003943,  inckl_z: 0.614965
(220s) loss: 10.458115,  ess_rws: 1.852319,  ess_eta: 9.862386,  ess_z: 9.955238,  density: -270.965200,  inckl_eta: 0.001982,  inckl_z: 0.639334
(222s) loss: 10.464828,  ess_rws: 1.858977,  ess_eta: 9.876301,  ess_z: 9.956699,  density: -271.009859,  inckl_eta: 0.001289,  inckl_z: 0.655362
(234s) loss: 10.469787,  ess_rws: 1.872474,  ess_eta: 9.883064,  ess_z: 9.959587,  density: -270.962481,  inckl_eta: 0.001030,  inckl_z: 0.663265
(223s) loss: 10.443541,  ess_rws: 1.875863,  ess_eta: 9.884580,  ess_z: 9.961667,  density: -270.926812,  inckl_eta: 0.001087,  inckl_z: 0.670557
(232s) loss: 10.454112,  ess_rws: 1.870195,  ess_eta: 9.885498,  ess_z: 9.963871,  density: -270.830294,  inckl_eta: 0.001035,  inckl_z: 0.671046
(235s) loss: 10.450288,  ess_rws: 1.868782,  ess_eta: 9.885984,  ess_z: 9.965057,  density: -270.873953,  inckl_eta: 0.001006,  inckl_z: 0.684923
(226s) loss: 10.446679,  ess_rws: 1.882307,  ess_eta: 9.887368,  ess_z: 9.967086,  density: -270.924990,  inckl_eta: 0.000961,  inckl_z: 0.686886
(219s) loss: 10.430122,  ess_rws: 1.882047,  ess_eta: 9.887275,  ess_z: 9.968067,  density: -270.836147,  inckl_eta: 0.000966,  inckl_z: 0.691892
(219s) loss: 10.470498,  ess_rws: 1.873857,  ess_eta: 9.888064,  ess_z: 9.967984,  density: -270.927149,  inckl_eta: 0.000958,  inckl_z: 0.691918
(235s) loss: 10.454541,  ess_rws: 1.868544,  ess_eta: 9.887353,  ess_z: 9.969590,  density: -270.832431,  inckl_eta: 0.000972,  inckl_z: 0.694013
(229s) loss: 10.439024,  ess_rws: 1.866787,  ess_eta: 9.887473,  ess_z: 9.971243,  density: -270.814488,  inckl_eta: 0.000910,  inckl_z: 0.704072
