loss: 60.453237,  ess: 1.091703, KL=1104.380186
loss: 55.741712,  ess: 1.239125, KL=1874.010908
loss: 53.161427,  ess: 1.289068, KL=1935.697677
loss: 52.469045,  ess: 1.337414, KL=1724.954396
loss: 50.846363,  ess: 1.354266, KL=1601.715998
loss: 49.157770,  ess: 1.318542, KL=1519.367488
loss: 47.329427,  ess: 1.293194, KL=1447.797487
loss: 46.062765,  ess: 1.272825, KL=1395.614676
loss: 45.682358,  ess: 1.267430, KL=1347.859969
loss: 44.896867,  ess: 1.263206, KL=1288.209431
loss: 45.008296,  ess: 1.267152, KL=1181.604662
loss: 41.562896,  ess: 1.313317, KL=1020.005502
loss: 33.770212,  ess: 1.474497, KL=913.777590
loss: 30.434275,  ess: 1.597918, KL=835.982298
loss: 28.980489,  ess: 1.766137, KL=715.224910
loss: 25.791798,  ess: 1.993574, KL=490.156336
loss: 22.656049,  ess: 2.110959, KL=267.631307
loss: 19.935182,  ess: 2.171636, KL=101.366014
loss: 17.869993,  ess: 2.911785, KL=28.990206
loss: 15.779025,  ess: 9.079751, KL=6.026378
loss: 15.221828,  ess: 15.719922, KL=1.317270
loss: 15.052702,  ess: 18.022216, KL=0.582252
loss: 14.984307,  ess: 19.055988, KL=0.176320
loss: 14.911074,  ess: 19.508260, KL=0.049572
loss: 14.890846,  ess: 19.716722, KL=0.053393
loss: 14.771809,  ess: 19.819963, KL=0.033510
loss: 14.777247,  ess: 19.869759, KL=0.005414
loss: 14.704811,  ess: 19.902087, KL=0.003118
loss: 14.535585,  ess: 19.916082, KL=0.002431
loss: 14.543416,  ess: 19.929161, KL=0.002246
loss: 14.452299,  ess: 19.933039, KL=0.004768
loss: 14.427584,  ess: 19.936884, KL=0.001642
loss: 14.306397,  ess: 19.942430, KL=0.000963
loss: 14.290302,  ess: 19.944374, KL=0.001236
loss: 14.258501,  ess: 19.945027, KL=0.001182
loss: 14.275294,  ess: 19.943420, KL=0.000936
loss: 14.149144,  ess: 19.947661, KL=0.001075
loss: 14.121211,  ess: 19.950817, KL=0.001857
loss: 14.100630,  ess: 19.947079, KL=0.000818
loss: 14.113608,  ess: 19.948481, KL=0.000646
loss: 14.038044,  ess: 19.949095, KL=0.001520
loss: 14.051319,  ess: 19.949445, KL=0.001670
