symKL_DB_eta: 426.972,  symKL_DB_z: 596.779,  loss: -1718.491,  ess: 2.703,  kl_eta_ex: 806.139,  kl_eta_in: 136.026,  kl_z_ex: 187.317,  kl_z_in: 32.957
symKL_DB_eta: 296.650,  symKL_DB_z: 446.616,  loss: -1303.040,  ess: 3.047,  kl_eta_ex: 517.116,  kl_eta_in: 124.662,  kl_z_ex: 129.397,  kl_z_in: 27.054
symKL_DB_eta: 229.583,  symKL_DB_z: 335.020,  loss: -1081.865,  ess: 3.352,  kl_eta_ex: 362.185,  kl_eta_in: 124.642,  kl_z_ex: 103.870,  kl_z_in: 23.354
symKL_DB_eta: 195.605,  symKL_DB_z: 263.110,  loss: -962.391,  ess: 3.604,  kl_eta_ex: 277.851,  kl_eta_in: 133.357,  kl_z_ex: 87.366,  kl_z_in: 19.906
symKL_DB_eta: 174.211,  symKL_DB_z: 198.464,  loss: -886.403,  ess: 3.891,  kl_eta_ex: 233.064,  kl_eta_in: 151.291,  kl_z_ex: 73.748,  kl_z_in: 16.716
symKL_DB_eta: 157.606,  symKL_DB_z: 151.187,  loss: -832.709,  ess: 4.153,  kl_eta_ex: 208.433,  kl_eta_in: 177.282,  kl_z_ex: 62.123,  kl_z_in: 14.279
symKL_DB_eta: 144.283,  symKL_DB_z: 117.153,  loss: -801.929,  ess: 4.360,  kl_eta_ex: 198.516,  kl_eta_in: 207.623,  kl_z_ex: 54.201,  kl_z_in: 12.633
symKL_DB_eta: 136.698,  symKL_DB_z: 98.462,  loss: -784.925,  ess: 4.509,  kl_eta_ex: 195.373,  kl_eta_in: 237.801,  kl_z_ex: 48.210,  kl_z_in: 11.495
symKL_DB_eta: 134.292,  symKL_DB_z: 86.205,  loss: -778.075,  ess: 4.601,  kl_eta_ex: 195.453,  kl_eta_in: 262.110,  kl_z_ex: 44.012,  kl_z_in: 10.752
symKL_DB_eta: 132.393,  symKL_DB_z: 77.657,  loss: -774.119,  ess: 4.662,  kl_eta_ex: 199.527,  kl_eta_in: 284.610,  kl_z_ex: 41.699,  kl_z_in: 10.296
symKL_DB_eta: 131.318,  symKL_DB_z: 71.835,  loss: -769.003,  ess: 4.710,  kl_eta_ex: 200.041,  kl_eta_in: 298.966,  kl_z_ex: 39.169,  kl_z_in: 9.877
symKL_DB_eta: 130.464,  symKL_DB_z: 67.241,  loss: -769.501,  ess: 4.756,  kl_eta_ex: 201.950,  kl_eta_in: 311.255,  kl_z_ex: 37.244,  kl_z_in: 9.479
symKL_DB_eta: 130.302,  symKL_DB_z: 62.868,  loss: -767.145,  ess: 4.793,  kl_eta_ex: 203.712,  kl_eta_in: 320.674,  kl_z_ex: 35.281,  kl_z_in: 8.941
