EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-513.046	-616.258	1.070	372.361	183.284	0.000	-0.000
-467.258	-545.938	1.105	286.848	189.397	0.000	-0.000
-437.588	-500.097	1.148	230.630	196.857	0.000	-0.000
-419.037	-471.183	1.196	193.628	205.131	0.000	-0.000
-407.517	-453.160	1.235	169.991	215.127	0.000	-0.000
-401.591	-442.753	1.280	155.914	228.826	0.000	-0.000
-397.766	-436.397	1.287	147.986	242.390	0.000	-0.000
-395.432	-432.844	1.300	143.325	253.933	0.000	-0.000
-394.393	-431.049	1.299	141.455	262.589	0.000	-0.000
-393.639	-429.884	1.310	139.703	268.571	0.000	-0.000
-393.153	-429.028	1.305	139.034	274.020	0.000	-0.000
-392.610	-428.644	1.309	138.704	278.427	0.000	-0.000
-392.777	-428.587	1.300	138.804	281.828	0.000	-0.000
-392.268	-428.175	1.304	138.642	283.003	0.000	-0.000
-391.730	-427.998	1.306	138.676	284.916	0.000	-0.000
-391.908	-428.405	1.294	139.167	286.067	0.000	-0.000
-391.822	-428.119	1.288	139.449	288.043	0.000	-0.000
-391.547	-428.301	1.297	139.815	289.887	0.000	-0.000
-391.139	-427.933	1.292	140.006	291.010	0.000	-0.000
-391.120	-427.861	1.290	140.015	294.058	0.000	-0.000
-390.842	-427.632	1.282	140.109	293.960	0.000	-0.000
-390.885	-427.433	1.287	140.160	293.657	0.000	-0.000
-390.658	-427.683	1.283	140.608	292.957	0.000	-0.000
-389.993	-427.567	1.283	140.957	295.645	0.000	-0.000
-389.733	-427.332	1.278	141.382	297.586	0.000	-0.000
-389.590	-427.212	1.278	141.361	297.410	0.000	-0.000
-389.733	-427.295	1.273	141.610	297.628	0.000	-0.000
-389.379	-427.225	1.272	142.099	298.435	0.000	-0.000
-389.368	-427.103	1.270	141.925	298.368	0.000	-0.000
-389.261	-427.014	1.268	142.102	297.548	0.000	-0.000
-389.183	-427.258	1.265	142.724	297.196	0.000	-0.000
-388.746	-427.255	1.260	143.429	298.668	0.000	-0.000
-388.603	-427.012	1.254	143.688	298.752	0.000	-0.000
-388.163	-426.874	1.252	144.105	298.512	0.000	-0.000
-388.243	-426.897	1.257	144.086	298.952	0.000	-0.000
-387.479	-426.334	1.252	144.191	300.823	0.000	-0.000
-387.558	-426.261	1.254	144.357	297.786	0.000	-0.000
-387.441	-425.998	1.252	144.085	298.562	0.000	-0.000
-387.051	-425.916	1.244	144.476	297.170	0.000	-0.000
-386.676	-425.721	1.242	144.687	297.219	0.000	-0.000
-386.470	-425.672	1.242	144.846	297.469	0.000	-0.000
-386.051	-425.185	1.242	144.522	295.562	0.000	-0.000
-385.862	-424.945	1.237	144.667	293.496	0.000	-0.000
-385.626	-424.855	1.228	145.359	290.745	0.000	-0.000
-385.555	-425.057	1.231	145.620	290.524	0.000	-0.000
-385.123	-424.903	1.225	146.139	291.637	0.000	-0.000
-384.574	-424.409	1.225	146.110	292.167	0.000	-0.000
