EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-526.092	-636.728	1.097	308.852	123.166	176.794	28.381
-516.254	-624.388	1.108	296.769	122.082	167.435	27.241
-510.008	-612.302	1.109	283.836	120.387	159.010	26.113
-500.141	-599.125	1.117	271.722	119.778	151.100	25.155
-493.108	-586.485	1.117	259.685	118.882	141.799	24.171
-485.110	-575.062	1.115	248.911	118.137	133.019	23.251
-476.913	-562.676	1.129	237.423	116.939	124.668	22.227
-470.755	-552.376	1.132	227.362	115.258	117.233	21.258
-462.298	-540.280	1.136	215.343	114.779	108.476	20.313
-455.619	-530.799	1.141	205.298	113.783	101.142	19.469
-448.390	-520.114	1.156	195.582	112.944	94.244	18.657
-441.887	-509.119	1.165	185.683	112.969	86.610	17.841
-436.982	-500.329	1.165	176.944	112.208	80.130	16.984
-432.032	-492.399	1.167	168.701	111.776	74.199	16.258
-426.234	-483.190	1.180	161.235	111.287	68.032	15.544
-421.723	-476.157	1.189	154.440	111.341	63.317	14.890
-416.224	-468.825	1.152	148.250	111.110	58.242	14.266
-413.271	-462.960	1.204	143.034	111.580	54.782	13.728
-409.822	-457.967	1.209	138.074	110.737	51.311	13.280
-406.445	-452.465	1.191	133.716	112.148	48.216	12.874
-403.388	-447.836	1.226	129.570	112.770	45.012	12.390
-400.229	-442.569	1.196	125.652	112.642	42.442	12.017
-397.435	-438.795	1.217	122.136	113.555	40.399	11.735
-394.851	-435.287	1.214	118.933	113.921	38.799	11.478
-391.656	-430.574	1.244	115.727	113.609	36.607	11.195
-389.816	-427.255	1.229	113.122	114.455	35.209	11.014
-387.269	-424.128	1.238	110.649	114.191	33.869	10.743
-383.972	-420.349	1.227	108.353	115.326	32.852	10.565
-382.466	-418.185	1.256	105.992	113.625	32.279	10.405
-380.262	-414.893	1.250	104.147	113.918	31.263	10.266
-378.653	-412.232	1.255	101.896	112.800	30.403	10.118
-375.753	-409.295	1.234	99.950	113.828	29.730	9.953
-373.205	-406.454	1.252	97.931	112.931	29.045	9.915
-371.356	-403.050	1.268	95.550	112.573	27.970	9.716
-369.404	-400.424	1.265	93.709	112.476	27.267	9.554
-366.642	-397.422	1.260	91.319	111.298	26.553	9.439
-364.259	-395.044	1.262	89.651	110.523	26.059	9.292
-362.123	-392.056	1.265	87.594	109.274	25.517	9.191
-359.657	-389.069	1.268	85.808	108.411	24.571	9.068
-357.755	-386.591	1.259	83.695	107.510	23.963	8.926
-355.385	-383.408	1.276	81.398	105.950	23.085	8.768
-352.859	-380.375	1.278	79.182	104.941	22.543	8.667
-350.408	-377.368	1.294	77.094	104.386	21.777	8.499
-348.180	-374.553	1.273	74.750	102.041	20.919	8.283
-345.594	-371.296	1.294	72.498	99.737	20.117	8.060
-342.872	-368.035	1.281	70.339	98.241	19.212	7.842
-340.699	-364.906	1.289	68.017	96.380	18.208	7.646
-337.924	-362.074	1.286	65.871	95.031	17.518	7.491
-335.475	-358.957	1.307	63.815	93.319	16.531	7.208
-332.974	-356.077	1.300	61.839	92.148	15.810	7.017
-330.601	-352.916	1.291	59.530	89.905	14.881	6.866
-328.840	-350.438	1.292	57.677	87.918	14.292	6.698
-326.982	-347.653	1.330	56.034	86.881	13.499	6.529
-324.363	-344.975	1.292	54.409	85.522	12.797	6.358
-322.469	-342.457	1.320	52.680	83.384	12.175	6.161
-321.005	-340.062	1.324	51.111	81.815	11.678	6.040
-318.638	-337.755	1.341	49.499	79.633	11.166	5.860
-317.302	-335.615	1.342	48.032	78.123	10.640	5.649
-315.537	-333.449	1.351	46.367	76.018	10.210	5.585
-313.957	-331.371	1.357	44.798	74.470	9.778	5.453
-312.200	-329.145	1.356	43.561	73.031	9.409	5.297
-310.643	-327.295	1.327	42.195	71.485	8.990	5.169
-309.224	-325.240	1.380	40.915	69.951	8.661	5.012
-307.832	-323.382	1.361	39.598	68.150	8.368	4.938
-306.381	-321.652	1.399	38.505	66.916	8.088	4.804
-304.824	-319.766	1.387	37.272	65.010	7.813	4.701
-303.886	-318.364	1.431	36.323	63.800	7.589	4.628
-302.243	-316.558	1.395	35.137	62.484	7.330	4.522
-301.027	-314.957	1.391	34.181	60.937	7.166	4.409
-300.127	-313.716	1.425	33.226	59.047	7.001	4.323
-298.965	-312.183	1.428	32.220	58.271	6.746	4.194
-297.737	-310.755	1.432	31.396	57.112	6.628	4.136
-296.633	-309.326	1.425	30.430	55.566	6.429	4.046
-295.485	-308.104	1.446	29.669	54.670	6.280	3.928
-294.543	-306.920	1.440	28.977	53.897	6.128	3.868
-293.614	-305.639	1.483	28.136	52.159	6.001	3.783
-292.747	-304.468	1.492	27.390	51.400	5.828	3.695
-291.988	-303.300	1.487	26.666	50.544	5.735	3.640
-290.930	-302.356	1.468	25.990	49.093	5.665	3.565
-290.220	-301.329	1.522	25.338	48.126	5.576	3.517
-289.466	-300.320	1.531	24.632	47.227	5.434	3.470
-288.528	-299.282	1.527	24.085	46.266	5.335	3.406
-287.804	-298.452	1.515	23.668	46.146	5.218	3.354
-287.282	-297.718	1.554	23.037	44.858	5.168	3.339
-286.706	-297.082	1.553	22.658	44.229	5.073	3.278
-286.006	-296.310	1.543	22.313	44.114	5.037	3.254
-285.454	-295.608	1.541	21.866	42.898	4.913	3.189
-285.035	-295.086	1.593	21.627	41.944	4.881	3.159
-284.646	-294.586	1.579	21.101	41.528	4.800	3.125
-284.371	-293.989	1.587	20.770	40.918	4.753	3.072
-283.809	-293.591	1.601	20.538	40.970	4.651	3.025
-283.583	-293.184	1.618	20.508	40.419	4.641	3.019
-283.296	-292.909	1.610	20.350	39.928	4.586	2.983
-283.085	-292.650	1.607	20.153	39.473	4.527	2.950
-282.798	-292.378	1.609	20.031	39.159	4.451	2.930
-282.638	-292.147	1.639	19.874	39.209	4.434	2.914
-282.302	-291.741	1.623	19.964	39.028	4.345	2.882
-282.076	-291.579	1.621	19.703	38.501	4.311	2.845
-282.020	-291.314	1.627	19.693	38.701	4.241	2.817
-281.976	-291.205	1.636	19.625	38.100	4.226	2.810
-281.848	-291.153	1.630	19.792	37.937	4.174	2.794
-281.782	-291.029	1.633	19.445	37.748	4.096	2.749
-281.511	-290.853	1.609	19.605	37.702	4.041	2.748
-281.540	-290.661	1.670	19.375	36.979	3.986	2.699
-281.467	-290.741	1.654	19.604	37.499	4.009	2.697
-281.412	-290.651	1.633	19.730	37.261	3.923	2.646
-281.248	-290.393	1.644	19.554	37.202	3.867	2.619
-281.114	-290.350	1.627	19.544	36.807	3.860	2.629
-281.204	-290.248	1.664	19.371	36.354	3.814	2.594
-280.991	-290.163	1.655	19.458	36.725	3.760	2.547
-280.929	-290.067	1.672	19.368	36.160	3.675	2.516
-280.870	-289.916	1.648	19.283	36.153	3.666	2.517
-280.729	-289.900	1.663	19.219	36.272	3.634	2.487
-280.790	-289.618	1.671	19.030	35.638	3.576	2.446
-280.660	-289.724	1.667	19.339	35.829	3.534	2.430
-280.539	-289.521	1.659	19.017	35.594	3.495	2.406
-280.638	-289.568	1.660	19.038	35.516	3.445	2.388
-280.479	-289.490	1.656	19.015	35.493	3.420	2.374
-280.386	-289.436	1.646	19.005	35.275	3.353	2.336
-280.322	-289.277	1.678	19.178	35.177	3.331	2.320
-280.322	-289.214	1.643	19.334	35.482	3.310	2.317
-280.235	-289.201	1.668	18.670	34.320	3.268	2.281
-280.224	-289.120	1.678	18.903	34.688	3.224	2.254
-280.068	-288.962	1.667	18.780	34.312	3.156	2.219
-280.148	-288.857	1.694	18.591	33.977	3.125	2.214
-280.029	-288.807	1.676	18.587	34.050	3.068	2.172
-280.136	-288.744	1.719	18.596	34.201	3.054	2.165
-280.043	-288.851	1.685	18.556	33.281	3.033	2.157
-279.831	-288.634	1.701	18.699	33.724	2.995	2.125
-279.786	-288.525	1.670	18.834	33.728	2.963	2.103
-279.862	-288.470	1.713	18.477	33.714	2.927	2.092
-279.838	-288.470	1.696	18.499	33.157	2.893	2.066
-279.790	-288.496	1.684	18.696	33.593	2.878	2.064
-279.829	-288.408	1.694	18.493	33.175	2.850	2.026
-279.799	-288.257	1.724	18.555	33.190	2.814	2.009
-279.747	-288.348	1.709	18.488	32.928	2.797	1.996
-279.709	-288.323	1.721	18.511	32.696	2.754	1.987
-279.499	-288.185	1.680	18.276	32.060	2.745	1.967
-279.454	-288.124	1.658	18.582	32.358	2.700	1.928
-279.580	-288.141	1.712	18.730	32.408	2.671	1.926
-279.531	-288.118	1.675	18.537	32.316	2.661	1.916
-279.546	-288.131	1.704	18.295	32.335	2.632	1.905
-279.600	-288.102	1.705	18.395	31.896	2.592	1.883
-279.521	-287.979	1.695	18.099	31.662	2.567	1.866
-279.425	-287.960	1.689	18.283	31.352	2.543	1.834
-279.353	-287.887	1.720	18.237	31.722	2.547	1.834
-279.342	-287.904	1.702	18.208	31.102	2.519	1.810
-279.348	-287.723	1.733	18.121	30.811	2.488	1.790
-279.446	-287.877	1.730	18.257	30.814	2.489	1.785
-279.270	-287.738	1.742	18.527	31.235	2.462	1.760
-279.286	-287.685	1.727	18.365	30.805	2.447	1.742
-279.232	-287.633	1.717	18.183	30.876	2.430	1.743
-279.190	-287.656	1.703	18.258	30.493	2.383	1.727
-279.231	-287.746	1.712	18.019	30.748	2.374	1.731
-279.141	-287.719	1.707	18.181	30.747	2.362	1.733
-279.196	-287.629	1.743	18.217	30.397	2.339	1.705
-279.060	-287.565	1.710	18.100	30.611	2.307	1.686
-279.123	-287.467	1.752	18.224	30.450	2.277	1.669
-279.071	-287.440	1.717	18.001	29.882	2.276	1.666
-279.308	-287.492	1.732	18.108	30.221	2.263	1.652
-279.080	-287.403	1.751	17.993	29.925	2.205	1.632
-279.177	-287.488	1.736	17.810	29.866	2.224	1.635
-279.071	-287.384	1.728	17.995	29.722	2.204	1.619
-279.021	-287.348	1.733	18.097	30.009	2.191	1.601
-278.908	-287.322	1.715	17.991	30.114	2.158	1.593
-278.859	-287.361	1.725	18.078	29.851	2.147	1.578
-278.932	-287.305	1.765	18.004	29.657	2.138	1.566
-278.823	-287.238	1.736	17.860	29.676	2.100	1.551
-278.948	-287.131	1.761	18.036	29.581	2.078	1.538
-278.911	-287.154	1.746	18.063	29.392	2.072	1.533
-279.071	-287.321	1.732	17.427	28.693	2.051	1.524
-279.017	-287.209	1.771	17.458	28.901	2.027	1.512
-278.837	-287.112	1.754	17.626	28.783	1.994	1.490
-278.826	-287.156	1.717	17.740	28.689	2.003	1.494
-278.741	-287.045	1.746	17.717	28.408	1.972	1.489
-278.818	-287.048	1.736	17.581	28.665	1.940	1.464
-278.714	-287.025	1.734	17.639	27.963	1.946	1.459
-278.884	-287.023	1.740	17.462	28.160	1.914	1.439
-278.758	-286.875	1.751	17.567	28.189	1.894	1.419
-278.837	-287.011	1.736	17.306	27.799	1.900	1.415
-278.816	-287.001	1.750	17.590	27.808	1.880	1.402
-278.785	-286.965	1.766	17.333	27.736	1.864	1.397
-278.795	-286.997	1.750	17.586	27.447	1.867	1.394
-278.808	-286.939	1.748	17.543	27.514	1.828	1.374
-278.670	-286.776	1.772	17.439	27.532	1.811	1.372
-278.840	-286.887	1.768	17.449	27.771	1.805	1.368
-278.738	-286.881	1.772	17.405	27.524	1.807	1.371
-278.591	-286.822	1.730	17.665	27.573	1.806	1.359
-278.723	-286.923	1.770	17.382	27.388	1.776	1.339
-278.751	-286.760	1.750	17.294	27.328	1.768	1.342
-278.508	-286.760	1.724	17.457	27.606	1.739	1.317
-278.608	-286.776	1.774	17.541	27.775	1.733	1.307
-278.499	-286.835	1.749	17.654	27.639	1.760	1.324
-278.617	-286.854	1.743	17.347	27.495	1.730	1.313
-278.692	-286.817	1.770	17.253	27.115	1.709	1.295
-278.658	-286.798	1.770	17.309	26.800	1.708	1.283
-278.539	-286.757	1.748	17.550	27.224	1.707	1.280
-278.394	-286.751	1.764	17.642	26.919	1.687	1.265
-278.731	-286.740	1.768	17.392	27.051	1.679	1.261
-278.570	-286.674	1.752	17.320	26.604	1.671	1.251
-278.611	-286.724	1.747	17.295	26.560	1.675	1.251
-278.593	-286.678	1.782	17.372	26.499	1.645	1.228
-278.522	-286.700	1.759	17.363	26.727	1.630	1.222
-278.579	-286.659	1.773	17.232	26.748	1.622	1.218
-278.504	-286.643	1.771	17.488	26.409	1.613	1.205
-278.384	-286.583	1.760	17.415	26.597	1.606	1.202
-278.611	-286.673	1.763	17.432	26.198	1.614	1.209
-278.571	-286.637	1.790	17.346	26.185	1.598	1.201
-278.419	-286.570	1.756	17.231	26.027	1.579	1.186
-278.504	-286.615	1.777	17.184	25.817	1.567	1.180
-278.429	-286.579	1.783	17.282	26.084	1.548	1.167
-278.559	-286.548	1.806	17.050	26.032	1.537	1.166
-278.578	-286.534	1.792	17.004	25.433	1.518	1.159
-278.405	-286.501	1.782	17.171	25.519	1.521	1.149
-278.551	-286.533	1.792	17.212	25.774	1.506	1.140
-278.527	-286.535	1.803	17.038	25.746	1.512	1.134
-278.346	-286.446	1.772	17.374	25.524	1.502	1.128
-278.348	-286.438	1.765	17.142	25.330	1.488	1.119
-278.567	-286.584	1.752	17.014	25.762	1.481	1.117
-278.389	-286.435	1.792	17.049	25.346	1.476	1.113
-278.399	-286.441	1.776	17.101	24.968	1.467	1.110
-278.244	-286.420	1.745	17.300	25.276	1.441	1.089
-278.402	-286.429	1.783	17.138	25.141	1.443	1.096
-278.479	-286.406	1.781	17.108	25.213	1.445	1.101
-278.232	-286.391	1.777	17.112	25.022	1.430	1.087
