EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
-874.414	-1104.011	1.029	779.418	189.295	354.261	43.125
-711.658	-887.052	1.039	566.033	192.507	245.941	37.022
-595.994	-726.228	1.060	408.133	197.866	157.935	29.277
-525.505	-624.333	1.089	310.540	205.746	102.743	22.245
-484.307	-565.114	1.121	253.922	220.644	73.198	17.737
-458.822	-527.421	1.148	218.501	238.845	55.848	15.015
-442.697	-503.009	1.175	194.476	257.508	44.905	13.310
-431.532	-485.371	1.191	177.385	271.767	37.018	12.111
-423.820	-472.921	1.205	165.536	276.500	31.245	11.049
-418.807	-464.906	1.221	157.960	275.522	27.542	10.291
-414.817	-458.375	1.228	151.821	276.977	24.566	9.614
-411.499	-453.171	1.235	146.910	273.865	21.958	8.911
-408.796	-449.278	1.256	143.354	271.008	20.091	8.322
-406.695	-446.308	1.259	140.713	269.837	18.687	7.801
-405.690	-444.317	1.260	139.075	270.557	17.547	7.408
-404.531	-442.952	1.269	137.960	272.466	16.689	7.084
-403.597	-441.871	1.271	137.496	274.345	16.011	6.837
-403.168	-441.094	1.274	137.132	278.474	15.461	6.625
-402.627	-440.607	1.278	137.008	281.004	14.945	6.474
-401.868	-439.745	1.274	136.673	285.122	14.555	6.320
-401.461	-439.138	1.273	136.322	287.850	14.186	6.168
-401.123	-438.699	1.271	135.954	287.713	13.737	5.997
-400.870	-438.432	1.278	135.886	286.768	13.453	5.814
-400.416	-438.199	1.275	135.744	288.103	13.209	5.688
-400.205	-438.020	1.278	136.159	289.934	12.994	5.616
-400.205	-438.048	1.274	136.175	289.656	12.880	5.508
-400.494	-438.273	1.281	136.427	290.451	12.853	5.402
-399.637	-437.956	1.280	136.780	291.094	12.531	5.335
-399.877	-437.936	1.277	137.027	292.300	12.445	5.258
-399.666	-438.146	1.270	137.415	292.606	12.365	5.203
-399.205	-437.496	1.274	137.083	297.446	12.115	5.074
-398.902	-437.790	1.268	137.343	297.891	12.069	5.005
