symKL_DB_eta: 165.242,  symKL_DB_z: 172.782,  loss: -950.023,  ess: 3.812,  kl_eta_ex: 382.324,  kl_eta_in: 150.861,  kl_z_ex: 102.540,  kl_z_in: 20.916
symKL_DB_eta: 71.823,  symKL_DB_z: 40.784,  loss: -759.079,  ess: 4.632,  kl_eta_ex: 126.671,  kl_eta_in: 167.326,  kl_z_ex: 19.970,  kl_z_in: 8.742
symKL_DB_eta: 63.108,  symKL_DB_z: 40.467,  loss: -731.795,  ess: 4.733,  kl_eta_ex: 112.244,  kl_eta_in: 174.918,  kl_z_ex: 18.880,  kl_z_in: 8.191
symKL_DB_eta: 65.749,  symKL_DB_z: 41.139,  loss: -724.342,  ess: 4.822,  kl_eta_ex: 115.259,  kl_eta_in: 186.936,  kl_z_ex: 18.824,  kl_z_in: 7.537
symKL_DB_eta: 74.164,  symKL_DB_z: 38.792,  loss: -718.233,  ess: 4.918,  kl_eta_ex: 125.412,  kl_eta_in: 206.567,  kl_z_ex: 18.695,  kl_z_in: 7.044
symKL_DB_eta: 88.644,  symKL_DB_z: 39.270,  loss: -716.551,  ess: 4.989,  kl_eta_ex: 142.189,  kl_eta_in: 222.794,  kl_z_ex: 20.631,  kl_z_in: 6.894
symKL_DB_eta: 100.763,  symKL_DB_z: 38.334,  loss: -715.409,  ess: 5.069,  kl_eta_ex: 155.326,  kl_eta_in: 226.538,  kl_z_ex: 21.247,  kl_z_in: 6.415
symKL_DB_eta: 105.056,  symKL_DB_z: 35.226,  loss: -711.805,  ess: 5.167,  kl_eta_ex: 158.263,  kl_eta_in: 221.371,  kl_z_ex: 19.779,  kl_z_in: 5.634
symKL_DB_eta: 103.946,  symKL_DB_z: 31.915,  loss: -703.970,  ess: 5.239,  kl_eta_ex: 156.490,  kl_eta_in: 215.987,  kl_z_ex: 17.323,  kl_z_in: 4.879
symKL_DB_eta: 101.542,  symKL_DB_z: 28.638,  loss: -695.085,  ess: 5.304,  kl_eta_ex: 151.239,  kl_eta_in: 207.611,  kl_z_ex: 15.065,  kl_z_in: 4.277
symKL_DB_eta: 97.768,  symKL_DB_z: 25.257,  loss: -686.224,  ess: 5.361,  kl_eta_ex: 145.012,  kl_eta_in: 201.382,  kl_z_ex: 13.362,  kl_z_in: 3.820
