symKL_DB_eta: 117.862,  symKL_DB_z: 135.843,  loss: -844.786,  ess: 3.887,  kl_eta_ex: 300.483,  kl_eta_in: 85.927,  kl_z_ex: 83.052,  kl_z_in: 18.699
symKL_DB_eta: 18.282,  symKL_DB_z: 26.771,  loss: -505.964,  ess: 5.485,  kl_eta_ex: 28.929,  kl_eta_in: 35.341,  kl_z_ex: 13.274,  kl_z_in: 3.802
symKL_DB_eta: 10.588,  symKL_DB_z: 12.184,  loss: -465.782,  ess: 6.200,  kl_eta_ex: 12.607,  kl_eta_in: 23.974,  kl_z_ex: 5.076,  kl_z_in: 1.738
symKL_DB_eta: 7.235,  symKL_DB_z: 7.255,  loss: -451.896,  ess: 6.791,  kl_eta_ex: 7.077,  kl_eta_in: 15.192,  kl_z_ex: 2.708,  kl_z_in: 1.036
symKL_DB_eta: 5.109,  symKL_DB_z: 4.036,  loss: -443.582,  ess: 7.334,  kl_eta_ex: 3.032,  kl_eta_in: 5.637,  kl_z_ex: 1.353,  kl_z_in: 0.557
symKL_DB_eta: 3.786,  symKL_DB_z: 2.807,  loss: -440.788,  ess: 7.774,  kl_eta_ex: 1.072,  kl_eta_in: 1.681,  kl_z_ex: 0.811,  kl_z_in: 0.353
symKL_DB_eta: 2.887,  symKL_DB_z: 2.256,  loss: -440.363,  ess: 8.089,  kl_eta_ex: 0.337,  kl_eta_in: 0.490,  kl_z_ex: 0.609,  kl_z_in: 0.275
symKL_DB_eta: 2.489,  symKL_DB_z: 1.911,  loss: -440.417,  ess: 8.265,  kl_eta_ex: 0.109,  kl_eta_in: 0.118,  kl_z_ex: 0.496,  kl_z_in: 0.232
symKL_DB_eta: 2.270,  symKL_DB_z: 1.830,  loss: -440.568,  ess: 8.347,  kl_eta_ex: 0.039,  kl_eta_in: 0.038,  kl_z_ex: 0.431,  kl_z_in: 0.204
symKL_DB_eta: 2.189,  symKL_DB_z: 1.611,  loss: -440.755,  ess: 8.382,  kl_eta_ex: 0.027,  kl_eta_in: 0.020,  kl_z_ex: 0.391,  kl_z_in: 0.180
symKL_DB_eta: 2.143,  symKL_DB_z: 1.491,  loss: -440.783,  ess: 8.410,  kl_eta_ex: 0.022,  kl_eta_in: 0.017,  kl_z_ex: 0.359,  kl_z_in: 0.159
symKL_DB_eta: 2.139,  symKL_DB_z: 1.419,  loss: -440.720,  ess: 8.424,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.334,  kl_z_in: 0.140
symKL_DB_eta: 2.144,  symKL_DB_z: 1.354,  loss: -441.012,  ess: 8.423,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.307,  kl_z_in: 0.125
symKL_DB_eta: 2.132,  symKL_DB_z: 1.218,  loss: -440.760,  ess: 8.428,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.277,  kl_z_in: 0.114
symKL_DB_eta: 2.119,  symKL_DB_z: 1.121,  loss: -440.872,  ess: 8.436,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.250,  kl_z_in: 0.102
symKL_DB_eta: 2.104,  symKL_DB_z: 1.110,  loss: -440.881,  ess: 8.435,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.237,  kl_z_in: 0.097
symKL_DB_eta: 2.074,  symKL_DB_z: 1.032,  loss: -440.817,  ess: 8.447,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.217,  kl_z_in: 0.092
symKL_DB_eta: 2.113,  symKL_DB_z: 1.024,  loss: -440.999,  ess: 8.439,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.204,  kl_z_in: 0.086
symKL_DB_eta: 2.141,  symKL_DB_z: 0.956,  loss: -440.857,  ess: 8.441,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.196,  kl_z_in: 0.085
symKL_DB_eta: 2.109,  symKL_DB_z: 0.904,  loss: -440.804,  ess: 8.443,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.188,  kl_z_in: 0.081
symKL_DB_eta: 2.093,  symKL_DB_z: 0.896,  loss: -440.913,  ess: 8.445,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.179,  kl_z_in: 0.079
symKL_DB_eta: 2.124,  symKL_DB_z: 0.812,  loss: -440.970,  ess: 8.449,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.169,  kl_z_in: 0.075
symKL_DB_eta: 2.111,  symKL_DB_z: 0.851,  loss: -441.015,  ess: 8.442,  kl_eta_ex: 0.018,  kl_eta_in: 0.015,  kl_z_ex: 0.166,  kl_z_in: 0.073
symKL_DB_eta: 2.135,  symKL_DB_z: 0.858,  loss: -441.106,  ess: 8.445,  kl_eta_ex: 0.017,  kl_eta_in: 0.015,  kl_z_ex: 0.160,  kl_z_in: 0.072
symKL_DB_eta: 2.120,  symKL_DB_z: 0.813,  loss: -441.017,  ess: 8.446,  kl_eta_ex: 0.017,  kl_eta_in: 0.014,  kl_z_ex: 0.154,  kl_z_in: 0.069
