(0s) loss: -215.032,  ess: 1.051
(0s) loss: -207.973,  ess: 1.044
(0s) loss: -211.587,  ess: 1.043
(0s) loss: -215.994,  ess: 1.048
(0s) loss: -214.503,  ess: 1.035
(0s) loss: -208.037,  ess: 1.058
(0s) loss: -210.323,  ess: 1.031
(0s) loss: -209.814,  ess: 1.051
(0s) loss: -211.289,  ess: 1.035
(0s) loss: -205.354,  ess: 1.045
(0s) loss: -210.333,  ess: 1.050
(0s) loss: -213.444,  ess: 1.063
(0s) loss: -196.809,  ess: 1.033
(0s) loss: -201.717,  ess: 1.054
(0s) loss: -204.477,  ess: 1.070
(0s) loss: -203.034,  ess: 1.063
(0s) loss: -196.383,  ess: 1.049
(0s) loss: -197.024,  ess: 1.055
(0s) loss: -191.726,  ess: 1.043
(0s) loss: -199.193,  ess: 1.050
(0s) loss: -192.166,  ess: 1.051
(0s) loss: -191.595,  ess: 1.039
(0s) loss: -191.388,  ess: 1.062
(0s) loss: -185.185,  ess: 1.047
(0s) loss: -188.139,  ess: 1.067
(0s) loss: -187.060,  ess: 1.057
(0s) loss: -190.358,  ess: 1.078
(0s) loss: -181.068,  ess: 1.042
(0s) loss: -181.665,  ess: 1.038
(0s) loss: -177.153,  ess: 1.083
(0s) loss: -176.187,  ess: 1.050
(0s) loss: -172.618,  ess: 1.049
(0s) loss: -171.955,  ess: 1.069
