time:21, inckl:290.003866
time:37, inckl:323.474965
time:53, inckl:355.368652
time:69, inckl:395.556445
time:85, inckl:452.531349
time:102, inckl:483.245819
time:119, inckl:524.800247
time:136, inckl:552.627111
time:152, inckl:588.034790
time:168, inckl:601.664700
time:184, inckl:602.271856
time:200, inckl:605.230697
time:216, inckl:607.992943
time:232, inckl:592.422290
time:248, inckl:593.157623
time:266, inckl:585.421886
time:282, inckl:590.833011
time:299, inckl:573.391042
time:315, inckl:573.817655
time:331, inckl:555.156983
time:348, inckl:547.854702
time:364, inckl:536.706656
time:380, inckl:541.292590
time:397, inckl:525.213569
time:413, inckl:519.558428
time:430, inckl:510.758733
time:447, inckl:508.393669
time:463, inckl:505.709459
time:480, inckl:489.589885
time:496, inckl:490.460560
time:513, inckl:494.964319
time:529, inckl:485.192727
time:545, inckl:471.569534
time:561, inckl:464.790977
time:577, inckl:461.272472
time:593, inckl:460.749219
time:609, inckl:454.230283
time:625, inckl:445.801530
time:641, inckl:440.539928
time:658, inckl:422.864438
time:674, inckl:424.796367
time:690, inckl:423.505607
time:706, inckl:409.303521
time:723, inckl:404.372784
time:739, inckl:389.085878
time:756, inckl:384.939173
time:772, inckl:372.993662
time:789, inckl:373.093067
time:806, inckl:361.159992
time:823, inckl:352.606496
time:839, inckl:344.978521
time:855, inckl:340.080289
time:871, inckl:336.945965
time:887, inckl:333.541997
time:903, inckl:324.304775
time:920, inckl:318.892115
time:936, inckl:312.745122
time:952, inckl:310.949393
time:968, inckl:307.892942
time:984, inckl:302.794148
time:1000, inckl:297.644964
time:1016, inckl:294.612106
time:1032, inckl:293.591861
time:1049, inckl:294.582870
time:1065, inckl:293.063742
time:1081, inckl:296.373639
time:1098, inckl:304.660871
time:1114, inckl:305.555565
time:1130, inckl:310.176299
time:1147, inckl:314.939666
time:1163, inckl:317.801879
time:1179, inckl:316.965987
time:1195, inckl:321.784850
time:1211, inckl:318.546463
time:1227, inckl:318.444068
time:1243, inckl:319.463521
time:1260, inckl:321.374287
