time:43, inckl:224.490420
time:85, inckl:233.339254
time:128, inckl:235.079302
time:169, inckl:248.391546
time:211, inckl:250.142389
time:255, inckl:264.106331
time:298, inckl:272.129272
time:340, inckl:285.117026
time:382, inckl:302.335607
time:423, inckl:310.340166
time:465, inckl:326.940027
time:506, inckl:331.612864
time:548, inckl:346.032797
time:590, inckl:352.856705
time:633, inckl:369.565057
time:675, inckl:378.500456
time:717, inckl:375.472750
time:758, inckl:386.326656
time:800, inckl:385.070003
time:843, inckl:400.577765
time:886, inckl:406.968466
time:929, inckl:397.239552
