time:22, inckl:108.823073
time:42, inckl:243.706306
time:64, inckl:268.018819
time:85, inckl:334.115055
time:105, inckl:379.140814
time:125, inckl:392.508735
time:145, inckl:426.028695
time:164, inckl:378.884785
time:185, inckl:414.021861
time:205, inckl:374.144868
time:225, inckl:368.428884
time:246, inckl:387.265705
time:266, inckl:386.909817
time:286, inckl:376.372071
time:307, inckl:373.084024
time:327, inckl:386.299343
time:347, inckl:351.645094
time:368, inckl:350.480732
time:389, inckl:362.553237
time:409, inckl:348.684965
time:429, inckl:334.789518
time:449, inckl:348.266210
time:469, inckl:344.316619
time:490, inckl:347.978264
time:512, inckl:366.904784
time:532, inckl:345.489682
time:553, inckl:337.883951
time:573, inckl:320.658569
time:594, inckl:299.111120
time:614, inckl:282.888675
time:634, inckl:285.597058
time:655, inckl:272.943297
time:675, inckl:265.514154
time:695, inckl:239.986649
time:715, inckl:211.042800
time:735, inckl:199.927048
time:756, inckl:184.576767
time:777, inckl:181.948729
time:798, inckl:181.555492
time:819, inckl:162.827179
time:839, inckl:163.026809
time:859, inckl:152.099661
time:881, inckl:149.354531
time:901, inckl:133.161129
time:921, inckl:124.769519
time:940, inckl:133.758164
time:961, inckl:124.299505
time:982, inckl:114.082014
time:1003, inckl:112.354888
time:1022, inckl:110.192780
time:1042, inckl:103.980109
time:1063, inckl:99.492047
time:1084, inckl:86.585663
time:1105, inckl:88.370980
time:1126, inckl:78.796946
time:1147, inckl:84.288647
time:1168, inckl:75.638580
time:1189, inckl:72.759067
time:1209, inckl:77.752327
time:1229, inckl:67.741850
time:1250, inckl:66.414668
time:1271, inckl:68.602848
time:1293, inckl:63.596063
time:1314, inckl:66.019623
time:1335, inckl:71.163039
time:1355, inckl:62.613327
time:1377, inckl:63.648036
time:1398, inckl:56.863868
time:1419, inckl:58.886764
time:1440, inckl:59.028694
time:1461, inckl:53.406929
time:1481, inckl:52.142742
time:1502, inckl:58.403062
time:1523, inckl:58.031940
time:1543, inckl:57.145709
time:1564, inckl:57.437852
time:1584, inckl:56.674425
time:1605, inckl:49.488237
time:1627, inckl:61.627509
time:1648, inckl:61.626130
time:1669, inckl:51.706130
time:1689, inckl:54.051879
time:1710, inckl:54.422605
time:1731, inckl:48.778934
time:1752, inckl:60.236500
time:1774, inckl:45.010280
time:1794, inckl:45.434468
time:1815, inckl:54.868732
time:1836, inckl:42.296914
time:1856, inckl:48.478760
time:1877, inckl:46.600219
time:1899, inckl:42.749462
time:1920, inckl:42.453635
time:1940, inckl:41.065888
time:1961, inckl:42.884713
time:1982, inckl:45.521510
time:2002, inckl:45.318549
time:2023, inckl:39.947451
time:2044, inckl:44.396750
time:2065, inckl:39.465847
time:2085, inckl:41.411936
time:2106, inckl:41.718504
time:2126, inckl:37.551773
time:2147, inckl:40.252280
time:2167, inckl:38.749896
time:2188, inckl:39.117597
time:2210, inckl:41.692224
time:2231, inckl:40.655468
time:2251, inckl:45.329734
time:2271, inckl:40.637636
time:2292, inckl:42.892264
time:2313, inckl:38.433723
time:2334, inckl:35.784373
time:2354, inckl:36.566610
time:2376, inckl:41.866116
time:2398, inckl:34.466620
time:2419, inckl:32.237534
time:2440, inckl:34.934735
time:2460, inckl:36.753026
time:2480, inckl:41.828946
time:2501, inckl:35.250940
time:2522, inckl:40.545090
time:2543, inckl:40.135595
time:2564, inckl:36.016192
time:2585, inckl:33.668463
time:2605, inckl:33.656755
time:2626, inckl:28.036186
time:2646, inckl:32.273913
time:2667, inckl:28.542630
time:2688, inckl:29.060870
time:2708, inckl:27.415415
time:2729, inckl:29.217260
time:2750, inckl:28.407416
time:2770, inckl:27.915082
time:2791, inckl:28.139798
time:2812, inckl:24.838963
time:2832, inckl:25.431360
time:2852, inckl:26.781513
time:2872, inckl:28.270603
time:2893, inckl:27.749822
time:2914, inckl:27.067604
time:2934, inckl:25.145799
time:2954, inckl:27.220775
time:2975, inckl:29.348173
time:2995, inckl:31.097628
time:3016, inckl:25.478638
time:3036, inckl:27.562206
time:3057, inckl:33.043355
time:3076, inckl:28.292431
time:3098, inckl:38.015395
time:3118, inckl:33.005261
time:3139, inckl:30.847347
time:3161, inckl:27.991113
time:3182, inckl:24.737774
time:3202, inckl:28.338183
time:3223, inckl:27.372002
time:3243, inckl:22.165772
time:3263, inckl:20.549532
time:3284, inckl:25.107612
time:3304, inckl:22.144961
time:3325, inckl:24.845059
time:3345, inckl:21.414806
time:3365, inckl:23.554701
time:3386, inckl:24.343684
time:3407, inckl:23.699456
time:3428, inckl:24.925253
time:3448, inckl:17.865423
time:3469, inckl:21.897349
time:3489, inckl:19.849963
time:3511, inckl:22.104816
time:3531, inckl:23.335728
time:3552, inckl:23.824559
time:3573, inckl:27.314761
time:3593, inckl:27.793002
time:3614, inckl:23.441969
time:3634, inckl:24.823699
time:3654, inckl:27.547396
time:3674, inckl:26.936743
time:3696, inckl:27.424445
time:3716, inckl:21.473916
time:3736, inckl:23.860221
time:3757, inckl:25.379610
time:3778, inckl:22.945121
time:3799, inckl:26.077282
time:3820, inckl:23.386836
time:3841, inckl:24.879324
time:3862, inckl:25.076061
time:3883, inckl:22.611627
time:3904, inckl:25.622963
time:3925, inckl:21.463018
time:3946, inckl:21.594609
time:3967, inckl:20.147013
time:3988, inckl:23.199131
time:4011, inckl:21.610968
time:4031, inckl:19.667332
time:4051, inckl:21.802810
time:4073, inckl:18.829675
time:4093, inckl:17.469323
time:4113, inckl:17.108387
time:4134, inckl:16.481511
time:4154, inckl:15.940928
time:4175, inckl:19.519753
time:4195, inckl:19.855086
time:4216, inckl:16.241423
time:4236, inckl:16.739246
time:4258, inckl:16.801729
time:4279, inckl:17.222416
time:4299, inckl:16.683512
time:4319, inckl:19.275669
time:4341, inckl:17.662900
time:4363, inckl:17.670744
time:4384, inckl:17.455528
time:4405, inckl:17.256051
time:4426, inckl:16.783228
time:4447, inckl:20.206420
time:4468, inckl:20.077147
time:4489, inckl:21.291585
time:4508, inckl:20.478591
time:4528, inckl:23.582455
time:4549, inckl:21.787662
time:4569, inckl:23.097608
time:4590, inckl:27.681121
time:4611, inckl:23.019597
time:4632, inckl:25.472126
time:4653, inckl:26.021753
time:4673, inckl:27.241153
time:4693, inckl:27.216245
time:4713, inckl:26.098775
time:4733, inckl:24.126598
time:4754, inckl:23.835267
time:4775, inckl:23.974958
time:4795, inckl:25.690908
time:4815, inckl:27.668225
time:4836, inckl:21.900475
time:4856, inckl:21.940121
time:4876, inckl:22.176595
time:4897, inckl:20.341485
time:4917, inckl:22.582235
time:4938, inckl:20.844445
time:4958, inckl:23.539179
time:4978, inckl:21.587462
time:4999, inckl:22.652512
time:5020, inckl:24.147662
time:5040, inckl:24.021085
time:5060, inckl:20.094375
time:5080, inckl:18.320216
time:5101, inckl:24.035371
time:5121, inckl:19.518489
time:5142, inckl:20.111194
time:5162, inckl:18.635485
time:5183, inckl:20.836117
time:5204, inckl:20.255759
time:5224, inckl:19.059318
time:5246, inckl:18.573562
time:5267, inckl:20.733949
time:5287, inckl:19.550431
time:5307, inckl:16.206014
time:5326, inckl:18.112992
time:5346, inckl:17.350170
time:5366, inckl:19.916329
time:5387, inckl:20.205809
time:5409, inckl:18.641467
time:5430, inckl:18.598333
time:5450, inckl:20.667613
