(92s) loss: 126.287839,  ess_sis: 1.489293
(93s) loss: 94.459551,  ess_sis: 2.119549
(93s) loss: 39.410572,  ess_sis: 1.864072
(93s) loss: 31.566023,  ess_sis: 1.975658
(93s) loss: 29.702828,  ess_sis: 2.032645
(95s) loss: 29.018556,  ess_sis: 2.080552
(93s) loss: 29.078571,  ess_sis: 2.109802
(93s) loss: 29.242777,  ess_sis: 2.152031
(93s) loss: 29.093653,  ess_sis: 2.172176
(93s) loss: 29.377707,  ess_sis: 2.212725
(94s) loss: 29.826303,  ess_sis: 2.224738
(93s) loss: 30.265825,  ess_sis: 2.249197
(93s) loss: 30.507587,  ess_sis: 2.270784
(93s) loss: 30.428561,  ess_sis: 2.269116
(93s) loss: 30.464159,  ess_sis: 2.302096
(93s) loss: 30.777543,  ess_sis: 2.315074
(93s) loss: 30.649244,  ess_sis: 2.321048
(93s) loss: 30.519062,  ess_sis: 2.319683
(93s) loss: 30.707823,  ess_sis: 2.333672
(93s) loss: 30.785750,  ess_sis: 2.329736
(93s) loss: 30.744035,  ess_sis: 2.366093
(93s) loss: 30.656476,  ess_sis: 2.351739
(93s) loss: 30.681398,  ess_sis: 2.370052
(93s) loss: 30.776985,  ess_sis: 2.350555
(93s) loss: 30.689242,  ess_sis: 2.352211
(92s) loss: 31.034472,  ess_sis: 2.357449
(93s) loss: 30.954776,  ess_sis: 2.364769
(93s) loss: 30.855841,  ess_sis: 2.356648
(92s) loss: 30.693991,  ess_sis: 2.357048
(93s) loss: 30.624562,  ess_sis: 2.362145
