snr: 1.013148, var: 9.497189, inckl_gen:378.645599
snr: 1.013051, var: 11.906885, inckl_gen:288.519836
snr: 1.014951, var: 12.398668, inckl_gen:294.427582
snr: 1.008289, var: 12.666997, inckl_gen:336.887665
snr: 1.010765, var: 12.245461, inckl_gen:263.315735
snr: 1.012747, var: 12.116988, inckl_gen:334.344879
snr: 1.012277, var: 10.189866, inckl_gen:261.799408
snr: 1.009127, var: 10.702991, inckl_gen:330.406616
snr: 1.009266, var: 10.144613, inckl_gen:360.444611
snr: 1.010369, var: 9.196709, inckl_gen:342.472260
snr: 1.009643, var: 10.121259, inckl_gen:298.010498
snr: 1.007353, var: 9.880517, inckl_gen:399.532471
snr: 1.009621, var: 9.191016, inckl_gen:421.936127
snr: 1.006596, var: 9.261912, inckl_gen:349.617767
snr: 1.007256, var: 8.905402, inckl_gen:325.830933
snr: 1.006045, var: 8.535583, inckl_gen:463.252655
snr: 1.007445, var: 8.349157, inckl_gen:275.741699
snr: 1.007174, var: 8.278135, inckl_gen:410.039062
snr: 1.009462, var: 8.688001, inckl_gen:487.861298
snr: 1.008748, var: 7.942832, inckl_gen:270.940643
snr: 1.006092, var: 8.441099, inckl_gen:394.445496
snr: 1.006539, var: 8.250603, inckl_gen:580.962341
snr: 1.006364, var: 8.037849, inckl_gen:415.986084
snr: 1.006315, var: 8.238539, inckl_gen:366.405792
snr: 1.006114, var: 8.256426, inckl_gen:570.009766
snr: 1.004521, var: 8.079664, inckl_gen:703.415466
snr: 1.006225, var: 8.690498, inckl_gen:291.417053
snr: 1.004565, var: 8.253415, inckl_gen:607.050293
snr: 1.006232, var: 8.201152, inckl_gen:569.162903
snr: 1.007478, var: 7.932636, inckl_gen:370.939880
snr: 1.005316, var: 8.043477, inckl_gen:488.984344
snr: 1.004246, var: 7.853592, inckl_gen:524.496277
snr: 1.005308, var: 8.017291, inckl_gen:510.571777
snr: 1.004654, var: 7.904617, inckl_gen:648.298462
snr: 1.006879, var: 7.961827, inckl_gen:519.433044
snr: 1.004957, var: 8.143393, inckl_gen:539.854248
snr: 1.003639, var: 7.408501, inckl_gen:496.123749
snr: 1.004216, var: 6.754657, inckl_gen:560.658875
snr: 1.006922, var: 7.402338, inckl_gen:666.734863
snr: 1.005018, var: 7.758830, inckl_gen:686.714111
snr: 1.004762, var: 7.958152, inckl_gen:336.642059
snr: 1.004229, var: 7.157047, inckl_gen:714.299927
snr: 1.007253, var: 8.055450, inckl_gen:535.909546
snr: 1.004956, var: 8.291112, inckl_gen:623.162598
snr: 1.008515, var: 7.822536, inckl_gen:620.934509
snr: 1.005275, var: 7.301993, inckl_gen:565.464844
snr: 1.006079, var: 7.823636, inckl_gen:542.940063
snr: 1.005026, var: 7.484354, inckl_gen:787.339783
snr: 1.003759, var: 8.461695, inckl_gen:476.593414
snr: 1.005556, var: 8.268659, inckl_gen:685.759949
snr: 1.003617, var: 7.962485, inckl_gen:694.657959
snr: 1.004713, var: 8.454386, inckl_gen:574.048279
snr: 1.005269, var: 7.712714, inckl_gen:858.373047
snr: 1.003780, var: 7.415843, inckl_gen:615.290161
snr: 1.003510, var: 7.781117, inckl_gen:539.614441
snr: 1.004400, var: 7.372592, inckl_gen:519.025330
snr: 1.006342, var: 7.729576, inckl_gen:546.211060
