(192s) loss: 325.091067,  ess_sis: 1.025976
(199s) loss: 307.445759,  ess_sis: 1.145376
(199s) loss: 303.608814,  ess_sis: 1.196619
(199s) loss: 302.956846,  ess_sis: 1.203823
(199s) loss: 303.065456,  ess_sis: 1.207050
(199s) loss: 303.011843,  ess_sis: 1.208169
(187s) loss: 303.043566,  ess_sis: 1.214589
(190s) loss: 302.559731,  ess_sis: 1.215926
(199s) loss: 302.040920,  ess_sis: 1.207481
(191s) loss: 300.262811,  ess_sis: 1.230773
(188s) loss: 287.072418,  ess_sis: 1.268572
(186s) loss: 228.899312,  ess_sis: 1.282626
(192s) loss: 168.511592,  ess_sis: 1.233825
(199s) loss: 135.521789,  ess_sis: 1.208440
(197s) loss: 113.649743,  ess_sis: 1.190017
(200s) loss: 103.820765,  ess_sis: 1.188938
(198s) loss: 94.846795,  ess_sis: 1.186146
(179s) loss: 87.417839,  ess_sis: 1.186358
(189s) loss: 82.910479,  ess_sis: 1.181839
(189s) loss: 80.985653,  ess_sis: 1.185447
(188s) loss: 78.420183,  ess_sis: 1.185002
(194s) loss: 77.049320,  ess_sis: 1.189005
(173s) loss: 74.650162,  ess_sis: 1.194407
(196s) loss: 72.905483,  ess_sis: 1.190405
(199s) loss: 71.621386,  ess_sis: 1.182086
(187s) loss: 71.862748,  ess_sis: 1.180371
(198s) loss: 72.417863,  ess_sis: 1.181072
(189s) loss: 71.590640,  ess_sis: 1.183740
(161s) loss: 72.353058,  ess_sis: 1.183320
(170s) loss: 75.019158,  ess_sis: 1.189232
