snr: 1.461715, var: 0.783010, inckl_gen:243.622269, inckl_eta:45.668407, inckl_z:0.535314
snr: 1.683111, var: 0.995686, inckl_gen:282.327972, inckl_eta:41.725430, inckl_z:0.538395
snr: 1.797584, var: 1.116906, inckl_gen:297.937958, inckl_eta:45.747814, inckl_z:0.447501
snr: 1.696167, var: 1.021157, inckl_gen:270.782715, inckl_eta:27.918797, inckl_z:0.335965
snr: 1.711417, var: 1.037682, inckl_gen:212.162064, inckl_eta:32.628914, inckl_z:0.276512
snr: 1.694639, var: 1.026673, inckl_gen:296.582428, inckl_eta:26.211607, inckl_z:0.225326
snr: 1.628147, var: 0.963177, inckl_gen:327.928284, inckl_eta:21.030825, inckl_z:0.206218
snr: 1.624489, var: 0.960874, inckl_gen:325.921692, inckl_eta:52.599941, inckl_z:0.215454
snr: 1.580738, var: 0.919158, inckl_gen:314.182373, inckl_eta:33.300076, inckl_z:0.178267
snr: 1.536235, var: 0.875568, inckl_gen:309.221497, inckl_eta:32.314266, inckl_z:0.177244
snr: 1.498997, var: 0.840803, inckl_gen:325.918915, inckl_eta:41.469830, inckl_z:0.143844
snr: 1.468055, var: 0.807930, inckl_gen:338.078949, inckl_eta:32.074219, inckl_z:0.134608
snr: 1.460320, var: 0.799274, inckl_gen:533.111023, inckl_eta:105.556053, inckl_z:0.283569
snr: 1.484295, var: 0.828058, inckl_gen:464.197845, inckl_eta:75.638382, inckl_z:0.143898
snr: 1.455642, var: 0.801326, inckl_gen:536.209961, inckl_eta:79.742851, inckl_z:0.162057
snr: 1.455246, var: 0.797550, inckl_gen:501.787903, inckl_eta:124.336670, inckl_z:0.223421
snr: 1.478471, var: 0.822446, inckl_gen:417.332672, inckl_eta:37.874767, inckl_z:0.140628
snr: 1.469143, var: 0.817767, inckl_gen:366.527649, inckl_eta:38.820740, inckl_z:0.108081
snr: 1.482243, var: 0.830813, inckl_gen:308.760864, inckl_eta:30.239964, inckl_z:0.089504
snr: 1.447411, var: 0.792017, inckl_gen:471.271881, inckl_eta:114.002762, inckl_z:0.214419
snr: 1.421489, var: 0.767759, inckl_gen:364.190826, inckl_eta:44.348492, inckl_z:0.118857
snr: 1.415028, var: 0.763600, inckl_gen:460.179291, inckl_eta:33.156612, inckl_z:0.109868
snr: 1.441171, var: 0.791800, inckl_gen:525.105652, inckl_eta:80.466515, inckl_z:0.162718
snr: 1.376438, var: 0.730277, inckl_gen:584.469849, inckl_eta:167.505081, inckl_z:0.230599
snr: 1.462977, var: 0.816748, inckl_gen:313.488342, inckl_eta:31.197668, inckl_z:0.078010
snr: 1.437137, var: 0.790467, inckl_gen:335.530640, inckl_eta:12.666174, inckl_z:0.064398
snr: 1.461825, var: 0.817852, inckl_gen:708.665955, inckl_eta:82.225647, inckl_z:0.149793
snr: 1.422051, var: 0.777027, inckl_gen:446.721191, inckl_eta:68.976570, inckl_z:0.156176
snr: 1.431662, var: 0.789557, inckl_gen:351.220673, inckl_eta:59.274731, inckl_z:0.143998
