(748s) inckl_eta: 92.690057,  inckl_z: 0.294304,  loss: 60.915365,  ess_rws: 1.207994,  ess_eta: 1.290653,  ess_z: 6.841138,  density: -674.856803
(744s) inckl_eta: 148.728152,  inckl_z: 0.162147,  loss: 50.943513,  ess_rws: 1.449747,  ess_eta: 1.406876,  ess_z: 7.894857,  density: -514.831380
(746s) inckl_eta: 142.593345,  inckl_z: 0.117028,  loss: 42.623876,  ess_rws: 1.487515,  ess_eta: 1.429786,  ess_z: 8.421441,  density: -489.062406
(751s) inckl_eta: 101.816284,  inckl_z: 0.081593,  loss: 37.900137,  ess_rws: 1.543232,  ess_eta: 1.465831,  ess_z: 9.007876,  density: -435.992904
(742s) inckl_eta: 40.756107,  inckl_z: 0.078509,  loss: 35.409117,  ess_rws: 1.613024,  ess_eta: 1.620793,  ess_z: 9.439947,  density: -366.241352
(746s) inckl_eta: 15.288518,  inckl_z: 0.276812,  loss: 18.694808,  ess_rws: 1.748373,  ess_eta: 2.012003,  ess_z: 9.671396,  density: -301.670190
(747s) inckl_eta: 6.186777,  inckl_z: 0.327248,  loss: 14.189089,  ess_rws: 1.789618,  ess_eta: 2.872920,  ess_z: 9.758898,  density: -282.308481
(754s) inckl_eta: 0.774162,  inckl_z: 0.391232,  loss: 12.495684,  ess_rws: 1.821230,  ess_eta: 6.574219,  ess_z: 9.766617,  density: -274.566862
(749s) inckl_eta: 0.061566,  inckl_z: 0.488445,  loss: 12.212281,  ess_rws: 1.839093,  ess_eta: 9.167400,  ess_z: 9.774407,  density: -274.490977
(752s) inckl_eta: 0.007657,  inckl_z: 0.536689,  loss: 12.227334,  ess_rws: 1.848654,  ess_eta: 9.728249,  ess_z: 9.786143,  density: -274.858170
(748s) inckl_eta: 0.002089,  inckl_z: 0.561173,  loss: 12.173612,  ess_rws: 1.837665,  ess_eta: 9.834701,  ess_z: 9.796750,  density: -274.760694
(742s) inckl_eta: 0.001214,  inckl_z: 0.577522,  loss: 12.195103,  ess_rws: 1.839002,  ess_eta: 9.858637,  ess_z: 9.808326,  density: -274.781152
(746s) inckl_eta: 0.001067,  inckl_z: 0.586990,  loss: 12.208043,  ess_rws: 1.840732,  ess_eta: 9.863678,  ess_z: 9.817507,  density: -274.828193
(751s) inckl_eta: 0.001004,  inckl_z: 0.595420,  loss: 12.192357,  ess_rws: 1.844276,  ess_eta: 9.867181,  ess_z: 9.823947,  density: -274.754032
(754s) inckl_eta: 0.001007,  inckl_z: 0.600705,  loss: 12.173168,  ess_rws: 1.847480,  ess_eta: 9.868703,  ess_z: 9.832583,  density: -274.673563
(753s) inckl_eta: 0.000962,  inckl_z: 0.607423,  loss: 12.182759,  ess_rws: 1.854448,  ess_eta: 9.869374,  ess_z: 9.839676,  density: -274.665022
(747s) inckl_eta: 0.001008,  inckl_z: 0.616989,  loss: 12.200278,  ess_rws: 1.853844,  ess_eta: 9.869724,  ess_z: 9.843344,  density: -274.691264
(755s) inckl_eta: 0.000987,  inckl_z: 0.615722,  loss: 12.177647,  ess_rws: 1.860349,  ess_eta: 9.869740,  ess_z: 9.849661,  density: -274.677052
(748s) inckl_eta: 0.000966,  inckl_z: 0.628939,  loss: 12.155928,  ess_rws: 1.860575,  ess_eta: 9.869691,  ess_z: 9.855013,  density: -274.653689
(748s) inckl_eta: 0.000933,  inckl_z: 0.632383,  loss: 12.200781,  ess_rws: 1.869697,  ess_eta: 9.869012,  ess_z: 9.859099,  density: -274.650831
(752s) inckl_eta: 0.000999,  inckl_z: 0.642057,  loss: 12.162294,  ess_rws: 1.856276,  ess_eta: 9.868851,  ess_z: 9.862389,  density: -274.595998
(745s) inckl_eta: 0.000981,  inckl_z: 0.644103,  loss: 12.156457,  ess_rws: 1.861978,  ess_eta: 9.869240,  ess_z: 9.865274,  density: -274.628107
(747s) inckl_eta: 0.000937,  inckl_z: 0.650599,  loss: 12.118756,  ess_rws: 1.866208,  ess_eta: 9.869926,  ess_z: 9.869774,  density: -274.556670
(751s) inckl_eta: 0.000915,  inckl_z: 0.654868,  loss: 12.157118,  ess_rws: 1.871484,  ess_eta: 9.869351,  ess_z: 9.872482,  density: -274.515585
(746s) inckl_eta: 0.000985,  inckl_z: 0.658404,  loss: 12.164059,  ess_rws: 1.885089,  ess_eta: 9.869422,  ess_z: 9.876640,  density: -274.602604
(756s) inckl_eta: 0.000953,  inckl_z: 0.660534,  loss: 12.191238,  ess_rws: 1.878589,  ess_eta: 9.868753,  ess_z: 9.877720,  density: -274.570197
(750s) inckl_eta: 0.001090,  inckl_z: 0.670158,  loss: 12.130773,  ess_rws: 1.862906,  ess_eta: 9.869080,  ess_z: 9.880328,  density: -274.451683
(750s) inckl_eta: 0.001011,  inckl_z: 0.673722,  loss: 12.175907,  ess_rws: 1.875941,  ess_eta: 9.868774,  ess_z: 9.881935,  density: -274.613334
(746s) inckl_eta: 0.000940,  inckl_z: 0.674922,  loss: 12.170497,  ess_rws: 1.872358,  ess_eta: 9.868841,  ess_z: 9.883405,  density: -274.502245
(741s) inckl_eta: 0.000932,  inckl_z: 0.674001,  loss: 12.175583,  ess_rws: 1.878140,  ess_eta: 9.868818,  ess_z: 9.885949,  density: -274.534952
