(764s) inckl_eta: 90.404490,  inckl_z: 0.474276,  loss: 61.419774,  ess_sis: 1.181194,  density: -578.258400
(762s) inckl_eta: 106.651187,  inckl_z: 0.224397,  loss: 59.224143,  ess_sis: 1.318258,  density: -483.962818
(763s) inckl_eta: 101.633592,  inckl_z: 0.189625,  loss: 58.355884,  ess_sis: 1.295164,  density: -471.012855
(766s) inckl_eta: 96.623974,  inckl_z: 0.171501,  loss: 57.058233,  ess_sis: 1.266259,  density: -457.283801
(773s) inckl_eta: 95.515384,  inckl_z: 0.169614,  loss: 54.794159,  ess_sis: 1.270389,  density: -445.357828
(764s) inckl_eta: 107.432680,  inckl_z: 0.200819,  loss: 48.467373,  ess_sis: 1.345438,  density: -432.090144
(770s) inckl_eta: 126.972342,  inckl_z: 0.257733,  loss: 40.781160,  ess_sis: 1.513426,  density: -419.406606
(765s) inckl_eta: 146.110571,  inckl_z: 0.292705,  loss: 35.130228,  ess_sis: 1.580516,  density: -407.327989
(771s) inckl_eta: 153.102211,  inckl_z: 0.306309,  loss: 27.661944,  ess_sis: 1.606940,  density: -384.548140
(770s) inckl_eta: 112.755859,  inckl_z: 0.264993,  loss: 21.331037,  ess_sis: 1.621216,  density: -354.377939
(774s) inckl_eta: 68.172203,  inckl_z: 0.267368,  loss: 18.579624,  ess_sis: 1.655811,  density: -333.876434
(767s) inckl_eta: 45.341679,  inckl_z: 0.300001,  loss: 16.833366,  ess_sis: 1.684382,  density: -320.000253
(770s) inckl_eta: 27.536518,  inckl_z: 0.366213,  loss: 14.986334,  ess_sis: 1.720909,  density: -306.665257
(766s) inckl_eta: 12.321183,  inckl_z: 0.487907,  loss: 12.924094,  ess_sis: 1.757863,  density: -292.244724
(776s) inckl_eta: 2.846226,  inckl_z: 0.650871,  loss: 11.778364,  ess_sis: 1.770740,  density: -279.708455
(767s) inckl_eta: 0.697351,  inckl_z: 0.767413,  loss: 11.505677,  ess_sis: 1.791418,  density: -276.507050
(777s) inckl_eta: 0.329698,  inckl_z: 0.840222,  loss: 11.381245,  ess_sis: 1.798253,  density: -275.779763
(771s) inckl_eta: 0.218352,  inckl_z: 0.897928,  loss: 11.322562,  ess_sis: 1.808802,  density: -275.524644
(769s) inckl_eta: 0.107180,  inckl_z: 0.938276,  loss: 11.454236,  ess_sis: 1.819140,  density: -275.506539
(765s) inckl_eta: 0.089566,  inckl_z: 0.984126,  loss: 11.300377,  ess_sis: 1.834258,  density: -275.249471
(772s) inckl_eta: 0.079389,  inckl_z: 1.005662,  loss: 11.304218,  ess_sis: 1.821618,  density: -275.225394
(768s) inckl_eta: 0.073947,  inckl_z: 1.031072,  loss: 11.345293,  ess_sis: 1.816493,  density: -275.252096
(769s) inckl_eta: 0.048016,  inckl_z: 1.052396,  loss: 11.297612,  ess_sis: 1.825643,  density: -275.018262
(771s) inckl_eta: 0.050758,  inckl_z: 1.065020,  loss: 11.382961,  ess_sis: 1.834164,  density: -275.099170
(767s) inckl_eta: 0.044726,  inckl_z: 1.080678,  loss: 11.346129,  ess_sis: 1.836575,  density: -275.108506
(763s) inckl_eta: 0.072528,  inckl_z: 1.098755,  loss: 11.349691,  ess_sis: 1.838854,  density: -275.159956
(778s) inckl_eta: 0.042226,  inckl_z: 1.110829,  loss: 11.241351,  ess_sis: 1.835988,  density: -274.990818
(739s) inckl_eta: 0.047583,  inckl_z: 1.113256,  loss: 11.298267,  ess_sis: 1.848234,  density: -275.090615
(482s) inckl_eta: 0.046188,  inckl_z: 1.122693,  loss: 11.370174,  ess_sis: 1.851971,  density: -275.132979
(467s) inckl_eta: 0.060664,  inckl_z: 1.131456,  loss: 11.310161,  ess_sis: 1.854283,  density: -275.115522
