symKL_DB_eta: 373727.286,  symKL_DB_z: 642565.499,  gap_eta: 373551.613,  gap_z: 642367.216,  loss: -185733.024,  ess: 2.486
symKL_DB_eta: 28880.794,  symKL_DB_z: 341669.531,  gap_eta: 28881.616,  gap_z: 341626.416,  loss: -27094.586,  ess: 3.494
symKL_DB_eta: 7432.924,  symKL_DB_z: 93410.153,  gap_eta: 7432.960,  gap_z: 93397.072,  loss: -8783.197,  ess: 4.377
symKL_DB_eta: 2784.796,  symKL_DB_z: 24604.328,  gap_eta: 2784.427,  gap_z: 24599.663,  loss: -4607.131,  ess: 4.828
symKL_DB_eta: 1534.677,  symKL_DB_z: 7780.343,  gap_eta: 1532.673,  gap_z: 7778.079,  loss: -3807.080,  ess: 5.077
symKL_DB_eta: 860.677,  symKL_DB_z: 3832.334,  gap_eta: 856.938,  gap_z: 3831.637,  loss: -3841.579,  ess: 5.202
symKL_DB_eta: 528.756,  symKL_DB_z: 2823.798,  gap_eta: 525.105,  gap_z: 2824.509,  loss: -3545.295,  ess: 5.261
symKL_DB_eta: 343.424,  symKL_DB_z: 2453.968,  gap_eta: 339.116,  gap_z: 2455.440,  loss: -3455.101,  ess: 5.303
symKL_DB_eta: 243.560,  symKL_DB_z: 2291.931,  gap_eta: 238.138,  gap_z: 2293.180,  loss: -3523.959,  ess: 5.345
symKL_DB_eta: 180.226,  symKL_DB_z: 2174.694,  gap_eta: 174.153,  gap_z: 2176.625,  loss: -3588.984,  ess: 5.396
symKL_DB_eta: 142.598,  symKL_DB_z: 2087.527,  gap_eta: 135.056,  gap_z: 2089.591,  loss: -3485.515,  ess: 5.451
symKL_DB_eta: 115.520,  symKL_DB_z: 2029.492,  gap_eta: 107.741,  gap_z: 2031.868,  loss: -3399.230,  ess: 5.512
symKL_DB_eta: 98.981,  symKL_DB_z: 1968.208,  gap_eta: 90.898,  gap_z: 1970.800,  loss: -3417.919,  ess: 5.562
symKL_DB_eta: 91.597,  symKL_DB_z: 1915.021,  gap_eta: 80.715,  gap_z: 1917.540,  loss: -3460.699,  ess: 5.611
symKL_DB_eta: 85.286,  symKL_DB_z: 1894.806,  gap_eta: 70.826,  gap_z: 1896.920,  loss: -3348.687,  ess: 5.660
symKL_DB_eta: 81.521,  symKL_DB_z: 1868.821,  gap_eta: 65.468,  gap_z: 1870.511,  loss: -3469.014,  ess: 5.703
symKL_DB_eta: 78.938,  symKL_DB_z: 1843.891,  gap_eta: 61.216,  gap_z: 1844.517,  loss: -3451.986,  ess: 5.742
symKL_DB_eta: 80.435,  symKL_DB_z: 1827.475,  gap_eta: 58.217,  gap_z: 1827.880,  loss: -3302.045,  ess: 5.767
symKL_DB_eta: 82.635,  symKL_DB_z: 1803.248,  gap_eta: 55.176,  gap_z: 1802.720,  loss: -3258.809,  ess: 5.803
symKL_DB_eta: 81.714,  symKL_DB_z: 1778.347,  gap_eta: 54.692,  gap_z: 1776.796,  loss: -3303.908,  ess: 5.835
symKL_DB_eta: 92.348,  symKL_DB_z: 1765.984,  gap_eta: 52.501,  gap_z: 1763.589,  loss: -3035.632,  ess: 5.863
symKL_DB_eta: 84.646,  symKL_DB_z: 1745.650,  gap_eta: 51.518,  gap_z: 1743.246,  loss: -3302.485,  ess: 5.881
symKL_DB_eta: 81.562,  symKL_DB_z: 1735.269,  gap_eta: 49.445,  gap_z: 1736.416,  loss: -3152.301,  ess: 5.919
symKL_DB_eta: 84.724,  symKL_DB_z: 1713.101,  gap_eta: 49.226,  gap_z: 1712.830,  loss: -3210.423,  ess: 5.925
symKL_DB_eta: 99.451,  symKL_DB_z: 1692.812,  gap_eta: 48.529,  gap_z: 1687.317,  loss: -3180.401,  ess: 5.952
symKL_DB_eta: 84.103,  symKL_DB_z: 1671.165,  gap_eta: 47.004,  gap_z: 1667.880,  loss: -2983.148,  ess: 5.986
symKL_DB_eta: 127.389,  symKL_DB_z: 1643.134,  gap_eta: 46.185,  gap_z: 1645.325,  loss: -3125.714,  ess: 6.000
symKL_DB_eta: 100.314,  symKL_DB_z: 1596.167,  gap_eta: 46.229,  gap_z: 1596.296,  loss: -3087.197,  ess: 6.029
symKL_DB_eta: 68.775,  symKL_DB_z: 1545.911,  gap_eta: 45.992,  gap_z: 1543.111,  loss: -3060.144,  ess: 6.030
symKL_DB_eta: 83.531,  symKL_DB_z: 1483.893,  gap_eta: 44.360,  gap_z: 1482.592,  loss: -2923.545,  ess: 6.061
symKL_DB_eta: 68.515,  symKL_DB_z: 1395.755,  gap_eta: 43.665,  gap_z: 1394.163,  loss: -3015.880,  ess: 6.096
symKL_DB_eta: 83.275,  symKL_DB_z: 1296.057,  gap_eta: 43.018,  gap_z: 1292.088,  loss: -3020.605,  ess: 6.118
symKL_DB_eta: 54.017,  symKL_DB_z: 1177.244,  gap_eta: 42.192,  gap_z: 1178.848,  loss: -2797.703,  ess: 6.146
symKL_DB_eta: 53.455,  symKL_DB_z: 1071.838,  gap_eta: 42.082,  gap_z: 1074.673,  loss: -2979.692,  ess: 6.174
symKL_DB_eta: 61.828,  symKL_DB_z: 926.124,  gap_eta: 42.116,  gap_z: 928.436,  loss: -2917.673,  ess: 6.185
