symKL_DB_eta: 2344.378,  symKL_DB_z: 8078.599,  gap: 10367.488,  loss: -2267.807,  ess: 4.159
symKL_DB_eta: 1703.869,  symKL_DB_z: 986.943,  gap: 2652.383,  loss: -2502.197,  ess: 4.745
symKL_DB_eta: 1591.801,  symKL_DB_z: 997.914,  gap: 2552.474,  loss: -2205.964,  ess: 4.723
symKL_DB_eta: 1235.540,  symKL_DB_z: 1067.293,  gap: 2265.608,  loss: -1685.559,  ess: 4.668
symKL_DB_eta: 782.018,  symKL_DB_z: 721.928,  gap: 1468.955,  loss: -1304.492,  ess: 4.794
symKL_DB_eta: 544.675,  symKL_DB_z: 180.209,  gap: 691.919,  loss: -894.170,  ess: 5.109
symKL_DB_eta: 440.515,  symKL_DB_z: 76.264,  gap: 488.651,  loss: -877.597,  ess: 5.253
symKL_DB_eta: 353.098,  symKL_DB_z: 47.311,  gap: 376.614,  loss: -876.305,  ess: 5.326
symKL_DB_eta: 316.117,  symKL_DB_z: 33.429,  gap: 328.431,  loss: -876.388,  ess: 5.378
symKL_DB_eta: 293.758,  symKL_DB_z: 24.099,  gap: 300.321,  loss: -888.155,  ess: 5.415
symKL_DB_eta: 352.364,  symKL_DB_z: 21.116,  gap: 357.603,  loss: -1649.311,  ess: 5.431
symKL_DB_eta: 551.709,  symKL_DB_z: 25.845,  gap: 558.393,  loss: -3058.070,  ess: 5.400
symKL_DB_eta: 383.521,  symKL_DB_z: 18.169,  gap: 386.857,  loss: -2245.746,  ess: 5.446
symKL_DB_eta: 235.645,  symKL_DB_z: 11.294,  gap: 235.709,  loss: -977.193,  ess: 5.495
symKL_DB_eta: 227.964,  symKL_DB_z: 9.746,  gap: 227.264,  loss: -937.540,  ess: 5.511
symKL_DB_eta: 218.894,  symKL_DB_z: 8.838,  gap: 217.464,  loss: -962.904,  ess: 5.524
symKL_DB_eta: 230.012,  symKL_DB_z: 7.910,  gap: 228.546,  loss: -989.924,  ess: 5.526
symKL_DB_eta: 225.346,  symKL_DB_z: 7.614,  gap: 223.676,  loss: -989.815,  ess: 5.534
symKL_DB_eta: 231.696,  symKL_DB_z: 6.852,  gap: 229.827,  loss: -1012.682,  ess: 5.536
symKL_DB_eta: 232.518,  symKL_DB_z: 6.536,  gap: 230.633,  loss: -1034.260,  ess: 5.540
symKL_DB_eta: 229.291,  symKL_DB_z: 6.214,  gap: 227.294,  loss: -1042.875,  ess: 5.542
symKL_DB_eta: 232.809,  symKL_DB_z: 5.944,  gap: 230.787,  loss: -1050.206,  ess: 5.543
symKL_DB_eta: 228.720,  symKL_DB_z: 5.743,  gap: 226.562,  loss: -1074.188,  ess: 5.546
symKL_DB_eta: 229.271,  symKL_DB_z: 5.379,  gap: 227.151,  loss: -1074.770,  ess: 5.547
symKL_DB_eta: 224.161,  symKL_DB_z: 5.293,  gap: 222.096,  loss: -1100.009,  ess: 5.549
symKL_DB_eta: 225.622,  symKL_DB_z: 5.655,  gap: 223.603,  loss: -1119.837,  ess: 5.549
symKL_DB_eta: 219.661,  symKL_DB_z: 5.352,  gap: 217.632,  loss: -1128.094,  ess: 5.553
symKL_DB_eta: 225.497,  symKL_DB_z: 5.143,  gap: 223.541,  loss: -1149.682,  ess: 5.549
symKL_DB_eta: 223.690,  symKL_DB_z: 4.775,  gap: 221.497,  loss: -1146.781,  ess: 5.554
symKL_DB_eta: 219.091,  symKL_DB_z: 4.672,  gap: 217.011,  loss: -1152.643,  ess: 5.553
symKL_DB_eta: 221.378,  symKL_DB_z: 4.596,  gap: 219.029,  loss: -1163.820,  ess: 5.554
symKL_DB_eta: 218.620,  symKL_DB_z: 4.683,  gap: 216.487,  loss: -1172.595,  ess: 5.555
symKL_DB_eta: 217.482,  symKL_DB_z: 4.378,  gap: 215.455,  loss: -1185.062,  ess: 5.556
symKL_DB_eta: 209.483,  symKL_DB_z: 4.403,  gap: 207.150,  loss: -1217.762,  ess: 5.561
symKL_DB_eta: 204.482,  symKL_DB_z: 4.336,  gap: 202.267,  loss: -1232.358,  ess: 5.561
symKL_DB_eta: 200.644,  symKL_DB_z: 4.245,  gap: 198.171,  loss: -1256.383,  ess: 5.563
symKL_DB_eta: 191.687,  symKL_DB_z: 4.301,  gap: 188.925,  loss: -1285.848,  ess: 5.566
symKL_DB_eta: 182.147,  symKL_DB_z: 4.326,  gap: 179.656,  loss: -1285.841,  ess: 5.571
symKL_DB_eta: 179.197,  symKL_DB_z: 3.975,  gap: 176.522,  loss: -1298.780,  ess: 5.573
symKL_DB_eta: 182.886,  symKL_DB_z: 3.937,  gap: 180.294,  loss: -1324.389,  ess: 5.573
symKL_DB_eta: 175.907,  symKL_DB_z: 4.364,  gap: 173.116,  loss: -1315.454,  ess: 5.577
symKL_DB_eta: 176.158,  symKL_DB_z: 3.885,  gap: 173.509,  loss: -1327.649,  ess: 5.580
symKL_DB_eta: 169.490,  symKL_DB_z: 4.074,  gap: 166.770,  loss: -1315.217,  ess: 5.585
symKL_DB_eta: 170.904,  symKL_DB_z: 3.650,  gap: 167.942,  loss: -1318.161,  ess: 5.583
symKL_DB_eta: 167.830,  symKL_DB_z: 3.395,  gap: 165.066,  loss: -1330.330,  ess: 5.587
symKL_DB_eta: 164.025,  symKL_DB_z: 4.233,  gap: 161.377,  loss: -1331.469,  ess: 5.589
