symKL_DB_eta: 78.160,  symKL_DB_z: 2.960,  gap: 73.859,  loss: -1309.191,  ess: 5.773
symKL_DB_eta: 74.938,  symKL_DB_z: 3.211,  gap: 70.754,  loss: -1305.414,  ess: 5.789
symKL_DB_eta: 73.489,  symKL_DB_z: 2.720,  gap: 69.132,  loss: -1300.694,  ess: 5.794
symKL_DB_eta: 73.166,  symKL_DB_z: 2.687,  gap: 68.856,  loss: -1313.640,  ess: 5.797
symKL_DB_eta: 72.161,  symKL_DB_z: 2.972,  gap: 67.922,  loss: -1308.819,  ess: 5.802
symKL_DB_eta: 72.467,  symKL_DB_z: 2.783,  gap: 67.739,  loss: -1302.458,  ess: 5.802
symKL_DB_eta: 71.057,  symKL_DB_z: 2.925,  gap: 66.545,  loss: -1301.962,  ess: 5.808
symKL_DB_eta: 71.300,  symKL_DB_z: 2.617,  gap: 66.808,  loss: -1306.346,  ess: 5.809
symKL_DB_eta: 70.298,  symKL_DB_z: 2.505,  gap: 65.971,  loss: -1306.350,  ess: 5.815
symKL_DB_eta: 70.286,  symKL_DB_z: 2.725,  gap: 65.857,  loss: -1304.094,  ess: 5.812
symKL_DB_eta: 70.051,  symKL_DB_z: 2.619,  gap: 65.695,  loss: -1298.226,  ess: 5.819
symKL_DB_eta: 69.255,  symKL_DB_z: 2.841,  gap: 64.612,  loss: -1302.544,  ess: 5.823
symKL_DB_eta: 68.815,  symKL_DB_z: 2.573,  gap: 64.493,  loss: -1292.506,  ess: 5.821
symKL_DB_eta: 68.843,  symKL_DB_z: 2.977,  gap: 64.191,  loss: -1294.791,  ess: 5.823
symKL_DB_eta: 69.091,  symKL_DB_z: 2.907,  gap: 64.464,  loss: -1289.002,  ess: 5.822
symKL_DB_eta: 68.267,  symKL_DB_z: 2.998,  gap: 63.570,  loss: -1305.097,  ess: 5.828
symKL_DB_eta: 67.267,  symKL_DB_z: 2.841,  gap: 62.633,  loss: -1286.306,  ess: 5.834
symKL_DB_eta: 68.179,  symKL_DB_z: 2.599,  gap: 63.535,  loss: -1292.673,  ess: 5.830
symKL_DB_eta: 67.657,  symKL_DB_z: 2.865,  gap: 63.206,  loss: -1282.936,  ess: 5.831
symKL_DB_eta: 67.138,  symKL_DB_z: 2.929,  gap: 62.552,  loss: -1292.811,  ess: 5.835
symKL_DB_eta: 67.204,  symKL_DB_z: 2.617,  gap: 62.595,  loss: -1298.499,  ess: 5.833
symKL_DB_eta: 66.807,  symKL_DB_z: 2.831,  gap: 62.411,  loss: -1300.988,  ess: 5.835
symKL_DB_eta: 66.037,  symKL_DB_z: 2.601,  gap: 61.725,  loss: -1291.729,  ess: 5.838
symKL_DB_eta: 66.692,  symKL_DB_z: 2.498,  gap: 62.149,  loss: -1302.831,  ess: 5.838
symKL_DB_eta: 66.503,  symKL_DB_z: 2.836,  gap: 61.926,  loss: -1305.865,  ess: 5.838
symKL_DB_eta: 66.320,  symKL_DB_z: 2.976,  gap: 61.853,  loss: -1295.173,  ess: 5.840
symKL_DB_eta: 65.841,  symKL_DB_z: 2.437,  gap: 61.464,  loss: -1292.348,  ess: 5.840
symKL_DB_eta: 65.997,  symKL_DB_z: 2.880,  gap: 61.343,  loss: -1281.892,  ess: 5.840
symKL_DB_eta: 64.734,  symKL_DB_z: 2.473,  gap: 60.450,  loss: -1290.836,  ess: 5.843
symKL_DB_eta: 65.153,  symKL_DB_z: 2.650,  gap: 60.501,  loss: -1295.705,  ess: 5.843
symKL_DB_eta: 64.975,  symKL_DB_z: 3.134,  gap: 60.247,  loss: -1301.971,  ess: 5.841
symKL_DB_eta: 65.076,  symKL_DB_z: 2.674,  gap: 60.705,  loss: -1299.716,  ess: 5.847
symKL_DB_eta: 64.715,  symKL_DB_z: 2.941,  gap: 59.938,  loss: -1295.245,  ess: 5.846
symKL_DB_eta: 64.792,  symKL_DB_z: 2.389,  gap: 60.171,  loss: -1286.147,  ess: 5.850
symKL_DB_eta: 63.614,  symKL_DB_z: 2.522,  gap: 59.162,  loss: -1283.554,  ess: 5.853
symKL_DB_eta: 64.204,  symKL_DB_z: 2.676,  gap: 59.346,  loss: -1308.501,  ess: 5.851
symKL_DB_eta: 63.979,  symKL_DB_z: 2.594,  gap: 59.381,  loss: -1292.624,  ess: 5.853
symKL_DB_eta: 63.562,  symKL_DB_z: 2.737,  gap: 58.906,  loss: -1300.432,  ess: 5.850
symKL_DB_eta: 63.140,  symKL_DB_z: 2.798,  gap: 58.516,  loss: -1280.894,  ess: 5.856
symKL_DB_eta: 63.172,  symKL_DB_z: 2.964,  gap: 58.497,  loss: -1302.624,  ess: 5.859
symKL_DB_eta: 63.263,  symKL_DB_z: 2.753,  gap: 58.525,  loss: -1289.290,  ess: 5.854
symKL_DB_eta: 63.043,  symKL_DB_z: 2.800,  gap: 58.396,  loss: -1286.618,  ess: 5.858
symKL_DB_eta: 62.864,  symKL_DB_z: 2.549,  gap: 58.199,  loss: -1291.700,  ess: 5.858
symKL_DB_eta: 62.573,  symKL_DB_z: 2.629,  gap: 57.977,  loss: -1301.729,  ess: 5.859
symKL_DB_eta: 62.402,  symKL_DB_z: 2.814,  gap: 57.757,  loss: -1284.115,  ess: 5.862
symKL_DB_eta: 62.011,  symKL_DB_z: 2.932,  gap: 57.306,  loss: -1280.660,  ess: 5.860
