EUBO	ELBO	ESS
7459797.970	-1863434.811	-9323232.805	1.005
6484614.490	-1950211.883	-8434826.350	1.004
5711265.370	-2061727.657	-7772993.040	1.004
5036542.745	-2149893.345	-7186436.085	1.003
4445603.633	-2181458.833	-6627062.470	1.003
3913523.315	-2157087.967	-6070611.265	1.004
3435572.752	-2116651.670	-5552224.450	1.004
2998830.322	-2085670.859	-5084501.205	1.005
2621011.360	-2048125.403	-4669136.728	1.005
2268066.831	-2024282.299	-4292349.155	1.005
1959600.762	-2006089.692	-3965690.438	1.005
1687928.229	-1987578.630	-3675506.837	1.006
1447873.094	-1960600.025	-3408473.112	1.006
1233035.839	-1946637.850	-3179673.685	1.006
1048865.231	-1933639.710	-2982504.958	1.005
896361.975	-1924687.876	-2821049.848	1.005
767668.716	-1918186.340	-2685855.038	1.005
662023.751	-1911238.321	-2573262.083	1.005
577683.061	-1906848.624	-2484531.635	1.005
504355.654	-1908017.924	-2412373.565	1.005
449646.792	-1906875.090	-2356521.916	1.006
399894.355	-1910629.936	-2310524.290	1.007
359175.978	-1912672.778	-2271848.764	1.008
324677.457	-1917174.936	-2241852.402	1.009
292687.660	-1919701.491	-2212389.136	1.010
263176.116	-1923261.286	-2186437.379	1.012
237048.846	-1924671.042	-2161719.897	1.012
211783.363	-1927736.218	-2139519.583	1.015
190184.263	-1928854.584	-2119038.845	1.014
170736.714	-1929871.750	-2100608.471	1.016
153087.274	-1930362.972	-2083450.230	1.017
136883.395	-1930337.708	-2067221.125	1.018
123542.756	-1930641.884	-2054184.637	1.018
112024.500	-1930042.176	-2042066.676	1.020
101232.734	-1930651.564	-2031884.301	1.021
91233.660	-1931541.897	-2022775.518	1.022
83596.676	-1930250.634	-2013847.324	1.024
75686.873	-1932045.075	-2007731.972	1.023
69901.419	-1931659.315	-2001560.711	1.025
63567.253	-1931384.281	-1994951.560	1.027
58412.516	-1930645.366	-1989057.876	1.027
53869.719	-1927689.942	-1981559.676	1.028
49331.329	-1925844.107	-1975175.439	1.031
45445.624	-1924744.015	-1970189.623	1.032
41851.986	-1921373.504	-1963225.496	1.033
38788.072	-1917766.291	-1956554.350	1.036
35549.143	-1916986.059	-1952535.202	1.039
32973.985	-1911651.103	-1944625.084	1.041
30676.268	-1907177.629	-1937853.899	1.044
28454.707	-1907520.883	-1935975.569	1.046
26658.661	-1905320.904	-1931979.576	1.048
24776.834	-1904445.886	-1929222.722	1.049
23500.882	-1901402.232	-1924903.124	1.053
22082.124	-1895539.445	-1917621.558	1.053
20874.283	-1890177.554	-1911051.843	1.054
19839.942	-1882538.417	-1902378.360	1.058
