symKL_DB_eta: 181911.644,  symKL_DB_z: 191367.248,  gap: 373060.174,  loss: -63305.060,  ess: 2.424
symKL_DB_eta: 161332.143,  symKL_DB_z: 218538.316,  gap: 379631.815,  loss: -60558.152,  ess: 2.418
symKL_DB_eta: 27271.862,  symKL_DB_z: 105915.215,  gap: 133091.732,  loss: -33424.958,  ess: 3.011
symKL_DB_eta: 13896.793,  symKL_DB_z: 47750.622,  gap: 61564.905,  loss: -22556.013,  ess: 3.652
symKL_DB_eta: 13066.329,  symKL_DB_z: 24094.366,  gap: 37059.815,  loss: -20867.696,  ess: 4.132
symKL_DB_eta: 10858.083,  symKL_DB_z: 15689.586,  gap: 26496.314,  loss: -16802.504,  ess: 4.345
symKL_DB_eta: 10047.993,  symKL_DB_z: 13853.461,  gap: 23824.437,  loss: -15660.964,  ess: 4.379
symKL_DB_eta: 10529.827,  symKL_DB_z: 12497.868,  gap: 22951.252,  loss: -16767.747,  ess: 4.397
symKL_DB_eta: 10546.626,  symKL_DB_z: 9958.300,  gap: 20429.284,  loss: -16743.450,  ess: 4.473
symKL_DB_eta: 10924.184,  symKL_DB_z: 8830.529,  gap: 19607.026,  loss: -17579.484,  ess: 4.463
symKL_DB_eta: 11340.403,  symKL_DB_z: 8086.682,  gap: 19262.487,  loss: -19596.401,  ess: 4.442
symKL_DB_eta: 11222.279,  symKL_DB_z: 6678.970,  gap: 17786.749,  loss: -21221.587,  ess: 4.494
symKL_DB_eta: 11170.352,  symKL_DB_z: 5038.567,  gap: 16094.667,  loss: -22342.338,  ess: 4.617
symKL_DB_eta: 10631.013,  symKL_DB_z: 4002.109,  gap: 14524.926,  loss: -20889.866,  ess: 4.676
symKL_DB_eta: 10205.188,  symKL_DB_z: 3341.186,  gap: 13446.767,  loss: -21705.563,  ess: 4.732
symKL_DB_eta: 10222.329,  symKL_DB_z: 2739.261,  gap: 12860.926,  loss: -21217.214,  ess: 4.789
symKL_DB_eta: 10648.404,  symKL_DB_z: 2368.174,  gap: 12925.512,  loss: -23007.144,  ess: 4.834
symKL_DB_eta: 10472.367,  symKL_DB_z: 1994.616,  gap: 12375.156,  loss: -23340.272,  ess: 4.875
symKL_DB_eta: 10309.425,  symKL_DB_z: 1736.775,  gap: 11951.676,  loss: -24145.634,  ess: 4.930
symKL_DB_eta: 10302.423,  symKL_DB_z: 1403.789,  gap: 11614.390,  loss: -22154.734,  ess: 4.967
symKL_DB_eta: 9833.948,  symKL_DB_z: 1242.802,  gap: 10990.676,  loss: -21911.420,  ess: 4.997
symKL_DB_eta: 9657.321,  symKL_DB_z: 1110.606,  gap: 10681.479,  loss: -22157.343,  ess: 5.019
symKL_DB_eta: 9052.355,  symKL_DB_z: 982.558,  gap: 9953.876,  loss: -21572.260,  ess: 5.047
symKL_DB_eta: 9586.253,  symKL_DB_z: 870.126,  gap: 10380.377,  loss: -21895.270,  ess: 5.066
symKL_DB_eta: 8704.699,  symKL_DB_z: 799.112,  gap: 9439.689,  loss: -22032.646,  ess: 5.096
symKL_DB_eta: 7833.770,  symKL_DB_z: 734.765,  gap: 8517.859,  loss: -20850.355,  ess: 5.103
symKL_DB_eta: 8310.838,  symKL_DB_z: 705.751,  gap: 8941.724,  loss: -22340.434,  ess: 5.115
symKL_DB_eta: 7636.863,  symKL_DB_z: 660.138,  gap: 8163.945,  loss: -21354.116,  ess: 5.118
symKL_DB_eta: 7533.654,  symKL_DB_z: 616.737,  gap: 8095.669,  loss: -21151.335,  ess: 5.127
symKL_DB_eta: 6748.408,  symKL_DB_z: 567.104,  gap: 7268.772,  loss: -20327.258,  ess: 5.145
symKL_DB_eta: 7097.793,  symKL_DB_z: 534.416,  gap: 7575.697,  loss: -20313.439,  ess: 5.148
symKL_DB_eta: 6681.575,  symKL_DB_z: 488.967,  gap: 7124.675,  loss: -20254.344,  ess: 5.172
symKL_DB_eta: 6851.065,  symKL_DB_z: 458.307,  gap: 7278.832,  loss: -24153.154,  ess: 5.209
symKL_DB_eta: 251043.262,  symKL_DB_z: 193284.323,  gap: 444183.724,  loss: -60885.802,  ess: 2.477
symKL_DB_eta: 34317.535,  symKL_DB_z: 105157.923,  gap: 139423.582,  loss: -37321.453,  ess: 3.110
symKL_DB_eta: 21752.310,  symKL_DB_z: 51728.309,  gap: 73390.428,  loss: -34422.720,  ess: 3.710
symKL_DB_eta: 16954.309,  symKL_DB_z: 28107.790,  gap: 45008.135,  loss: -32911.625,  ess: 4.126
symKL_DB_eta: 14977.705,  symKL_DB_z: 17121.926,  gap: 32043.929,  loss: -32406.195,  ess: 4.389
symKL_DB_eta: 15675.137,  symKL_DB_z: 12601.494,  gap: 28185.623,  loss: -33104.956,  ess: 4.446
symKL_DB_eta: 17047.488,  symKL_DB_z: 9871.064,  gap: 26808.082,  loss: -32780.529,  ess: 4.453
symKL_DB_eta: 15584.864,  symKL_DB_z: 6860.961,  gap: 22312.229,  loss: -30976.038,  ess: 4.573
symKL_DB_eta: 13897.921,  symKL_DB_z: 4796.374,  gap: 18558.251,  loss: -31457.418,  ess: 4.715
symKL_DB_eta: 13557.442,  symKL_DB_z: 3639.417,  gap: 17079.347,  loss: -30313.818,  ess: 4.787
symKL_DB_eta: 13100.951,  symKL_DB_z: 2850.318,  gap: 15817.078,  loss: -29612.264,  ess: 4.843
symKL_DB_eta: 13306.963,  symKL_DB_z: 2292.470,  gap: 15481.493,  loss: -28963.498,  ess: 4.894
symKL_DB_eta: 13538.982,  symKL_DB_z: 1896.310,  gap: 15298.320,  loss: -28070.541,  ess: 4.934
symKL_DB_eta: 13881.950,  symKL_DB_z: 1563.158,  gap: 15307.152,  loss: -27368.092,  ess: 4.969
symKL_DB_eta: 13456.983,  symKL_DB_z: 1309.202,  gap: 14637.115,  loss: -26219.268,  ess: 4.999
symKL_DB_eta: 13080.568,  symKL_DB_z: 1123.082,  gap: 14072.283,  loss: -24975.707,  ess: 5.025
symKL_DB_eta: 12605.596,  symKL_DB_z: 1013.774,  gap: 13477.214,  loss: -24159.091,  ess: 5.042
symKL_DB_eta: 12150.340,  symKL_DB_z: 891.990,  gap: 12911.383,  loss: -23409.643,  ess: 5.067
symKL_DB_eta: 12045.182,  symKL_DB_z: 824.956,  gap: 12730.412,  loss: -24445.209,  ess: 5.078
symKL_DB_eta: 11579.882,  symKL_DB_z: 746.117,  gap: 12197.633,  loss: -23738.293,  ess: 5.100
symKL_DB_eta: 11396.488,  symKL_DB_z: 686.507,  gap: 11884.941,  loss: -23661.353,  ess: 5.120
symKL_DB_eta: 10790.394,  symKL_DB_z: 612.472,  gap: 11280.999,  loss: -21890.446,  ess: 5.131
symKL_DB_eta: 10154.455,  symKL_DB_z: 612.999,  gap: 10600.484,  loss: -21527.775,  ess: 5.143
symKL_DB_eta: 9675.041,  symKL_DB_z: 517.360,  gap: 10075.777,  loss: -20605.455,  ess: 5.156
symKL_DB_eta: 10575.001,  symKL_DB_z: 509.568,  gap: 10959.366,  loss: -21521.385,  ess: 5.162
symKL_DB_eta: 10028.732,  symKL_DB_z: 468.684,  gap: 10376.147,  loss: -20337.928,  ess: 5.172
symKL_DB_eta: 9740.700,  symKL_DB_z: 445.784,  gap: 10013.178,  loss: -20427.957,  ess: 5.182
symKL_DB_eta: 9610.480,  symKL_DB_z: 432.254,  gap: 9913.336,  loss: -19850.049,  ess: 5.185
symKL_DB_eta: 9403.036,  symKL_DB_z: 417.617,  gap: 9687.020,  loss: -19209.533,  ess: 5.195
symKL_DB_eta: 9939.894,  symKL_DB_z: 397.150,  gap: 10057.437,  loss: -19689.580,  ess: 5.197
symKL_DB_eta: 9869.492,  symKL_DB_z: 371.269,  gap: 10126.455,  loss: -19404.151,  ess: 5.204
symKL_DB_eta: 10992.703,  symKL_DB_z: 351.351,  gap: 9896.526,  loss: -19797.817,  ess: 5.219
symKL_DB_eta: 9399.230,  symKL_DB_z: 347.874,  gap: 9627.776,  loss: -18879.111,  ess: 5.220
symKL_DB_eta: 9719.016,  symKL_DB_z: 334.697,  gap: 9749.468,  loss: -19326.760,  ess: 5.224
symKL_DB_eta: 7807.466,  symKL_DB_z: 280.689,  gap: 7996.795,  loss: -16667.305,  ess: 5.237
symKL_DB_eta: 7637.102,  symKL_DB_z: 283.399,  gap: 7676.485,  loss: -16513.294,  ess: 5.236
symKL_DB_eta: 7382.505,  symKL_DB_z: 277.619,  gap: 7570.160,  loss: -16417.097,  ess: 5.237
symKL_DB_eta: 7511.622,  symKL_DB_z: 280.138,  gap: 7703.164,  loss: -15912.688,  ess: 5.235
symKL_DB_eta: 7291.624,  symKL_DB_z: 276.354,  gap: 7479.301,  loss: -16182.245,  ess: 5.239
symKL_DB_eta: 7083.959,  symKL_DB_z: 268.903,  gap: 7268.084,  loss: -15851.308,  ess: 5.243
symKL_DB_eta: 7251.346,  symKL_DB_z: 267.154,  gap: 7435.076,  loss: -15929.744,  ess: 5.240
symKL_DB_eta: 7158.060,  symKL_DB_z: 267.774,  gap: 7343.437,  loss: -15875.980,  ess: 5.244
symKL_DB_eta: 7075.869,  symKL_DB_z: 268.599,  gap: 7258.330,  loss: -15915.867,  ess: 5.244
symKL_DB_eta: 7061.976,  symKL_DB_z: 270.402,  gap: 7241.354,  loss: -15376.139,  ess: 5.242
symKL_DB_eta: 7045.831,  symKL_DB_z: 264.225,  gap: 7218.897,  loss: -15375.827,  ess: 5.247
symKL_DB_eta: 7053.645,  symKL_DB_z: 264.601,  gap: 7229.279,  loss: -15259.304,  ess: 5.245
symKL_DB_eta: 6804.570,  symKL_DB_z: 256.506,  gap: 6981.002,  loss: -15399.032,  ess: 5.247
symKL_DB_eta: 6715.877,  symKL_DB_z: 255.703,  gap: 6887.168,  loss: -15001.905,  ess: 5.246
symKL_DB_eta: 6844.011,  symKL_DB_z: 253.691,  gap: 7017.720,  loss: -15299.534,  ess: 5.249
symKL_DB_eta: 6673.004,  symKL_DB_z: 254.166,  gap: 6845.889,  loss: -15271.209,  ess: 5.250
symKL_DB_eta: 6688.679,  symKL_DB_z: 252.609,  gap: 6860.911,  loss: -14964.100,  ess: 5.248
symKL_DB_eta: 6701.874,  symKL_DB_z: 247.287,  gap: 6872.226,  loss: -14995.350,  ess: 5.248
symKL_DB_eta: 6722.283,  symKL_DB_z: 250.919,  gap: 6896.056,  loss: -14982.863,  ess: 5.249
symKL_DB_eta: 6766.559,  symKL_DB_z: 259.735,  gap: 6934.319,  loss: -15004.354,  ess: 5.245
symKL_DB_eta: 6649.002,  symKL_DB_z: 252.763,  gap: 6821.382,  loss: -14809.610,  ess: 5.248
symKL_DB_eta: 6678.689,  symKL_DB_z: 249.381,  gap: 6848.240,  loss: -14868.920,  ess: 5.248
symKL_DB_eta: 6698.313,  symKL_DB_z: 250.339,  gap: 6868.502,  loss: -14963.652,  ess: 5.248
symKL_DB_eta: 6640.362,  symKL_DB_z: 256.431,  gap: 6814.228,  loss: -15042.354,  ess: 5.243
symKL_DB_eta: 6633.202,  symKL_DB_z: 253.638,  gap: 6802.438,  loss: -14992.452,  ess: 5.248
symKL_DB_eta: 7444.282,  symKL_DB_z: 256.983,  gap: 6848.681,  loss: -14999.968,  ess: 5.246
symKL_DB_eta: 403380.250,  symKL_DB_z: 198310.608,  gap: 601326.545,  loss: -92274.144,  ess: 2.439
symKL_DB_eta: 35823.615,  symKL_DB_z: 117516.478,  gap: 153261.833,  loss: -38421.572,  ess: 2.915
symKL_DB_eta: 20616.391,  symKL_DB_z: 61701.464,  gap: 82249.452,  loss: -34796.579,  ess: 3.515
symKL_DB_eta: 15552.318,  symKL_DB_z: 32976.181,  gap: 48476.739,  loss: -32632.926,  ess: 3.995
