symKL_DB_eta: 657177.266,  symKL_DB_z: 437551.474,  gap_eta: 655573.498,  gap_z: 437182.386,  loss: -410853.585,  ess: 2.537
symKL_DB_eta: 439809.895,  symKL_DB_z: 252037.189,  gap_eta: 439435.176,  gap_z: 251702.737,  loss: -255768.668,  ess: 3.303
symKL_DB_eta: 265128.849,  symKL_DB_z: 104255.781,  gap_eta: 265007.404,  gap_z: 104045.627,  loss: -177760.143,  ess: 4.167
symKL_DB_eta: 242687.006,  symKL_DB_z: 41495.189,  gap_eta: 242536.152,  gap_z: 41302.524,  loss: -153007.248,  ess: 4.636
symKL_DB_eta: 236082.477,  symKL_DB_z: 19190.812,  gap_eta: 235915.399,  gap_z: 18998.653,  loss: -141158.020,  ess: 4.843
symKL_DB_eta: 226557.381,  symKL_DB_z: 10501.588,  gap_eta: 226335.185,  gap_z: 10322.401,  loss: -133102.787,  ess: 4.951
symKL_DB_eta: 211915.692,  symKL_DB_z: 6658.187,  gap_eta: 211666.347,  gap_z: 6484.744,  loss: -124622.640,  ess: 5.010
symKL_DB_eta: 188937.104,  symKL_DB_z: 4571.076,  gap_eta: 188723.271,  gap_z: 4408.846,  loss: -113918.755,  ess: 5.051
symKL_DB_eta: 159573.410,  symKL_DB_z: 3483.131,  gap_eta: 159461.087,  gap_z: 3342.880,  loss: -100353.340,  ess: 5.080
symKL_DB_eta: 126031.768,  symKL_DB_z: 2716.370,  gap_eta: 125899.471,  gap_z: 2592.660,  loss: -84246.490,  ess: 5.103
symKL_DB_eta: 103468.567,  symKL_DB_z: 2312.027,  gap_eta: 103341.896,  gap_z: 2205.421,  loss: -69717.581,  ess: 5.121
symKL_DB_eta: 90237.659,  symKL_DB_z: 1965.584,  gap_eta: 90151.723,  gap_z: 1876.243,  loss: -57594.070,  ess: 5.142
symKL_DB_eta: 81473.791,  symKL_DB_z: 1810.313,  gap_eta: 81388.518,  gap_z: 1731.262,  loss: -48071.623,  ess: 5.156
symKL_DB_eta: 73298.614,  symKL_DB_z: 1682.594,  gap_eta: 73216.048,  gap_z: 1612.238,  loss: -40136.137,  ess: 5.162
symKL_DB_eta: 64092.925,  symKL_DB_z: 1594.313,  gap_eta: 64060.973,  gap_z: 1535.587,  loss: -34402.299,  ess: 5.170
