symKL_DB_eta: 610272.133,  symKL_DB_z: 1175882.313,  gap_eta: 610239.291,  gap_z: 1175427.469,  loss: -324203.777,  ess: 1.944
symKL_DB_eta: 41475.502,  symKL_DB_z: 524788.335,  gap_eta: 41477.705,  gap_z: 524674.737,  loss: -47177.493,  ess: 3.054
symKL_DB_eta: 12503.463,  symKL_DB_z: 117742.674,  gap_eta: 12504.476,  gap_z: 117690.386,  loss: -19323.881,  ess: 4.043
symKL_DB_eta: 4461.124,  symKL_DB_z: 27963.023,  gap_eta: 4461.881,  gap_z: 27930.502,  loss: -12893.469,  ess: 4.505
symKL_DB_eta: 2249.331,  symKL_DB_z: 11077.235,  gap_eta: 2249.635,  gap_z: 11051.890,  loss: -11687.064,  ess: 4.675
symKL_DB_eta: 1323.650,  symKL_DB_z: 7812.937,  gap_eta: 1323.559,  gap_z: 7790.745,  loss: -11289.405,  ess: 4.740
symKL_DB_eta: 903.397,  symKL_DB_z: 6875.072,  gap_eta: 902.739,  gap_z: 6855.280,  loss: -11155.594,  ess: 4.778
symKL_DB_eta: 710.482,  symKL_DB_z: 6401.773,  gap_eta: 708.027,  gap_z: 6379.912,  loss: -10713.484,  ess: 4.808
symKL_DB_eta: 613.422,  symKL_DB_z: 6068.271,  gap_eta: 611.719,  gap_z: 6051.392,  loss: -10661.625,  ess: 4.830
symKL_DB_eta: 558.996,  symKL_DB_z: 5840.394,  gap_eta: 556.277,  gap_z: 5821.704,  loss: -10644.362,  ess: 4.847
symKL_DB_eta: 521.319,  symKL_DB_z: 5705.959,  gap_eta: 517.716,  gap_z: 5688.279,  loss: -10401.226,  ess: 4.864
symKL_DB_eta: 498.068,  symKL_DB_z: 5528.300,  gap_eta: 493.800,  gap_z: 5511.688,  loss: -10434.229,  ess: 4.877
symKL_DB_eta: 478.775,  symKL_DB_z: 5412.199,  gap_eta: 473.571,  gap_z: 5395.693,  loss: -10181.841,  ess: 4.889
symKL_DB_eta: 464.531,  symKL_DB_z: 5299.610,  gap_eta: 459.158,  gap_z: 5281.699,  loss: -10076.042,  ess: 4.901
symKL_DB_eta: 459.256,  symKL_DB_z: 5201.961,  gap_eta: 453.424,  gap_z: 5184.122,  loss: -9836.345,  ess: 4.909
symKL_DB_eta: 445.587,  symKL_DB_z: 5133.254,  gap_eta: 438.094,  gap_z: 5113.637,  loss: -9623.037,  ess: 4.919
symKL_DB_eta: 438.896,  symKL_DB_z: 5022.280,  gap_eta: 431.563,  gap_z: 5006.692,  loss: -9376.744,  ess: 4.930
symKL_DB_eta: 439.273,  symKL_DB_z: 4935.297,  gap_eta: 427.063,  gap_z: 4914.416,  loss: -9260.182,  ess: 4.939
symKL_DB_eta: 421.324,  symKL_DB_z: 4848.401,  gap_eta: 412.403,  gap_z: 4826.485,  loss: -9037.237,  ess: 4.952
symKL_DB_eta: 426.678,  symKL_DB_z: 4699.686,  gap_eta: 414.653,  gap_z: 4675.728,  loss: -9018.523,  ess: 4.966
symKL_DB_eta: 416.820,  symKL_DB_z: 4504.957,  gap_eta: 403.039,  gap_z: 4480.086,  loss: -8795.293,  ess: 4.986
symKL_DB_eta: 420.582,  symKL_DB_z: 4271.603,  gap_eta: 395.727,  gap_z: 4224.333,  loss: -8758.089,  ess: 5.013
symKL_DB_eta: 408.467,  symKL_DB_z: 3920.247,  gap_eta: 384.687,  gap_z: 3889.997,  loss: -8520.810,  ess: 5.045
symKL_DB_eta: 480.281,  symKL_DB_z: 3498.591,  gap_eta: 380.533,  gap_z: 3458.040,  loss: -8393.035,  ess: 5.077
symKL_DB_eta: 427.770,  symKL_DB_z: 3027.906,  gap_eta: 375.863,  gap_z: 2964.707,  loss: -8388.051,  ess: 5.120
symKL_DB_eta: 561.153,  symKL_DB_z: 2541.200,  gap_eta: 379.870,  gap_z: 2465.577,  loss: -8457.828,  ess: 5.160
symKL_DB_eta: 515.213,  symKL_DB_z: 2104.680,  gap_eta: 375.400,  gap_z: 2040.284,  loss: -8488.304,  ess: 5.203
symKL_DB_eta: 644.196,  symKL_DB_z: 1748.811,  gap_eta: 377.452,  gap_z: 1658.648,  loss: -8403.405,  ess: 5.244
symKL_DB_eta: 806.728,  symKL_DB_z: 1451.969,  gap_eta: 375.739,  gap_z: 1366.796,  loss: -8280.729,  ess: 5.280
symKL_DB_eta: 589.189,  symKL_DB_z: 1233.117,  gap_eta: 381.962,  gap_z: 1147.370,  loss: -8410.918,  ess: 5.307
symKL_DB_eta: 824.085,  symKL_DB_z: 1004.458,  gap_eta: 372.954,  gap_z: 946.746,  loss: -8353.127,  ess: 5.334
symKL_DB_eta: 595.508,  symKL_DB_z: 907.107,  gap_eta: 372.436,  gap_z: 824.528,  loss: -8387.953,  ess: 5.362
symKL_DB_eta: 699.911,  symKL_DB_z: 843.114,  gap_eta: 378.647,  gap_z: 721.488,  loss: -8264.073,  ess: 5.377
symKL_DB_eta: 696.388,  symKL_DB_z: 755.258,  gap_eta: 373.716,  gap_z: 641.319,  loss: -8301.091,  ess: 5.403
symKL_DB_eta: 552.669,  symKL_DB_z: 694.833,  gap_eta: 372.042,  gap_z: 582.454,  loss: -8408.918,  ess: 5.417
symKL_DB_eta: 738.558,  symKL_DB_z: 632.476,  gap_eta: 369.193,  gap_z: 542.230,  loss: -8375.074,  ess: 5.437
symKL_DB_eta: 874.619,  symKL_DB_z: 596.675,  gap_eta: 379.006,  gap_z: 477.753,  loss: -8508.705,  ess: 5.445
symKL_DB_eta: 813.014,  symKL_DB_z: 523.186,  gap_eta: 374.028,  gap_z: 439.170,  loss: -8269.334,  ess: 5.461
symKL_DB_eta: 587.475,  symKL_DB_z: 499.043,  gap_eta: 372.129,  gap_z: 409.937,  loss: -8301.318,  ess: 5.469
symKL_DB_eta: 682.031,  symKL_DB_z: 538.966,  gap_eta: 371.585,  gap_z: 404.530,  loss: -8125.660,  ess: 5.483
symKL_DB_eta: 698.296,  symKL_DB_z: 481.531,  gap_eta: 375.429,  gap_z: 391.289,  loss: -8448.138,  ess: 5.491
symKL_DB_eta: 761.718,  symKL_DB_z: 434.179,  gap_eta: 368.825,  gap_z: 361.705,  loss: -8386.605,  ess: 5.509
symKL_DB_eta: 656.263,  symKL_DB_z: 422.059,  gap_eta: 369.621,  gap_z: 317.189,  loss: -8443.318,  ess: 5.515
