symKL_DB_eta: 519893.926,  symKL_DB_z: 1129944.602,  gap_eta: 519847.081,  gap_z: 1129363.527,  loss: -385441.156,  ess: 1.921
symKL_DB_eta: 38752.106,  symKL_DB_z: 644044.151,  gap_eta: 38750.556,  gap_z: 643901.604,  loss: -48210.768,  ess: 2.841
symKL_DB_eta: 11426.425,  symKL_DB_z: 182439.493,  gap_eta: 11423.913,  gap_z: 182367.501,  loss: -19909.497,  ess: 3.822
symKL_DB_eta: 3763.407,  symKL_DB_z: 46606.682,  gap_eta: 3758.711,  gap_z: 46553.633,  loss: -13751.583,  ess: 4.381
symKL_DB_eta: 1874.425,  symKL_DB_z: 15686.537,  gap_eta: 1866.790,  gap_z: 15637.920,  loss: -12850.901,  ess: 4.605
symKL_DB_eta: 1074.705,  symKL_DB_z: 9547.589,  gap_eta: 1068.682,  gap_z: 9503.966,  loss: -12807.187,  ess: 4.695
symKL_DB_eta: 724.114,  symKL_DB_z: 7884.369,  gap_eta: 716.251,  gap_z: 7843.149,  loss: -12552.308,  ess: 4.745
symKL_DB_eta: 594.651,  symKL_DB_z: 7140.229,  gap_eta: 585.555,  gap_z: 7099.695,  loss: -12389.511,  ess: 4.778
symKL_DB_eta: 519.594,  symKL_DB_z: 6704.154,  gap_eta: 508.966,  gap_z: 6660.846,  loss: -12285.207,  ess: 4.805
symKL_DB_eta: 479.241,  symKL_DB_z: 6407.080,  gap_eta: 467.350,  gap_z: 6365.694,  loss: -12238.917,  ess: 4.824
symKL_DB_eta: 448.231,  symKL_DB_z: 6163.367,  gap_eta: 436.144,  gap_z: 6121.915,  loss: -12047.768,  ess: 4.847
symKL_DB_eta: 428.508,  symKL_DB_z: 5962.669,  gap_eta: 413.414,  gap_z: 5922.274,  loss: -11592.168,  ess: 4.864
symKL_DB_eta: 408.041,  symKL_DB_z: 5787.468,  gap_eta: 393.950,  gap_z: 5746.070,  loss: -12165.327,  ess: 4.883
symKL_DB_eta: 395.904,  symKL_DB_z: 5653.565,  gap_eta: 381.943,  gap_z: 5613.127,  loss: -11985.233,  ess: 4.898
symKL_DB_eta: 388.088,  symKL_DB_z: 5477.925,  gap_eta: 372.824,  gap_z: 5439.701,  loss: -12024.545,  ess: 4.914
symKL_DB_eta: 371.357,  symKL_DB_z: 5367.698,  gap_eta: 355.047,  gap_z: 5328.995,  loss: -11963.715,  ess: 4.932
symKL_DB_eta: 367.499,  symKL_DB_z: 5251.005,  gap_eta: 349.404,  gap_z: 5209.249,  loss: -11449.744,  ess: 4.942
symKL_DB_eta: 362.855,  symKL_DB_z: 5156.241,  gap_eta: 344.922,  gap_z: 5113.224,  loss: -11447.608,  ess: 4.954
symKL_DB_eta: 351.361,  symKL_DB_z: 5038.144,  gap_eta: 331.405,  gap_z: 4992.789,  loss: -11013.721,  ess: 4.971
symKL_DB_eta: 348.358,  symKL_DB_z: 4841.366,  gap_eta: 328.074,  gap_z: 4799.286,  loss: -10932.646,  ess: 4.990
symKL_DB_eta: 345.973,  symKL_DB_z: 4621.377,  gap_eta: 320.608,  gap_z: 4573.313,  loss: -11136.049,  ess: 5.014
symKL_DB_eta: 336.948,  symKL_DB_z: 4278.979,  gap_eta: 313.559,  gap_z: 4232.386,  loss: -10742.735,  ess: 5.044
symKL_DB_eta: 342.267,  symKL_DB_z: 3772.071,  gap_eta: 297.426,  gap_z: 3719.578,  loss: -10691.622,  ess: 5.094
symKL_DB_eta: 341.716,  symKL_DB_z: 3200.161,  gap_eta: 297.850,  gap_z: 3143.841,  loss: -10925.557,  ess: 5.144
symKL_DB_eta: 356.135,  symKL_DB_z: 2621.579,  gap_eta: 294.152,  gap_z: 2555.881,  loss: -10394.747,  ess: 5.196
symKL_DB_eta: 461.026,  symKL_DB_z: 2125.244,  gap_eta: 290.822,  gap_z: 2046.485,  loss: -10615.782,  ess: 5.243
symKL_DB_eta: 356.844,  symKL_DB_z: 1691.666,  gap_eta: 292.861,  gap_z: 1609.854,  loss: -10589.785,  ess: 5.291
symKL_DB_eta: 470.860,  symKL_DB_z: 1360.736,  gap_eta: 293.221,  gap_z: 1278.822,  loss: -10719.503,  ess: 5.330
symKL_DB_eta: 633.266,  symKL_DB_z: 1097.545,  gap_eta: 285.264,  gap_z: 1022.061,  loss: -10483.144,  ess: 5.376
symKL_DB_eta: 706.192,  symKL_DB_z: 926.549,  gap_eta: 286.193,  gap_z: 836.108,  loss: -10299.695,  ess: 5.401
symKL_DB_eta: 440.323,  symKL_DB_z: 782.946,  gap_eta: 289.669,  gap_z: 695.985,  loss: -10416.585,  ess: 5.428
symKL_DB_eta: 578.144,  symKL_DB_z: 723.616,  gap_eta: 284.388,  gap_z: 591.645,  loss: -10518.123,  ess: 5.456
symKL_DB_eta: 881.575,  symKL_DB_z: 612.473,  gap_eta: 285.757,  gap_z: 511.349,  loss: -10655.322,  ess: 5.473
symKL_DB_eta: 549.740,  symKL_DB_z: 523.561,  gap_eta: 279.697,  gap_z: 450.550,  loss: -10679.335,  ess: 5.494
symKL_DB_eta: 695.146,  symKL_DB_z: 517.493,  gap_eta: 274.977,  gap_z: 396.572,  loss: -9962.156,  ess: 5.518
symKL_DB_eta: 454.385,  symKL_DB_z: 476.677,  gap_eta: 279.263,  gap_z: 360.812,  loss: -10522.761,  ess: 5.529
symKL_DB_eta: 694.075,  symKL_DB_z: 422.345,  gap_eta: 277.935,  gap_z: 323.778,  loss: -9948.067,  ess: 5.539
symKL_DB_eta: 459.780,  symKL_DB_z: 424.194,  gap_eta: 279.031,  gap_z: 295.208,  loss: -10052.533,  ess: 5.550
