symKL_DB_eta: 313907.141,  symKL_DB_z: 1175660.813,  gap: 1448743.972,  loss: -260785.155,  ess: 2.447
symKL_DB_eta: 52628.091,  symKL_DB_z: 1058065.114,  gap: 287438.418,  loss: -773494.925,  ess: 2.711
symKL_DB_eta: 23099.328,  symKL_DB_z: 898501.473,  gap: 109342.449,  loss: -400670.148,  ess: 3.464
symKL_DB_eta: 13214.515,  symKL_DB_z: 458374.562,  gap: 51819.418,  loss: -188297.490,  ess: 4.036
symKL_DB_eta: 6902.113,  symKL_DB_z: 263833.083,  gap: 24196.992,  loss: -111744.426,  ess: 4.392
symKL_DB_eta: 5991.583,  symKL_DB_z: 178320.830,  gap: 15630.157,  loss: -64269.490,  ess: 4.681
symKL_DB_eta: 7696.143,  symKL_DB_z: 102282.975,  gap: 15033.849,  loss: -40055.441,  ess: 4.820
symKL_DB_eta: 9141.818,  symKL_DB_z: 65549.736,  gap: 15374.105,  loss: -32376.959,  ess: 4.907
symKL_DB_eta: 9171.029,  symKL_DB_z: 44748.736,  gap: 13880.532,  loss: -24927.741,  ess: 4.987
symKL_DB_eta: 9135.175,  symKL_DB_z: 31929.703,  gap: 12981.354,  loss: -20746.219,  ess: 5.034
symKL_DB_eta: 9782.810,  symKL_DB_z: 25337.831,  gap: 12772.586,  loss: -22909.266,  ess: 5.072
symKL_DB_eta: 9871.133,  symKL_DB_z: 18899.652,  gap: 12522.327,  loss: -20319.202,  ess: 5.108
symKL_DB_eta: 10092.209,  symKL_DB_z: 16290.475,  gap: 12456.048,  loss: -21049.421,  ess: 5.129
symKL_DB_eta: 10133.463,  symKL_DB_z: 13800.855,  gap: 12258.184,  loss: -20236.843,  ess: 5.156
symKL_DB_eta: 10689.239,  symKL_DB_z: 12643.139,  gap: 12694.705,  loss: -22658.280,  ess: 5.168
symKL_DB_eta: 10967.963,  symKL_DB_z: 11004.814,  gap: 12719.390,  loss: -20972.303,  ess: 5.185
symKL_DB_eta: 10902.452,  symKL_DB_z: 10035.935,  gap: 12409.291,  loss: -22885.263,  ess: 5.199
symKL_DB_eta: 11371.482,  symKL_DB_z: 9201.292,  gap: 12835.683,  loss: -23270.703,  ess: 5.211
symKL_DB_eta: 11617.663,  symKL_DB_z: 8564.586,  gap: 13030.337,  loss: -23281.807,  ess: 5.219
symKL_DB_eta: 11594.199,  symKL_DB_z: 8088.193,  gap: 12989.393,  loss: -24655.276,  ess: 5.224
symKL_DB_eta: 11270.340,  symKL_DB_z: 7635.986,  gap: 12528.898,  loss: -19723.563,  ess: 5.235
symKL_DB_eta: 12119.931,  symKL_DB_z: 7325.386,  gap: 13381.872,  loss: -23870.885,  ess: 5.226
symKL_DB_eta: 11646.086,  symKL_DB_z: 7118.738,  gap: 12792.545,  loss: -24802.388,  ess: 5.243
symKL_DB_eta: 11909.066,  symKL_DB_z: 6973.675,  gap: 13103.325,  loss: -22274.584,  ess: 5.244
symKL_DB_eta: 11997.894,  symKL_DB_z: 6726.713,  gap: 13171.692,  loss: -23419.595,  ess: 5.240
symKL_DB_eta: 11918.789,  symKL_DB_z: 7706.731,  gap: 13033.710,  loss: -24186.119,  ess: 5.236
symKL_DB_eta: 11977.237,  symKL_DB_z: 9384.041,  gap: 13086.315,  loss: -24936.153,  ess: 5.243
