symKL_DB_eta: 32786.917,  symKL_DB_z: 26980.907,  gap: 59564.378,  loss: -17711.516,  ess: 2.688
symKL_DB_eta: 6898.441,  symKL_DB_z: 9898.966,  gap: 16719.674,  loss: -7942.295,  ess: 3.523
symKL_DB_eta: 4652.333,  symKL_DB_z: 4118.407,  gap: 8699.962,  loss: -7355.255,  ess: 4.116
symKL_DB_eta: 3572.596,  symKL_DB_z: 2033.812,  gap: 5539.030,  loss: -6930.585,  ess: 4.467
symKL_DB_eta: 3129.715,  symKL_DB_z: 1174.571,  gap: 4231.114,  loss: -6871.422,  ess: 4.680
symKL_DB_eta: 2765.890,  symKL_DB_z: 744.355,  gap: 3439.944,  loss: -6751.428,  ess: 4.825
symKL_DB_eta: 2552.478,  symKL_DB_z: 510.171,  gap: 2986.483,  loss: -6582.892,  ess: 4.916
symKL_DB_eta: 2389.134,  symKL_DB_z: 375.632,  gap: 2688.725,  loss: -6469.203,  ess: 4.979
symKL_DB_eta: 2349.828,  symKL_DB_z: 305.447,  gap: 2575.018,  loss: -6394.611,  ess: 5.018
symKL_DB_eta: 2198.693,  symKL_DB_z: 246.987,  gap: 2364.533,  loss: -6297.432,  ess: 5.059
symKL_DB_eta: 2095.279,  symKL_DB_z: 211.353,  gap: 2225.319,  loss: -6178.837,  ess: 5.094
symKL_DB_eta: 2046.521,  symKL_DB_z: 181.794,  gap: 2148.919,  loss: -6113.356,  ess: 5.123
symKL_DB_eta: 2013.331,  symKL_DB_z: 161.130,  gap: 2095.748,  loss: -6023.375,  ess: 5.144
symKL_DB_eta: 1988.393,  symKL_DB_z: 146.391,  gap: 2057.153,  loss: -5992.333,  ess: 5.165
symKL_DB_eta: 1934.638,  symKL_DB_z: 128.983,  gap: 1991.191,  loss: -5934.556,  ess: 5.185
symKL_DB_eta: 1881.634,  symKL_DB_z: 120.125,  gap: 1930.036,  loss: -5832.970,  ess: 5.202
