symKL_DB_eta: 32390.024,  symKL_DB_z: 25281.170,  gap: 57490.388,  loss: -14116.896,  ess: 2.661
symKL_DB_eta: 7236.094,  symKL_DB_z: 10236.104,  gap: 17400.189,  loss: -8099.597,  ess: 3.499
symKL_DB_eta: 20737.693,  symKL_DB_z: 22183.653,  gap: 42768.866,  loss: -9964.509,  ess: 2.415
symKL_DB_eta: 9056.754,  symKL_DB_z: 13632.959,  gap: 22588.206,  loss: -8115.032,  ess: 2.758
symKL_DB_eta: 7064.984,  symKL_DB_z: 8215.653,  gap: 15180.178,  loss: -7689.076,  ess: 3.170
symKL_DB_eta: 6064.043,  symKL_DB_z: 4711.281,  gap: 10702.012,  loss: -7181.300,  ess: 3.833
symKL_DB_eta: 4748.902,  symKL_DB_z: 2259.799,  gap: 6949.869,  loss: -6490.524,  ess: 4.407
symKL_DB_eta: 3959.104,  symKL_DB_z: 1125.204,  gap: 5027.253,  loss: -6229.925,  ess: 4.710
symKL_DB_eta: 3402.681,  symKL_DB_z: 629.604,  gap: 3976.912,  loss: -6040.850,  ess: 4.893
symKL_DB_eta: 2976.255,  symKL_DB_z: 393.804,  gap: 3317.226,  loss: -5807.543,  ess: 5.010
symKL_DB_eta: 2641.963,  symKL_DB_z: 274.398,  gap: 2865.333,  loss: -5642.571,  ess: 5.083
symKL_DB_eta: 2356.250,  symKL_DB_z: 208.859,  gap: 2514.394,  loss: -5500.644,  ess: 5.131
symKL_DB_eta: 2105.279,  symKL_DB_z: 165.571,  gap: 2221.987,  loss: -5364.515,  ess: 5.167
symKL_DB_eta: 1943.460,  symKL_DB_z: 136.164,  gap: 2033.402,  loss: -5236.797,  ess: 5.199
symKL_DB_eta: 1809.926,  symKL_DB_z: 116.738,  gap: 1880.965,  loss: -5132.909,  ess: 5.221
symKL_DB_eta: 1642.809,  symKL_DB_z: 100.826,  gap: 1700.246,  loss: -5042.129,  ess: 5.242
symKL_DB_eta: 1542.574,  symKL_DB_z: 88.591,  gap: 1589.002,  loss: -4982.759,  ess: 5.262
symKL_DB_eta: 1454.742,  symKL_DB_z: 79.712,  gap: 1493.571,  loss: -4933.673,  ess: 5.276
symKL_DB_eta: 1381.997,  symKL_DB_z: 71.228,  gap: 1415.060,  loss: -4887.160,  ess: 5.291
symKL_DB_eta: 1354.876,  symKL_DB_z: 66.088,  gap: 1382.779,  loss: -4855.348,  ess: 5.302
symKL_DB_eta: 1308.077,  symKL_DB_z: 60.322,  gap: 1332.041,  loss: -4810.124,  ess: 5.313
symKL_DB_eta: 1251.453,  symKL_DB_z: 56.634,  gap: 1272.546,  loss: -4779.288,  ess: 5.322
symKL_DB_eta: 1221.556,  symKL_DB_z: 52.574,  gap: 1239.442,  loss: -4766.654,  ess: 5.330
symKL_DB_eta: 1206.773,  symKL_DB_z: 49.494,  gap: 1222.263,  loss: -4747.059,  ess: 5.338
symKL_DB_eta: 1145.757,  symKL_DB_z: 45.978,  gap: 1160.132,  loss: -4718.919,  ess: 5.347
symKL_DB_eta: 1138.273,  symKL_DB_z: 43.552,  gap: 1151.820,  loss: -4692.467,  ess: 5.352
symKL_DB_eta: 1100.291,  symKL_DB_z: 41.351,  gap: 1112.404,  loss: -4668.260,  ess: 5.358
symKL_DB_eta: 1081.857,  symKL_DB_z: 39.102,  gap: 1092.775,  loss: -4639.731,  ess: 5.364
symKL_DB_eta: 1049.849,  symKL_DB_z: 37.042,  gap: 1059.709,  loss: -4630.395,  ess: 5.371
symKL_DB_eta: 1040.335,  symKL_DB_z: 35.460,  gap: 1048.999,  loss: -4627.139,  ess: 5.376
symKL_DB_eta: 1000.595,  symKL_DB_z: 33.708,  gap: 1009.089,  loss: -4598.175,  ess: 5.382
symKL_DB_eta: 984.129,  symKL_DB_z: 31.813,  gap: 991.712,  loss: -4591.407,  ess: 5.387
symKL_DB_eta: 966.275,  symKL_DB_z: 30.614,  gap: 973.113,  loss: -4574.855,  ess: 5.391
symKL_DB_eta: 951.952,  symKL_DB_z: 28.976,  gap: 958.112,  loss: -4569.668,  ess: 5.396
symKL_DB_eta: 943.654,  symKL_DB_z: 28.128,  gap: 949.105,  loss: -4552.500,  ess: 5.399
symKL_DB_eta: 931.411,  symKL_DB_z: 26.981,  gap: 936.587,  loss: -4532.141,  ess: 5.403
symKL_DB_eta: 923.834,  symKL_DB_z: 25.997,  gap: 928.961,  loss: -4540.891,  ess: 5.405
symKL_DB_eta: 913.044,  symKL_DB_z: 25.145,  gap: 918.057,  loss: -4526.715,  ess: 5.410
symKL_DB_eta: 912.355,  symKL_DB_z: 24.111,  gap: 916.455,  loss: -4536.412,  ess: 5.412
symKL_DB_eta: 888.984,  symKL_DB_z: 23.585,  gap: 893.179,  loss: -4509.574,  ess: 5.416
symKL_DB_eta: 889.942,  symKL_DB_z: 22.847,  gap: 893.967,  loss: -4520.813,  ess: 5.419
symKL_DB_eta: 876.507,  symKL_DB_z: 22.636,  gap: 880.024,  loss: -4507.745,  ess: 5.421
symKL_DB_eta: 868.981,  symKL_DB_z: 21.523,  gap: 872.152,  loss: -4504.903,  ess: 5.425
symKL_DB_eta: 878.452,  symKL_DB_z: 21.406,  gap: 881.210,  loss: -4508.711,  ess: 5.427
symKL_DB_eta: 864.935,  symKL_DB_z: 20.378,  gap: 867.519,  loss: -4496.467,  ess: 5.429
symKL_DB_eta: 843.226,  symKL_DB_z: 19.873,  gap: 845.138,  loss: -4466.368,  ess: 5.431
symKL_DB_eta: 838.481,  symKL_DB_z: 19.212,  gap: 840.771,  loss: -4469.042,  ess: 5.434
symKL_DB_eta: 840.760,  symKL_DB_z: 19.339,  gap: 843.221,  loss: -4471.647,  ess: 5.434
symKL_DB_eta: 817.374,  symKL_DB_z: 18.502,  gap: 819.769,  loss: -4447.260,  ess: 5.438
symKL_DB_eta: 797.492,  symKL_DB_z: 17.944,  gap: 799.542,  loss: -4457.491,  ess: 5.440
symKL_DB_eta: 800.300,  symKL_DB_z: 17.554,  gap: 801.380,  loss: -4454.130,  ess: 5.441
symKL_DB_eta: 806.198,  symKL_DB_z: 17.349,  gap: 807.945,  loss: -4441.602,  ess: 5.443
symKL_DB_eta: 791.454,  symKL_DB_z: 17.009,  gap: 793.056,  loss: -4447.594,  ess: 5.445
symKL_DB_eta: 783.801,  symKL_DB_z: 16.433,  gap: 784.957,  loss: -4442.689,  ess: 5.447
symKL_DB_eta: 770.773,  symKL_DB_z: 16.234,  gap: 771.552,  loss: -4436.329,  ess: 5.448
symKL_DB_eta: 765.854,  symKL_DB_z: 15.993,  gap: 767.201,  loss: -4426.721,  ess: 5.449
symKL_DB_eta: 770.460,  symKL_DB_z: 15.674,  gap: 771.437,  loss: -4432.346,  ess: 5.451
symKL_DB_eta: 774.071,  symKL_DB_z: 15.638,  gap: 775.077,  loss: -4434.065,  ess: 5.451
symKL_DB_eta: 798.067,  symKL_DB_z: 15.508,  gap: 798.480,  loss: -4456.001,  ess: 5.453
symKL_DB_eta: 782.625,  symKL_DB_z: 15.216,  gap: 783.297,  loss: -4439.812,  ess: 5.454
symKL_DB_eta: 779.241,  symKL_DB_z: 14.985,  gap: 779.336,  loss: -4436.084,  ess: 5.456
symKL_DB_eta: 779.646,  symKL_DB_z: 14.597,  gap: 780.087,  loss: -4426.155,  ess: 5.457
symKL_DB_eta: 767.084,  symKL_DB_z: 14.307,  gap: 767.404,  loss: -4413.565,  ess: 5.459
symKL_DB_eta: 770.986,  symKL_DB_z: 14.337,  gap: 770.742,  loss: -4416.628,  ess: 5.459
symKL_DB_eta: 789.013,  symKL_DB_z: 14.378,  gap: 789.508,  loss: -4421.618,  ess: 5.460
symKL_DB_eta: 780.440,  symKL_DB_z: 13.720,  gap: 780.438,  loss: -4400.630,  ess: 5.461
symKL_DB_eta: 753.142,  symKL_DB_z: 13.640,  gap: 753.257,  loss: -4402.983,  ess: 5.463
symKL_DB_eta: 756.491,  symKL_DB_z: 13.450,  gap: 756.085,  loss: -4397.692,  ess: 5.463
symKL_DB_eta: 741.449,  symKL_DB_z: 12.794,  gap: 741.214,  loss: -4387.403,  ess: 5.465
symKL_DB_eta: 741.944,  symKL_DB_z: 13.117,  gap: 741.902,  loss: -4387.210,  ess: 5.465
symKL_DB_eta: 734.205,  symKL_DB_z: 12.544,  gap: 734.290,  loss: -4386.597,  ess: 5.466
symKL_DB_eta: 733.146,  symKL_DB_z: 12.700,  gap: 733.123,  loss: -4386.166,  ess: 5.467
symKL_DB_eta: 726.666,  symKL_DB_z: 12.430,  gap: 726.712,  loss: -4379.965,  ess: 5.467
symKL_DB_eta: 718.440,  symKL_DB_z: 12.268,  gap: 718.144,  loss: -4376.583,  ess: 5.468
symKL_DB_eta: 732.053,  symKL_DB_z: 12.284,  gap: 731.508,  loss: -4375.320,  ess: 5.469
symKL_DB_eta: 748.575,  symKL_DB_z: 12.639,  gap: 748.307,  loss: -4390.729,  ess: 5.468
symKL_DB_eta: 734.805,  symKL_DB_z: 11.986,  gap: 734.466,  loss: -4375.935,  ess: 5.470
symKL_DB_eta: 720.166,  symKL_DB_z: 11.726,  gap: 720.041,  loss: -4371.235,  ess: 5.472
symKL_DB_eta: 737.609,  symKL_DB_z: 11.842,  gap: 736.818,  loss: -4373.639,  ess: 5.471
symKL_DB_eta: 735.623,  symKL_DB_z: 11.831,  gap: 734.979,  loss: -4373.839,  ess: 5.471
symKL_DB_eta: 728.449,  symKL_DB_z: 11.466,  gap: 727.790,  loss: -4365.091,  ess: 5.473
symKL_DB_eta: 722.017,  symKL_DB_z: 11.341,  gap: 721.338,  loss: -4366.372,  ess: 5.474
symKL_DB_eta: 709.861,  symKL_DB_z: 11.293,  gap: 709.261,  loss: -4359.700,  ess: 5.473
symKL_DB_eta: 692.861,  symKL_DB_z: 10.832,  gap: 692.101,  loss: -4339.588,  ess: 5.476
symKL_DB_eta: 700.527,  symKL_DB_z: 10.847,  gap: 699.402,  loss: -4351.439,  ess: 5.476
symKL_DB_eta: 696.171,  symKL_DB_z: 10.758,  gap: 695.784,  loss: -4344.027,  ess: 5.476
symKL_DB_eta: 690.391,  symKL_DB_z: 10.519,  gap: 689.519,  loss: -4345.846,  ess: 5.476
symKL_DB_eta: 684.588,  symKL_DB_z: 10.747,  gap: 683.782,  loss: -4340.319,  ess: 5.477
symKL_DB_eta: 680.875,  symKL_DB_z: 10.475,  gap: 680.430,  loss: -4335.409,  ess: 5.478
symKL_DB_eta: 666.578,  symKL_DB_z: 10.246,  gap: 665.698,  loss: -4333.313,  ess: 5.479
symKL_DB_eta: 671.480,  symKL_DB_z: 10.425,  gap: 670.213,  loss: -4337.141,  ess: 5.479
symKL_DB_eta: 657.923,  symKL_DB_z: 10.077,  gap: 657.123,  loss: -4325.700,  ess: 5.480
symKL_DB_eta: 660.964,  symKL_DB_z: 10.072,  gap: 660.042,  loss: -4327.589,  ess: 5.479
symKL_DB_eta: 663.489,  symKL_DB_z: 10.159,  gap: 662.467,  loss: -4322.136,  ess: 5.480
