EUBO	ELBO	ESS
-65522.798	-267330.380	2.453
-20306.496	-136028.507	3.267
-9907.272	-47493.260	3.875
-6068.871	-21360.526	4.160
-4180.309	-13714.826	4.335
-2892.863	-9696.653	4.434
-1911.733	-7078.602	4.493
-1428.341	-5635.120	4.542
-1236.820	-4755.210	4.577
-1045.462	-4104.012	4.609
-961.519	-3713.500	4.648
-864.986	-3414.123	4.675
-863.981	-3267.731	4.703
-835.109	-3104.297	4.725
-800.420	-2987.801	4.757
-637.673	-2725.267	4.773
-723.400	-2753.532	4.796
-729.506	-2678.598	4.812
-637.635	-2526.506	4.837
-644.343	-2464.315	4.855
-611.683	-2342.330	4.878
-571.212	-2149.035	4.920
-616.137	-1972.218	4.976
-729.506	-1835.066	5.037
-558.424	-1425.107	5.119
-570.435	-1258.599	5.170
-603.132	-1140.462	5.227
-643.192	-1083.774	5.257
-617.899	-979.743	5.302
-615.685	-918.088	5.346
-538.100	-802.606	5.370
-724.481	-956.478	5.377
-632.895	-846.070	5.400
-715.278	-909.852	5.424
-670.567	-846.933	5.452
-716.866	-884.205	5.469
-590.221	-746.124	5.471
-643.120	-789.087	5.473
-709.042	-846.181	5.491
-629.622	-765.245	5.486
-633.679	-760.957	5.524
-581.007	-699.701	5.528
-673.948	-793.678	5.518
-589.506	-702.216	5.527
-610.116	-717.472	5.564
-609.830	-713.366	5.554
-583.588	-681.736	5.581
-691.907	-792.089	5.567
-635.566	-729.606	5.578
-611.075	-704.571	5.598
-498.132	-585.493	5.600
-564.891	-651.502	5.603
-587.187	-671.030	5.605
-664.556	-749.164	5.616
-618.637	-697.655	5.635
-655.930	-737.106	5.619
-558.211	-637.037	5.616
-605.510	-681.703	5.638
-759.769	-834.943	5.640
-584.835	-657.250	5.649
-566.729	-638.996	5.630
-614.723	-685.074	5.644
-656.255	-725.963	5.648
-796.116	-864.843	5.675
-804.692	-871.922	5.658
-608.712	-675.375	5.645
-591.622	-656.978	5.660
-640.552	-704.708	5.671
-628.167	-690.430	5.686
-574.512	-637.372	5.644
-558.952	-620.850	5.673
-537.948	-598.797	5.664
-659.187	-720.263	5.670
-591.351	-650.371	5.687
-623.447	-683.384	5.677
-572.982	-630.620	5.684
-543.061	-599.492	5.701
-609.772	-666.782	5.682
-631.158	-687.400	5.699
-749.183	-806.851	5.671
-671.191	-727.118	5.697
-623.967	-679.325	5.699
-501.761	-555.504	5.706
-607.270	-661.404	5.706
-595.214	-651.013	5.691
-705.644	-758.661	5.714
-636.071	-690.827	5.706
-522.736	-574.137	5.734
-651.837	-703.531	5.727
-678.681	-729.868	5.718
-555.578	-607.987	5.733
-576.809	-627.161	5.748
-685.003	-736.468	5.736
-606.661	-657.612	5.747
-655.996	-703.918	5.738
-722.708	-770.892	5.750
-731.805	-783.274	5.700
-556.965	-608.634	5.688
-719.852	-771.241	5.731
-652.288	-701.153	5.727
