EUBO	ELBO	ESS
-67470.696	-375834.200	2.299
-32126.140	-256904.438	2.597
-25144.512	-161755.285	3.102
-19629.268	-90471.225	3.525
-18337.177	-61697.049	3.744
-17383.323	-48537.728	3.927
-16781.798	-40468.805	4.124
-15576.755	-33690.547	4.296
-15310.067	-30216.983	4.414
-14931.159	-27886.156	4.519
-14819.228	-26056.969	4.619
-14215.294	-24569.956	4.680
-14094.907	-23417.488	4.760
-14265.163	-22902.825	4.824
-13720.478	-22082.604	4.863
-13547.898	-21473.671	4.901
-13379.908	-20843.538	4.943
-13327.240	-20581.712	4.975
-13061.764	-19979.293	5.003
-12855.043	-19544.893	5.031
-12781.117	-19343.708	5.061
-12839.671	-19517.780	5.065
-12677.446	-19139.695	5.089
-12362.822	-18634.132	5.114
-12422.038	-18623.894	5.128
-12330.880	-18443.173	5.138
-12066.723	-18376.609	5.152
-12162.075	-17989.334	5.165
-11976.210	-17868.845	5.184
-12001.130	-17717.996	5.184
-11763.569	-17426.891	5.188
-11721.531	-17308.884	5.202
-11515.118	-17212.756	5.210
-11552.387	-17131.401	5.214
-11551.832	-16971.527	5.222
-11635.525	-17111.746	5.235
-11466.238	-17014.325	5.240
-11388.928	-16971.636	5.241
-11398.087	-16822.654	5.255
-11382.722	-16768.991	5.256
-11440.501	-16686.023	5.259
-11496.809	-16931.595	5.269
-11198.766	-16474.570	5.269
-11162.963	-16442.267	5.268
-11270.769	-16595.815	5.279
-11231.508	-16629.594	5.282
-11245.992	-16500.423	5.282
-11225.633	-16631.984	5.293
-11140.308	-16517.117	5.293
-11169.155	-16482.662	5.296
-11120.038	-16346.049	5.298
-11102.236	-16544.219	5.300
-11027.828	-16307.421	5.307
-11079.608	-16353.355	5.305
-10922.085	-16095.556	5.312
-10932.884	-16190.169	5.311
-11009.082	-16263.511	5.315
-10933.451	-15996.430	5.315
-10945.251	-16154.452	5.318
-10912.250	-16103.210	5.328
-10874.558	-15957.403	5.317
-10784.282	-16049.422	5.323
-10767.167	-15863.904	5.330
-10777.833	-16025.596	5.329
-10779.311	-16011.288	5.333
-10709.157	-15785.691	5.336
-10678.195	-15764.231	5.331
-10674.542	-15793.766	5.337
-10831.669	-16007.345	5.333
-10642.426	-15821.629	5.338
-10832.840	-15929.281	5.339
-10810.894	-15958.366	5.344
-10708.413	-15737.782	5.345
-10578.243	-15575.309	5.345
-10696.370	-15703.783	5.343
-10539.092	-15589.492	5.346
-10726.131	-15790.949	5.349
-10380.254	-15523.642	5.350
-10626.978	-15661.015	5.353
-10645.645	-15719.366	5.351
-10564.104	-15433.708	5.348
-10319.377	-15212.763	5.351
-10629.447	-15439.973	5.350
-10564.862	-15464.946	5.350
-10436.154	-15365.910	5.353
-10550.528	-15406.125	5.356
-10426.410	-15357.697	5.352
-10364.771	-15243.089	5.359
-10361.559	-15238.983	5.358
-10486.865	-15327.791	5.362
-10314.948	-15178.000	5.362
-10273.213	-15004.433	5.362
-10326.850	-15197.897	5.358
-10282.487	-15006.043	5.362
-10315.421	-15036.354	5.361
-10258.450	-15068.960	5.363
-10278.276	-15139.236	5.366
-10362.194	-15123.774	5.365
-10210.437	-14883.129	5.372
-10272.871	-15052.481	5.369
-10181.115	-14843.690	5.363
-10271.774	-15067.953	5.369
-10162.864	-14755.006	5.368
-10162.403	-14899.988	5.372
-10144.329	-14869.673	5.373
-10268.435	-15053.173	5.369
-10148.989	-14803.192	5.370
-10297.603	-15121.680	5.370
-10223.914	-14971.844	5.373
-10022.912	-14607.034	5.367
-10239.733	-14804.012	5.376
-10067.942	-14733.526	5.371
-10193.934	-14605.437	5.370
-10127.805	-14645.124	5.378
-10126.731	-14590.055	5.372
-10134.852	-14793.037	5.375
-10001.528	-14610.580	5.376
-10034.174	-14455.319	5.377
-10181.237	-14821.795	5.383
-10115.663	-14684.754	5.378
-10115.006	-14740.906	5.377
-10068.294	-14666.879	5.380
-10156.675	-14728.213	5.380
-9941.239	-14477.874	5.383
-9987.233	-14426.071	5.379
-9956.859	-14530.447	5.378
-9881.813	-14392.338	5.379
-10119.947	-14593.572	5.384
