EUBO	ELBO	ESS
268967.324	-1416435.964	-4375076.447	1.004
111372.476	-1567585.801	-2792683.000	1.004
45436.892	-1660161.641	-2159967.430	1.004
21718.683	-1604248.086	-1843153.613	1.007
12969.385	-1534458.839	-1677122.056	1.008
8597.052	-1500240.998	-1594808.567	1.010
5872.037	-1476730.424	-1541322.823	1.014
4036.648	-1466326.912	-1510730.039	1.018
2750.081	-1451601.326	-1481852.208	1.024
1877.789	-1441803.904	-1462459.587	1.032
1299.180	-1433080.847	-1447371.825	1.044
951.877	-1440463.569	-1450934.221	1.057
733.781	-1446112.105	-1454183.692	1.077
595.207	-1444580.933	-1451128.224	1.094
505.279	-1442660.156	-1448218.212	1.106
424.747	-1431362.940	-1436035.171	1.130
377.639	-1430977.334	-1435131.377	1.159
345.133	-1426317.889	-1430114.349	1.176
322.099	-1421108.553	-1424651.632	1.197
300.902	-1407499.209	-1410809.138	1.225
291.759	-1410270.034	-1413479.386	1.264
283.673	-1415967.596	-1419087.989	1.285
273.504	-1415316.134	-1418324.675	1.316
272.051	-1371760.112	-1374752.674	1.362
258.164	-1244766.811	-1247606.613	1.382
249.259	-1093859.126	-1096600.973	1.397
247.233	-995658.031	-998377.590	1.403
238.463	-939220.873	-941843.963	1.424
235.425	-904423.676	-907013.349	1.435
234.068	-881872.515	-884447.266	1.452
232.466	-869814.782	-872371.924	1.460
228.115	-854237.547	-856746.819	1.469
229.265	-843332.751	-845854.661	1.480
226.313	-845196.455	-847685.906	1.496
228.287	-852627.306	-855138.468	1.487
221.142	-846373.042	-848805.601	1.508
217.525	-879755.888	-882148.667	1.520
217.208	-862562.552	-864951.848	1.530
216.380	-841684.527	-844064.715	1.525
212.782	-845495.968	-847836.569	1.552
212.538	-859941.435	-862279.363	1.545
212.254	-853835.646	-856170.440	1.541
211.131	-837974.557	-840296.986	1.569
209.068	-834073.757	-836373.510	1.572
210.738	-872825.344	-875143.457	1.570
205.438	-852528.294	-854788.117	1.597
207.954	-838431.744	-840719.241	1.595
205.921	-830925.993	-833191.122	1.611
208.410	-831989.936	-834282.446	1.604
209.346	-871568.723	-873871.536	1.633
207.482	-849150.692	-851432.997	1.626
209.441	-834665.165	-836969.014	1.623
206.575	-819271.138	-821543.453	1.613
212.733	-874921.631	-877261.699	1.627
213.772	-920560.246	-922911.733	1.601
212.138	-906696.644	-909030.166	1.641
210.730	-907309.675	-909627.711	1.645
214.320	-879880.370	-882237.899	1.625
207.655	-859183.595	-861467.798	1.640
206.664	-863291.619	-865564.910	1.669
205.125	-839525.371	-841781.746	1.670
