EUBO	ELBO	ESS
-66527.154	-275752.275	2.462
-42240.774	-169386.925	3.207
-20199.226	-80047.342	3.871
-13017.229	-37571.507	4.166
-9033.732	-23342.946	4.322
-6797.487	-17871.483	4.412
-5022.907	-14266.536	4.465
-3642.195	-11449.672	4.501
-2773.824	-9569.856	4.537
-2202.838	-8196.028	4.568
-1798.790	-7189.643	4.584
-1457.191	-6371.903	4.612
-1473.411	-5964.435	4.628
-1231.347	-5220.669	4.649
-1212.756	-4820.610	4.672
-1035.901	-4195.788	4.690
-950.769	-3758.982	4.712
-959.137	-3488.582	4.723
-949.510	-3268.248	4.747
-852.818	-2989.929	4.761
-771.742	-2698.341	4.799
-687.235	-2365.221	4.845
-924.869	-2340.058	4.907
-666.638	-1828.375	4.965
-758.063	-1687.977	5.038
-784.583	-1538.984	5.085
-725.877	-1332.232	5.135
-639.507	-1142.715	5.176
-673.073	-1103.856	5.217
-748.536	-1127.620	5.238
-667.129	-999.537	5.274
-717.087	-1010.032	5.296
-734.167	-1003.158	5.313
-732.264	-984.340	5.322
-746.342	-977.606	5.353
-678.520	-894.620	5.369
-678.470	-883.884	5.369
