EUBO	ELBO	ESS
-115911.582	-614337.880	2.327
-55803.613	-380552.429	2.402
-34697.336	-203470.307	2.416
-25034.181	-153118.499	2.598
-21695.189	-122658.962	2.956
-20106.150	-100724.629	3.237
-19137.263	-85167.304	3.447
-17599.369	-75208.769	3.622
-16973.960	-69373.432	3.745
-16752.763	-66403.433	3.829
-16097.248	-60199.369	3.919
-16632.111	-59505.194	3.984
-16832.489	-57877.344	4.049
-17598.764	-57480.004	4.077
-16860.950	-51415.063	4.143
-16395.972	-46714.346	4.201
-15022.540	-38836.758	4.224
-14099.018	-30014.008	4.204
-13454.023	-27106.308	4.194
-13018.970	-25647.630	4.262
-13069.395	-25277.590	4.320
-12680.451	-24119.444	4.402
-12409.554	-23054.028	4.438
-12438.690	-22968.207	4.489
-12451.854	-22340.504	4.541
-12373.223	-22002.633	4.588
-13225.456	-23435.890	4.622
-12624.570	-21826.817	4.675
-12594.048	-21149.812	4.718
-12371.067	-20991.731	4.740
-12235.200	-20162.836	4.780
-12612.017	-20961.134	4.800
-12613.879	-21012.303	4.837
-13019.143	-21425.493	4.843
-14507.908	-24608.777	4.841
-13790.651	-22446.540	4.903
-15139.032	-24802.035	4.920
-12729.192	-21281.464	4.932
-12350.480	-20058.896	4.956
-12312.560	-19713.471	4.976
-12412.159	-20039.787	4.988
-12802.897	-20637.666	5.001
-12484.370	-20069.155	5.006
-12183.588	-19550.714	5.031
-12085.128	-19686.811	5.034
-12437.862	-19663.158	5.055
-12153.414	-19179.911	5.071
-12522.553	-20036.480	5.080
-12818.478	-20267.935	5.073
-13093.672	-21624.251	5.090
-12176.239	-19456.711	5.097
-12985.554	-21060.745	5.105
-12544.952	-19962.550	5.126
-12620.465	-20075.807	5.125
-13128.776	-21016.938	5.135
-13023.382	-20599.127	5.143
-12728.139	-20453.142	5.142
-11942.389	-19638.133	5.149
-13207.161	-21053.791	5.156
-12705.971	-20182.366	5.173
-12419.802	-19177.302	5.175
-12350.472	-19693.249	5.184
-14887.709	-22497.341	5.186
-14719.691	-25797.384	5.167
-14326.652	-23870.124	5.178
-12450.077	-19765.286	5.197
-13196.703	-21182.251	5.205
-13315.279	-20583.153	5.211
-13007.243	-20131.376	5.235
-13053.264	-20425.976	5.224
-13726.072	-21621.007	5.231
-15134.720	-24074.438	5.231
-13242.241	-20942.870	5.232
