eubo: -574259.451,  elbo: -683248.312,  ess: 1.000
eubo: -540529.708,  elbo: -629727.488,  ess: 1.000
eubo: -470686.329,  elbo: -583130.063,  ess: 1.000
eubo: -366132.606,  elbo: -515104.378,  ess: 1.000
eubo: -301749.546,  elbo: -460880.130,  ess: 1.000
eubo: -277432.896,  elbo: -436589.056,  ess: 1.000
eubo: -253024.658,  elbo: -404020.403,  ess: 1.000
eubo: -238112.624,  elbo: -370260.445,  ess: 1.000
eubo: -221224.857,  elbo: -331508.528,  ess: 1.000
eubo: -204577.673,  elbo: -303430.360,  ess: 1.000
eubo: -190382.779,  elbo: -290934.071,  ess: 1.000
eubo: -178348.096,  elbo: -281591.398,  ess: 1.000
eubo: -158473.150,  elbo: -270557.786,  ess: 1.000
eubo: -136055.517,  elbo: -254453.713,  ess: 1.000
eubo: -129167.435,  elbo: -253087.443,  ess: 1.000
eubo: -109931.754,  elbo: -233704.087,  ess: 1.000
eubo: -106044.556,  elbo: -227642.835,  ess: 1.000
eubo: -96361.531,  elbo: -209350.357,  ess: 1.000
eubo: -92842.364,  elbo: -199486.669,  ess: 1.000
eubo: -88851.209,  elbo: -194993.675,  ess: 1.001
eubo: -92844.662,  elbo: -201472.699,  ess: 1.000
eubo: -89927.885,  elbo: -198373.338,  ess: 1.000
eubo: -85451.409,  elbo: -192589.330,  ess: 1.000
eubo: -81534.086,  elbo: -178950.807,  ess: 1.001
eubo: -84849.663,  elbo: -183311.487,  ess: 1.000
eubo: -82661.447,  elbo: -179026.850,  ess: 1.000
eubo: -78858.115,  elbo: -172891.680,  ess: 1.000
eubo: -83185.194,  elbo: -180176.460,  ess: 1.000
eubo: -83130.504,  elbo: -176731.067,  ess: 1.000
eubo: -80494.844,  elbo: -172985.119,  ess: 1.001
eubo: -78190.164,  elbo: -168507.389,  ess: 1.000
eubo: -76853.879,  elbo: -166321.671,  ess: 1.001
eubo: -76602.907,  elbo: -158766.420,  ess: 1.001
eubo: -80721.290,  elbo: -168670.083,  ess: 1.000
eubo: -77379.649,  elbo: -163134.870,  ess: 1.000
eubo: -79115.229,  elbo: -162433.615,  ess: 1.000
eubo: -83633.339,  elbo: -173006.354,  ess: 1.000
eubo: -80922.385,  elbo: -167282.362,  ess: 1.000
eubo: -76109.254,  elbo: -160485.425,  ess: 1.000
eubo: -75616.295,  elbo: -160476.433,  ess: 1.000
eubo: -75954.101,  elbo: -157840.966,  ess: 1.001
eubo: -73965.252,  elbo: -151249.413,  ess: 1.000
eubo: -78535.231,  elbo: -162057.476,  ess: 1.000
eubo: -72370.930,  elbo: -151392.881,  ess: 1.000
eubo: -74129.484,  elbo: -151405.518,  ess: 1.000
eubo: -73457.328,  elbo: -153244.538,  ess: 1.000
eubo: -75584.222,  elbo: -154328.086,  ess: 1.000
eubo: -74214.710,  elbo: -151668.475,  ess: 1.001
eubo: -72873.930,  elbo: -148796.976,  ess: 1.000
eubo: -72023.530,  elbo: -147141.607,  ess: 1.000
eubo: -71325.512,  elbo: -146478.467,  ess: 1.000
eubo: -69272.498,  elbo: -142516.554,  ess: 1.000
eubo: -69722.502,  elbo: -141621.569,  ess: 1.000
eubo: -69427.033,  elbo: -137260.369,  ess: 1.000
eubo: -68552.175,  elbo: -137138.661,  ess: 1.000
eubo: -69090.233,  elbo: -138234.031,  ess: 1.000
eubo: -64271.193,  elbo: -127993.007,  ess: 1.000
eubo: -67741.423,  elbo: -134724.578,  ess: 1.000
eubo: -66754.616,  elbo: -134394.749,  ess: 1.000
eubo: -65874.200,  elbo: -132745.608,  ess: 1.000
eubo: -64764.020,  elbo: -131204.789,  ess: 1.000
eubo: -66688.108,  elbo: -133209.370,  ess: 1.000
eubo: -68984.353,  elbo: -138293.566,  ess: 1.001
eubo: -64025.562,  elbo: -129048.394,  ess: 1.000
eubo: -63080.925,  elbo: -128947.474,  ess: 1.000
eubo: -62832.200,  elbo: -124095.259,  ess: 1.000
eubo: -62301.434,  elbo: -123591.322,  ess: 1.000
eubo: -62731.697,  elbo: -124491.576,  ess: 1.000
eubo: -62373.702,  elbo: -122260.440,  ess: 1.000
eubo: -63390.052,  elbo: -125149.636,  ess: 1.000
eubo: -61442.107,  elbo: -122743.443,  ess: 1.000
eubo: -62916.628,  elbo: -122797.193,  ess: 1.001
eubo: -60734.702,  elbo: -119359.087,  ess: 1.000
eubo: -58035.750,  elbo: -114380.230,  ess: 1.000
eubo: -62425.304,  elbo: -121483.120,  ess: 1.000
eubo: -59966.892,  elbo: -117353.906,  ess: 1.000
eubo: -61678.603,  elbo: -121135.143,  ess: 1.000
eubo: -59183.239,  elbo: -115450.540,  ess: 1.000
eubo: -56657.201,  elbo: -110968.682,  ess: 1.000
eubo: -60100.606,  elbo: -114102.411,  ess: 1.001
eubo: -58614.574,  elbo: -118939.598,  ess: 1.000
eubo: -55137.301,  elbo: -111685.836,  ess: 1.000
eubo: -59697.425,  elbo: -119524.854,  ess: 1.000
eubo: -58547.326,  elbo: -117023.042,  ess: 1.000
eubo: -56294.426,  elbo: -111805.922,  ess: 1.000
eubo: -55789.611,  elbo: -112386.925,  ess: 1.000
eubo: -57238.020,  elbo: -116277.995,  ess: 1.000
eubo: -54579.185,  elbo: -110781.849,  ess: 1.001
eubo: -57228.575,  elbo: -114912.827,  ess: 1.001
eubo: -53530.058,  elbo: -108029.674,  ess: 1.000
eubo: -54422.021,  elbo: -111349.764,  ess: 1.001
eubo: -53620.491,  elbo: -108839.744,  ess: 1.000
eubo: -55073.248,  elbo: -112289.226,  ess: 1.000
eubo: -55090.087,  elbo: -115706.729,  ess: 1.000
eubo: -53176.519,  elbo: -109638.816,  ess: 1.000
eubo: -51937.194,  elbo: -104470.525,  ess: 1.000
eubo: -54133.170,  elbo: -109327.441,  ess: 1.000
eubo: -54387.211,  elbo: -111090.104,  ess: 1.000
eubo: -54261.739,  elbo: -111132.431,  ess: 1.000
eubo: -50780.014,  elbo: -104837.959,  ess: 1.000
eubo: -53761.918,  elbo: -109525.812,  ess: 1.000
