symKL_DB_eta: 591623.482,  symKL_DB_z: 546758.702,  gap_eta: 590912.476,  gap_z: 546455.605,  loss: -290291.392,  ess: 2.528
symKL_DB_eta: 649619.747,  symKL_DB_z: 475121.929,  gap_eta: 648528.248,  gap_z: 474758.849,  loss: -361942.212,  ess: 2.588
symKL_DB_eta: 409411.399,  symKL_DB_z: 243875.026,  gap_eta: 408793.763,  gap_z: 243590.489,  loss: -222245.073,  ess: 3.475
symKL_DB_eta: 307494.975,  symKL_DB_z: 81476.845,  gap_eta: 307423.593,  gap_z: 81264.610,  loss: -142656.844,  ess: 4.165
symKL_DB_eta: 205879.683,  symKL_DB_z: 30945.162,  gap_eta: 205856.169,  gap_z: 30788.042,  loss: -92929.878,  ess: 4.543
symKL_DB_eta: 125957.161,  symKL_DB_z: 12930.538,  gap_eta: 125935.102,  gap_z: 12818.893,  loss: -67069.382,  ess: 4.767
symKL_DB_eta: 89697.672,  symKL_DB_z: 6368.169,  gap_eta: 89696.983,  gap_z: 6283.100,  loss: -46153.529,  ess: 4.892
symKL_DB_eta: 70163.839,  symKL_DB_z: 4050.537,  gap_eta: 70161.891,  gap_z: 3986.033,  loss: -31370.593,  ess: 4.963
symKL_DB_eta: 52666.395,  symKL_DB_z: 3113.285,  gap_eta: 52665.330,  gap_z: 3067.031,  loss: -22207.855,  ess: 5.005
symKL_DB_eta: 37989.571,  symKL_DB_z: 2700.379,  gap_eta: 37988.388,  gap_z: 2665.488,  loss: -16531.413,  ess: 5.030
symKL_DB_eta: 28237.213,  symKL_DB_z: 2488.951,  gap_eta: 28236.672,  gap_z: 2462.105,  loss: -13797.872,  ess: 5.050
symKL_DB_eta: 20995.026,  symKL_DB_z: 2321.053,  gap_eta: 20994.730,  gap_z: 2300.238,  loss: -11551.506,  ess: 5.068
symKL_DB_eta: 16436.040,  symKL_DB_z: 2206.333,  gap_eta: 16435.830,  gap_z: 2190.122,  loss: -10219.317,  ess: 5.084
symKL_DB_eta: 12724.304,  symKL_DB_z: 2118.339,  gap_eta: 12723.640,  gap_z: 2103.785,  loss: -9650.364,  ess: 5.100
symKL_DB_eta: 10320.132,  symKL_DB_z: 2018.723,  gap_eta: 10319.062,  gap_z: 2008.339,  loss: -8859.596,  ess: 5.115
symKL_DB_eta: 8554.793,  symKL_DB_z: 1951.445,  gap_eta: 8551.832,  gap_z: 1942.701,  loss: -8443.097,  ess: 5.128
symKL_DB_eta: 7254.256,  symKL_DB_z: 1895.489,  gap_eta: 7252.759,  gap_z: 1885.533,  loss: -7793.643,  ess: 5.138
symKL_DB_eta: 6336.859,  symKL_DB_z: 1858.885,  gap_eta: 6335.346,  gap_z: 1852.573,  loss: -7252.824,  ess: 5.143
symKL_DB_eta: 5601.671,  symKL_DB_z: 1827.293,  gap_eta: 5598.528,  gap_z: 1821.433,  loss: -6797.701,  ess: 5.150
symKL_DB_eta: 4897.295,  symKL_DB_z: 1812.026,  gap_eta: 4894.207,  gap_z: 1805.172,  loss: -6409.222,  ess: 5.156
symKL_DB_eta: 4315.787,  symKL_DB_z: 1786.964,  gap_eta: 4308.314,  gap_z: 1781.897,  loss: -5943.883,  ess: 5.160
symKL_DB_eta: 3882.703,  symKL_DB_z: 1765.891,  gap_eta: 3875.112,  gap_z: 1758.009,  loss: -5643.450,  ess: 5.169
symKL_DB_eta: 3539.292,  symKL_DB_z: 1737.842,  gap_eta: 3513.024,  gap_z: 1733.647,  loss: -5548.890,  ess: 5.177
symKL_DB_eta: 3204.990,  symKL_DB_z: 1715.409,  gap_eta: 3183.745,  gap_z: 1712.916,  loss: -5301.861,  ess: 5.186
symKL_DB_eta: 2896.798,  symKL_DB_z: 1696.366,  gap_eta: 2888.602,  gap_z: 1692.062,  loss: -5295.889,  ess: 5.192
symKL_DB_eta: 2642.973,  symKL_DB_z: 1674.058,  gap_eta: 2632.788,  gap_z: 1670.823,  loss: -5259.987,  ess: 5.200
symKL_DB_eta: 2420.191,  symKL_DB_z: 1659.598,  gap_eta: 2384.587,  gap_z: 1655.318,  loss: -5121.878,  ess: 5.208
symKL_DB_eta: 2222.986,  symKL_DB_z: 1632.621,  gap_eta: 2207.699,  gap_z: 1627.870,  loss: -5010.257,  ess: 5.216
symKL_DB_eta: 2036.466,  symKL_DB_z: 1628.640,  gap_eta: 2006.674,  gap_z: 1625.229,  loss: -5106.171,  ess: 5.229
symKL_DB_eta: 1900.440,  symKL_DB_z: 1572.368,  gap_eta: 1847.356,  gap_z: 1562.736,  loss: -4874.343,  ess: 5.241
symKL_DB_eta: 1714.104,  symKL_DB_z: 1526.945,  gap_eta: 1695.044,  gap_z: 1524.333,  loss: -4875.940,  ess: 5.252
symKL_DB_eta: 1585.367,  symKL_DB_z: 1456.971,  gap_eta: 1563.696,  gap_z: 1455.678,  loss: -4770.132,  ess: 5.268
symKL_DB_eta: 1499.576,  symKL_DB_z: 1387.265,  gap_eta: 1476.421,  gap_z: 1387.100,  loss: -4797.426,  ess: 5.284
symKL_DB_eta: 1369.806,  symKL_DB_z: 1314.173,  gap_eta: 1367.119,  gap_z: 1312.013,  loss: -4699.339,  ess: 5.304
symKL_DB_eta: 1271.291,  symKL_DB_z: 1195.311,  gap_eta: 1259.272,  gap_z: 1194.365,  loss: -4392.556,  ess: 5.325
symKL_DB_eta: 1219.437,  symKL_DB_z: 1127.943,  gap_eta: 1176.878,  gap_z: 1124.095,  loss: -4702.374,  ess: 5.345
symKL_DB_eta: 1126.597,  symKL_DB_z: 1007.469,  gap_eta: 1102.108,  gap_z: 1009.016,  loss: -4626.001,  ess: 5.366
symKL_DB_eta: 1172.196,  symKL_DB_z: 888.435,  gap_eta: 1037.113,  gap_z: 883.828,  loss: -4343.500,  ess: 5.389
symKL_DB_eta: 971.139,  symKL_DB_z: 782.477,  gap_eta: 966.024,  gap_z: 783.891,  loss: -4347.823,  ess: 5.413
symKL_DB_eta: 930.576,  symKL_DB_z: 706.427,  gap_eta: 896.443,  gap_z: 707.579,  loss: -4410.359,  ess: 5.436
symKL_DB_eta: 860.849,  symKL_DB_z: 604.687,  gap_eta: 832.097,  gap_z: 598.242,  loss: -4564.909,  ess: 5.457
symKL_DB_eta: 822.298,  symKL_DB_z: 591.276,  gap_eta: 804.251,  gap_z: 593.169,  loss: -4628.487,  ess: 5.472
symKL_DB_eta: 794.487,  symKL_DB_z: 528.890,  gap_eta: 750.887,  gap_z: 525.790,  loss: -4762.962,  ess: 5.487
symKL_DB_eta: 742.276,  symKL_DB_z: 457.149,  gap_eta: 720.175,  gap_z: 456.335,  loss: -4533.964,  ess: 5.505
symKL_DB_eta: 729.766,  symKL_DB_z: 384.059,  gap_eta: 682.470,  gap_z: 387.573,  loss: -4528.941,  ess: 5.520
symKL_DB_eta: 656.810,  symKL_DB_z: 390.585,  gap_eta: 644.955,  gap_z: 392.270,  loss: -4704.539,  ess: 5.534
symKL_DB_eta: 660.930,  symKL_DB_z: 343.700,  gap_eta: 615.831,  gap_z: 343.659,  loss: -4678.547,  ess: 5.547
symKL_DB_eta: 587.228,  symKL_DB_z: 328.896,  gap_eta: 582.029,  gap_z: 331.671,  loss: -4630.374,  ess: 5.558
symKL_DB_eta: 562.356,  symKL_DB_z: 300.442,  gap_eta: 554.962,  gap_z: 302.640,  loss: -4527.694,  ess: 5.570
symKL_DB_eta: 531.708,  symKL_DB_z: 269.018,  gap_eta: 526.865,  gap_z: 271.815,  loss: -4538.230,  ess: 5.584
symKL_DB_eta: 527.681,  symKL_DB_z: 268.839,  gap_eta: 505.150,  gap_z: 271.276,  loss: -4493.835,  ess: 5.590
symKL_DB_eta: 509.979,  symKL_DB_z: 244.989,  gap_eta: 486.074,  gap_z: 248.802,  loss: -4573.508,  ess: 5.599
symKL_DB_eta: 472.814,  symKL_DB_z: 236.506,  gap_eta: 467.386,  gap_z: 237.376,  loss: -4350.518,  ess: 5.611
symKL_DB_eta: 457.651,  symKL_DB_z: 230.249,  gap_eta: 443.370,  gap_z: 232.772,  loss: -4438.246,  ess: 5.620
symKL_DB_eta: 439.824,  symKL_DB_z: 221.544,  gap_eta: 430.587,  gap_z: 225.797,  loss: -4444.668,  ess: 5.628
symKL_DB_eta: 421.316,  symKL_DB_z: 192.478,  gap_eta: 415.873,  gap_z: 196.723,  loss: -4526.042,  ess: 5.636
symKL_DB_eta: 471.158,  symKL_DB_z: 192.019,  gap_eta: 398.452,  gap_z: 195.579,  loss: -4246.594,  ess: 5.647
symKL_DB_eta: 385.282,  symKL_DB_z: 182.179,  gap_eta: 377.540,  gap_z: 185.778,  loss: -4415.476,  ess: 5.654
symKL_DB_eta: 421.251,  symKL_DB_z: 183.777,  gap_eta: 368.886,  gap_z: 187.760,  loss: -4442.168,  ess: 5.660
symKL_DB_eta: 368.150,  symKL_DB_z: 164.982,  gap_eta: 360.568,  gap_z: 168.646,  loss: -4364.575,  ess: 5.666
symKL_DB_eta: 353.423,  symKL_DB_z: 176.329,  gap_eta: 347.062,  gap_z: 181.067,  loss: -4452.899,  ess: 5.677
symKL_DB_eta: 351.959,  symKL_DB_z: 148.592,  gap_eta: 333.081,  gap_z: 152.739,  loss: -4333.887,  ess: 5.680
