symKL_DB_eta: 626030.605,  symKL_DB_z: 456293.931,  loss: -513987.240,  ess: 2.146
symKL_DB_eta: 536225.109,  symKL_DB_z: 403031.361,  loss: -551732.001,  ess: 2.175
symKL_DB_eta: 582134.309,  symKL_DB_z: 441260.259,  loss: -426948.038,  ess: 2.304
symKL_DB_eta: 559470.458,  symKL_DB_z: 433573.195,  loss: -348007.074,  ess: 2.473
symKL_DB_eta: 476978.352,  symKL_DB_z: 382589.988,  loss: -297598.621,  ess: 2.677
symKL_DB_eta: 396645.994,  symKL_DB_z: 316773.210,  loss: -256284.324,  ess: 2.909
symKL_DB_eta: 345721.688,  symKL_DB_z: 251921.898,  loss: -222948.271,  ess: 3.148
symKL_DB_eta: 319045.296,  symKL_DB_z: 195731.110,  loss: -195469.563,  ess: 3.377
symKL_DB_eta: 296193.836,  symKL_DB_z: 150949.972,  loss: -173413.332,  ess: 3.584
symKL_DB_eta: 276420.713,  symKL_DB_z: 117332.126,  loss: -155620.928,  ess: 3.758
symKL_DB_eta: 254767.401,  symKL_DB_z: 93323.318,  loss: -141657.537,  ess: 3.902
symKL_DB_eta: 239179.166,  symKL_DB_z: 76252.284,  loss: -128073.123,  ess: 4.020
symKL_DB_eta: 222617.922,  symKL_DB_z: 63615.736,  loss: -116183.852,  ess: 4.124
symKL_DB_eta: 213348.765,  symKL_DB_z: 54411.141,  loss: -105314.792,  ess: 4.209
symKL_DB_eta: 205245.063,  symKL_DB_z: 46929.961,  loss: -95435.219,  ess: 4.282
symKL_DB_eta: 197435.581,  symKL_DB_z: 41718.360,  loss: -86962.253,  ess: 4.346
symKL_DB_eta: 188080.676,  symKL_DB_z: 37164.192,  loss: -79978.004,  ess: 4.400
symKL_DB_eta: 178671.740,  symKL_DB_z: 33470.995,  loss: -74321.419,  ess: 4.443
symKL_DB_eta: 167354.230,  symKL_DB_z: 30421.312,  loss: -68646.761,  ess: 4.482
symKL_DB_eta: 157535.813,  symKL_DB_z: 28067.437,  loss: -63283.201,  ess: 4.516
symKL_DB_eta: 146893.976,  symKL_DB_z: 26109.417,  loss: -57858.301,  ess: 4.546
symKL_DB_eta: 134823.260,  symKL_DB_z: 24134.094,  loss: -53270.604,  ess: 4.569
symKL_DB_eta: 124840.996,  symKL_DB_z: 22495.007,  loss: -49244.894,  ess: 4.594
symKL_DB_eta: 114718.702,  symKL_DB_z: 20959.206,  loss: -45095.269,  ess: 4.619
symKL_DB_eta: 106088.751,  symKL_DB_z: 19661.049,  loss: -41990.281,  ess: 4.638
symKL_DB_eta: 99640.985,  symKL_DB_z: 18579.620,  loss: -39321.087,  ess: 4.650
symKL_DB_eta: 89153.960,  symKL_DB_z: 17048.610,  loss: -37303.814,  ess: 4.664
symKL_DB_eta: 85942.679,  symKL_DB_z: 16279.793,  loss: -35129.370,  ess: 4.678
symKL_DB_eta: 80971.879,  symKL_DB_z: 15445.388,  loss: -32793.922,  ess: 4.689
symKL_DB_eta: 75488.916,  symKL_DB_z: 14520.849,  loss: -32026.876,  ess: 4.695
symKL_DB_eta: 73339.171,  symKL_DB_z: 14248.126,  loss: -30632.693,  ess: 4.702
symKL_DB_eta: 68895.347,  symKL_DB_z: 13555.836,  loss: -29800.602,  ess: 4.705
symKL_DB_eta: 66702.710,  symKL_DB_z: 13193.111,  loss: -29175.734,  ess: 4.709
symKL_DB_eta: 63988.298,  symKL_DB_z: 12881.783,  loss: -28753.157,  ess: 4.719
symKL_DB_eta: 61093.831,  symKL_DB_z: 12492.387,  loss: -27350.637,  ess: 4.719
symKL_DB_eta: 59631.009,  symKL_DB_z: 12311.762,  loss: -27136.768,  ess: 4.722
symKL_DB_eta: 58390.017,  symKL_DB_z: 12097.370,  loss: -26195.426,  ess: 4.726
symKL_DB_eta: 56053.160,  symKL_DB_z: 11824.735,  loss: -25403.202,  ess: 4.732
symKL_DB_eta: 56438.060,  symKL_DB_z: 11868.820,  loss: -25294.614,  ess: 4.732
symKL_DB_eta: 54960.962,  symKL_DB_z: 11715.923,  loss: -24736.617,  ess: 4.735
symKL_DB_eta: 52366.639,  symKL_DB_z: 11461.963,  loss: -24461.978,  ess: 4.742
symKL_DB_eta: 51239.129,  symKL_DB_z: 11308.605,  loss: -24256.852,  ess: 4.742
symKL_DB_eta: 48959.593,  symKL_DB_z: 11003.895,  loss: -23956.396,  ess: 4.745
symKL_DB_eta: 47227.704,  symKL_DB_z: 10730.670,  loss: -24331.775,  ess: 4.743
symKL_DB_eta: 47538.633,  symKL_DB_z: 10779.703,  loss: -23467.597,  ess: 4.748
symKL_DB_eta: 46310.642,  symKL_DB_z: 10627.966,  loss: -23036.714,  ess: 4.754
symKL_DB_eta: 45639.690,  symKL_DB_z: 10546.327,  loss: -22329.651,  ess: 4.752
symKL_DB_eta: 45362.779,  symKL_DB_z: 10490.519,  loss: -22376.820,  ess: 4.752
symKL_DB_eta: 44755.452,  symKL_DB_z: 10422.575,  loss: -21663.274,  ess: 4.757
symKL_DB_eta: 44346.134,  symKL_DB_z: 10403.379,  loss: -21918.589,  ess: 4.761
symKL_DB_eta: 44477.939,  symKL_DB_z: 10387.735,  loss: -21402.073,  ess: 4.762
symKL_DB_eta: 42823.784,  symKL_DB_z: 10227.444,  loss: -21137.288,  ess: 4.761
symKL_DB_eta: 42361.611,  symKL_DB_z: 10162.096,  loss: -20917.103,  ess: 4.760
symKL_DB_eta: 42158.929,  symKL_DB_z: 10118.119,  loss: -21376.752,  ess: 4.766
symKL_DB_eta: 41743.207,  symKL_DB_z: 10023.871,  loss: -21109.126,  ess: 4.770
symKL_DB_eta: 42140.490,  symKL_DB_z: 10090.308,  loss: -20641.248,  ess: 4.772
symKL_DB_eta: 41712.151,  symKL_DB_z: 10002.277,  loss: -20674.416,  ess: 4.769
symKL_DB_eta: 41699.148,  symKL_DB_z: 10058.672,  loss: -20860.856,  ess: 4.774
symKL_DB_eta: 39670.321,  symKL_DB_z: 9786.177,  loss: -20096.103,  ess: 4.778
symKL_DB_eta: 38597.754,  symKL_DB_z: 9647.379,  loss: -20816.628,  ess: 4.773
symKL_DB_eta: 37905.439,  symKL_DB_z: 9548.862,  loss: -20258.483,  ess: 4.779
symKL_DB_eta: 37340.899,  symKL_DB_z: 9522.920,  loss: -20314.566,  ess: 4.778
symKL_DB_eta: 38441.788,  symKL_DB_z: 9629.681,  loss: -20127.301,  ess: 4.782
symKL_DB_eta: 37972.870,  symKL_DB_z: 9543.684,  loss: -19993.534,  ess: 4.783
symKL_DB_eta: 37477.169,  symKL_DB_z: 9469.700,  loss: -19837.499,  ess: 4.788
symKL_DB_eta: 37018.444,  symKL_DB_z: 9460.491,  loss: -19535.787,  ess: 4.788
symKL_DB_eta: 37153.676,  symKL_DB_z: 9479.026,  loss: -19362.591,  ess: 4.789
symKL_DB_eta: 37168.716,  symKL_DB_z: 9445.841,  loss: -19538.574,  ess: 4.788
symKL_DB_eta: 36916.222,  symKL_DB_z: 9379.802,  loss: -19446.344,  ess: 4.794
symKL_DB_eta: 37615.461,  symKL_DB_z: 9449.662,  loss: -19283.640,  ess: 4.794
symKL_DB_eta: 36963.396,  symKL_DB_z: 9450.409,  loss: -19533.427,  ess: 4.795
symKL_DB_eta: 36361.312,  symKL_DB_z: 9336.572,  loss: -19166.927,  ess: 4.796
symKL_DB_eta: 36770.515,  symKL_DB_z: 9364.985,  loss: -19224.655,  ess: 4.798
symKL_DB_eta: 34901.408,  symKL_DB_z: 9164.982,  loss: -18970.172,  ess: 4.796
symKL_DB_eta: 35962.014,  symKL_DB_z: 9292.182,  loss: -18849.883,  ess: 4.800
symKL_DB_eta: 34352.920,  symKL_DB_z: 9092.233,  loss: -18797.113,  ess: 4.800
symKL_DB_eta: 35554.856,  symKL_DB_z: 9292.877,  loss: -18610.050,  ess: 4.804
symKL_DB_eta: 35050.713,  symKL_DB_z: 9182.835,  loss: -18989.590,  ess: 4.805
symKL_DB_eta: 33819.340,  symKL_DB_z: 8976.237,  loss: -18582.349,  ess: 4.805
symKL_DB_eta: 34283.109,  symKL_DB_z: 9092.945,  loss: -18823.126,  ess: 4.806
symKL_DB_eta: 34155.584,  symKL_DB_z: 9077.655,  loss: -18845.563,  ess: 4.811
symKL_DB_eta: 34460.812,  symKL_DB_z: 9136.231,  loss: -18156.052,  ess: 4.809
symKL_DB_eta: 34224.139,  symKL_DB_z: 9094.360,  loss: -18885.978,  ess: 4.809
symKL_DB_eta: 32467.477,  symKL_DB_z: 8830.469,  loss: -18390.656,  ess: 4.815
symKL_DB_eta: 32901.224,  symKL_DB_z: 8991.898,  loss: -18565.220,  ess: 4.812
symKL_DB_eta: 33957.626,  symKL_DB_z: 9057.363,  loss: -18456.885,  ess: 4.816
symKL_DB_eta: 33208.767,  symKL_DB_z: 9058.015,  loss: -18958.827,  ess: 4.813
symKL_DB_eta: 33333.416,  symKL_DB_z: 8992.261,  loss: -18375.515,  ess: 4.816
symKL_DB_eta: 33716.628,  symKL_DB_z: 9096.438,  loss: -18214.505,  ess: 4.819
symKL_DB_eta: 32030.370,  symKL_DB_z: 8823.439,  loss: -17922.241,  ess: 4.821
symKL_DB_eta: 33384.874,  symKL_DB_z: 9016.977,  loss: -18237.066,  ess: 4.818
symKL_DB_eta: 33201.489,  symKL_DB_z: 9100.768,  loss: -18372.546,  ess: 4.820
symKL_DB_eta: 32719.287,  symKL_DB_z: 8984.643,  loss: -18019.734,  ess: 4.822
symKL_DB_eta: 32477.005,  symKL_DB_z: 8987.752,  loss: -17772.722,  ess: 4.824
symKL_DB_eta: 31984.369,  symKL_DB_z: 8981.190,  loss: -18370.283,  ess: 4.824
symKL_DB_eta: 31651.095,  symKL_DB_z: 8900.134,  loss: -17836.258,  ess: 4.825
symKL_DB_eta: 31233.624,  symKL_DB_z: 8856.649,  loss: -18101.710,  ess: 4.826
symKL_DB_eta: 31191.268,  symKL_DB_z: 8864.145,  loss: -17846.499,  ess: 4.828
symKL_DB_eta: 31236.573,  symKL_DB_z: 8897.066,  loss: -17562.264,  ess: 4.829
symKL_DB_eta: 30974.957,  symKL_DB_z: 8899.411,  loss: -18238.842,  ess: 4.827
symKL_DB_eta: 31522.214,  symKL_DB_z: 9014.401,  loss: -17468.716,  ess: 4.833
symKL_DB_eta: 30914.199,  symKL_DB_z: 8909.790,  loss: -17433.289,  ess: 4.835
symKL_DB_eta: 30441.088,  symKL_DB_z: 8891.149,  loss: -17955.848,  ess: 4.831
symKL_DB_eta: 31697.501,  symKL_DB_z: 9056.045,  loss: -17622.824,  ess: 4.833
symKL_DB_eta: 30822.450,  symKL_DB_z: 8900.287,  loss: -17740.669,  ess: 4.836
symKL_DB_eta: 31043.156,  symKL_DB_z: 9020.130,  loss: -17605.414,  ess: 4.837
symKL_DB_eta: 31909.125,  symKL_DB_z: 9125.183,  loss: -17444.652,  ess: 4.838
symKL_DB_eta: 31322.394,  symKL_DB_z: 9052.141,  loss: -17684.455,  ess: 4.839
symKL_DB_eta: 30870.987,  symKL_DB_z: 9000.275,  loss: -17476.455,  ess: 4.843
symKL_DB_eta: 30287.945,  symKL_DB_z: 8907.633,  loss: -17493.606,  ess: 4.843
symKL_DB_eta: 29250.294,  symKL_DB_z: 8670.316,  loss: -17941.971,  ess: 4.844
symKL_DB_eta: 27846.408,  symKL_DB_z: 8457.744,  loss: -17726.738,  ess: 4.848
symKL_DB_eta: 29104.787,  symKL_DB_z: 8684.340,  loss: -18016.269,  ess: 4.848
symKL_DB_eta: 30668.648,  symKL_DB_z: 8892.934,  loss: -17099.583,  ess: 4.851
symKL_DB_eta: 30255.605,  symKL_DB_z: 8816.038,  loss: -17553.412,  ess: 4.853
symKL_DB_eta: 30258.160,  symKL_DB_z: 8820.107,  loss: -17278.064,  ess: 4.855
symKL_DB_eta: 28182.111,  symKL_DB_z: 8474.622,  loss: -17533.280,  ess: 4.860
symKL_DB_eta: 29246.418,  symKL_DB_z: 8604.801,  loss: -17293.018,  ess: 4.862
symKL_DB_eta: 29813.937,  symKL_DB_z: 8752.500,  loss: -17486.820,  ess: 4.862
symKL_DB_eta: 29020.937,  symKL_DB_z: 8623.025,  loss: -17040.167,  ess: 4.865
symKL_DB_eta: 29401.277,  symKL_DB_z: 8602.111,  loss: -17170.426,  ess: 4.868
