DB_eta: 155302.553,  DB_z: 124834.593,  DB_rad: 276420.547,  gap_eta: 155317.237,  gap_z: 124124.608,  gap_rad: 276215.457,  loss: -398813.245,  ess: 1.874
DB_eta: 148344.124,  DB_z: 122075.489,  DB_rad: 280861.436,  gap_eta: 148346.376,  gap_z: 121271.746,  gap_rad: 280578.552,  loss: -270235.233,  ess: 1.891
DB_eta: 132612.581,  DB_z: 94792.217,  DB_rad: 341605.951,  gap_eta: 132628.653,  gap_z: 93840.170,  gap_rad: 341246.131,  loss: -180986.985,  ess: 1.906
DB_eta: 17375.875,  DB_z: 28193.005,  DB_rad: 190261.004,  gap_eta: 17399.302,  gap_z: 27716.574,  gap_rad: 190034.039,  loss: -24009.808,  ess: 2.008
DB_eta: 1239.399,  DB_z: 3732.955,  DB_rad: 26469.653,  gap_eta: 1274.588,  gap_z: 3368.541,  gap_rad: 26199.394,  loss: -4729.122,  ess: 2.298
DB_eta: 190.467,  DB_z: 1158.650,  DB_rad: 10792.570,  gap_eta: 248.538,  gap_z: 910.826,  gap_rad: 10547.551,  loss: -3725.720,  ess: 2.828
DB_eta: 80.305,  DB_z: 479.141,  DB_rad: 7961.300,  gap_eta: 147.309,  gap_z: 340.494,  gap_rad: 7774.327,  loss: -3652.707,  ess: 3.349
DB_eta: 51.676,  DB_z: 254.361,  DB_rad: 6267.820,  gap_eta: 122.792,  gap_z: 196.771,  gap_rad: 6120.304,  loss: -3526.724,  ess: 3.800
DB_eta: 40.612,  DB_z: 168.062,  DB_rad: 4804.618,  gap_eta: 115.319,  gap_z: 149.929,  gap_rad: 4671.476,  loss: -3457.609,  ess: 4.098
DB_eta: 30.682,  DB_z: 91.822,  DB_rad: 3827.743,  gap_eta: 113.270,  gap_z: 111.979,  gap_rad: 3716.164,  loss: -3440.520,  ess: 4.512
DB_eta: 28.536,  DB_z: 69.992,  DB_rad: 3305.046,  gap_eta: 113.356,  gap_z: 101.410,  gap_rad: 3197.345,  loss: -3401.194,  ess: 4.702
DB_eta: 27.631,  DB_z: 58.889,  DB_rad: 3043.814,  gap_eta: 110.892,  gap_z: 96.084,  gap_rad: 2939.321,  loss: -3359.091,  ess: 4.810
DB_eta: 25.391,  DB_z: 42.862,  DB_rad: 2700.021,  gap_eta: 110.636,  gap_z: 88.626,  gap_rad: 2600.452,  loss: -3352.400,  ess: 4.974
DB_eta: 24.444,  DB_z: 37.550,  DB_rad: 2413.642,  gap_eta: 110.332,  gap_z: 86.405,  gap_rad: 2316.633,  loss: -3343.350,  ess: 5.110
DB_eta: 23.748,  DB_z: 35.508,  DB_rad: 2293.028,  gap_eta: 109.253,  gap_z: 85.427,  gap_rad: 2196.356,  loss: -3328.910,  ess: 5.158
DB_eta: 21.266,  DB_z: 33.055,  DB_rad: 2110.881,  gap_eta: 107.735,  gap_z: 84.446,  gap_rad: 2018.195,  loss: -3322.793,  ess: 5.276
DB_eta: 21.351,  DB_z: 30.529,  DB_rad: 1998.446,  gap_eta: 105.118,  gap_z: 83.331,  gap_rad: 1906.962,  loss: -3306.257,  ess: 5.329
DB_eta: 21.415,  DB_z: 30.920,  DB_rad: 1918.572,  gap_eta: 105.414,  gap_z: 82.954,  gap_rad: 1824.732,  loss: -3303.983,  ess: 5.300
DB_eta: 21.684,  DB_z: 32.190,  DB_rad: 1800.641,  gap_eta: 103.691,  gap_z: 84.043,  gap_rad: 1709.900,  loss: -3297.277,  ess: 5.377
DB_eta: 22.406,  DB_z: 36.046,  DB_rad: 1734.380,  gap_eta: 102.417,  gap_z: 85.769,  gap_rad: 1643.039,  loss: -3294.329,  ess: 5.375
DB_eta: 21.345,  DB_z: 32.623,  DB_rad: 1669.559,  gap_eta: 100.836,  gap_z: 84.105,  gap_rad: 1579.719,  loss: -3285.373,  ess: 5.435
DB_eta: 20.282,  DB_z: 30.562,  DB_rad: 1542.586,  gap_eta: 100.889,  gap_z: 82.928,  gap_rad: 1455.135,  loss: -3291.495,  ess: 5.503
DB_eta: 23.185,  DB_z: 36.169,  DB_rad: 1610.753,  gap_eta: 99.787,  gap_z: 85.695,  gap_rad: 1520.772,  loss: -3267.534,  ess: 5.417
DB_eta: 19.364,  DB_z: 26.847,  DB_rad: 1436.717,  gap_eta: 99.233,  gap_z: 81.105,  gap_rad: 1352.259,  loss: -3279.160,  ess: 5.606
DB_eta: 27.097,  DB_z: 40.487,  DB_rad: 1522.094,  gap_eta: 101.369,  gap_z: 87.738,  gap_rad: 1428.915,  loss: -3271.400,  ess: 5.364
DB_eta: 23.656,  DB_z: 33.350,  DB_rad: 1357.028,  gap_eta: 99.934,  gap_z: 84.086,  gap_rad: 1273.766,  loss: -3272.597,  ess: 5.581
DB_eta: 20.329,  DB_z: 26.593,  DB_rad: 1323.062,  gap_eta: 98.674,  gap_z: 80.470,  gap_rad: 1235.823,  loss: -3273.511,  ess: 5.584
DB_eta: 21.576,  DB_z: 31.683,  DB_rad: 1313.489,  gap_eta: 97.848,  gap_z: 82.416,  gap_rad: 1225.360,  loss: -3269.906,  ess: 5.550
DB_eta: 21.972,  DB_z: 32.425,  DB_rad: 1281.507,  gap_eta: 97.037,  gap_z: 83.801,  gap_rad: 1198.999,  loss: -3266.436,  ess: 5.622
DB_eta: 21.797,  DB_z: 31.785,  DB_rad: 1287.705,  gap_eta: 96.544,  gap_z: 82.725,  gap_rad: 1202.793,  loss: -3255.033,  ess: 5.602
DB_eta: 19.823,  DB_z: 27.300,  DB_rad: 1221.550,  gap_eta: 95.927,  gap_z: 80.809,  gap_rad: 1138.002,  loss: -3262.383,  ess: 5.681
DB_eta: 20.655,  DB_z: 28.198,  DB_rad: 1232.347,  gap_eta: 97.400,  gap_z: 81.045,  gap_rad: 1149.199,  loss: -3252.418,  ess: 5.662
DB_eta: 24.093,  DB_z: 34.785,  DB_rad: 1241.885,  gap_eta: 95.848,  gap_z: 84.126,  gap_rad: 1157.923,  loss: -3244.108,  ess: 5.609
DB_eta: 23.874,  DB_z: 36.546,  DB_rad: 1247.088,  gap_eta: 96.354,  gap_z: 84.579,  gap_rad: 1164.579,  loss: -3241.575,  ess: 5.625
DB_eta: 26.666,  DB_z: 35.689,  DB_rad: 1201.779,  gap_eta: 96.924,  gap_z: 84.420,  gap_rad: 1114.411,  loss: -3236.922,  ess: 5.555
DB_eta: 19.489,  DB_z: 25.615,  DB_rad: 1100.834,  gap_eta: 95.017,  gap_z: 79.186,  gap_rad: 1021.012,  loss: -3248.368,  ess: 5.778
