(548s) phi_loss: 183.198,  theta_loss: 20594.532,  ess: 1.238
(553s) phi_loss: -368.608,  theta_loss: 6987.545,  ess: 1.575
(550s) phi_loss: -620.369,  theta_loss: 4296.661,  ess: 1.926
(542s) phi_loss: -708.103,  theta_loss: 3313.259,  ess: 2.057
(543s) phi_loss: -731.596,  theta_loss: 2814.137,  ess: 2.067
(524s) phi_loss: -752.479,  theta_loss: 2538.420,  ess: 2.091
(548s) phi_loss: -789.948,  theta_loss: 2434.139,  ess: 2.114
(535s) phi_loss: -825.735,  theta_loss: 2351.885,  ess: 2.150
(531s) phi_loss: -850.109,  theta_loss: 2280.753,  ess: 2.215
(540s) phi_loss: -877.618,  theta_loss: 2201.699,  ess: 2.249
(526s) phi_loss: -897.762,  theta_loss: 2152.042,  ess: 2.282
(550s) phi_loss: -917.615,  theta_loss: 2114.682,  ess: 2.317
(540s) phi_loss: -932.450,  theta_loss: 2061.643,  ess: 2.371
(537s) phi_loss: -954.461,  theta_loss: 2012.859,  ess: 2.383
(546s) phi_loss: -973.307,  theta_loss: 1967.551,  ess: 2.446
(539s) phi_loss: -1000.185,  theta_loss: 1888.351,  ess: 2.496
(551s) phi_loss: -1023.867,  theta_loss: 1833.342,  ess: 2.593
(535s) phi_loss: -1051.883,  theta_loss: 1788.218,  ess: 2.670
(541s) phi_loss: -1072.364,  theta_loss: 1765.136,  ess: 2.727
(547s) phi_loss: -1090.202,  theta_loss: 1749.904,  ess: 2.778
(550s) phi_loss: -1108.406,  theta_loss: 1719.223,  ess: 2.814
(522s) phi_loss: -1124.883,  theta_loss: 1707.005,  ess: 2.841
(527s) phi_loss: -1136.152,  theta_loss: 1678.744,  ess: 2.875
(542s) phi_loss: -1145.109,  theta_loss: 1664.215,  ess: 2.911
(553s) phi_loss: -1155.701,  theta_loss: 1638.173,  ess: 2.931
(533s) phi_loss: -1164.993,  theta_loss: 1633.261,  ess: 2.947
(558s) phi_loss: -1171.922,  theta_loss: 1615.124,  ess: 2.964
(535s) phi_loss: -1178.228,  theta_loss: 1602.318,  ess: 2.977
(538s) phi_loss: -1183.897,  theta_loss: 1595.298,  ess: 2.993
(532s) phi_loss: -1189.959,  theta_loss: 1589.158,  ess: 2.998
(539s) phi_loss: -1195.030,  theta_loss: 1568.765,  ess: 3.022
(546s) phi_loss: -1197.368,  theta_loss: 1572.664,  ess: 3.026
(533s) phi_loss: -1200.574,  theta_loss: 1558.178,  ess: 3.038
(556s) phi_loss: -1204.200,  theta_loss: 1560.801,  ess: 3.050
(530s) phi_loss: -1207.780,  theta_loss: 1554.611,  ess: 3.065
(551s) phi_loss: -1209.702,  theta_loss: 1548.773,  ess: 3.073
(544s) phi_loss: -1211.297,  theta_loss: 1533.707,  ess: 3.081
(529s) phi_loss: -1214.623,  theta_loss: 1527.202,  ess: 3.089
(551s) phi_loss: -1216.868,  theta_loss: 1535.913,  ess: 3.094
(549s) phi_loss: -1217.552,  theta_loss: 1526.747,  ess: 3.107
(529s) phi_loss: -1220.327,  theta_loss: 1521.902,  ess: 3.110
(554s) phi_loss: -1221.137,  theta_loss: 1525.045,  ess: 3.117
(530s) phi_loss: -1222.164,  theta_loss: 1521.306,  ess: 3.130
(539s) phi_loss: -1222.531,  theta_loss: 1519.714,  ess: 3.132
(533s) phi_loss: -1224.061,  theta_loss: 1506.321,  ess: 3.143
(529s) phi_loss: -1223.921,  theta_loss: 1507.645,  ess: 3.148
(539s) phi_loss: -1225.336,  theta_loss: 1517.125,  ess: 3.153
(541s) phi_loss: -1226.207,  theta_loss: 1512.228,  ess: 3.164
(536s) phi_loss: -1223.621,  theta_loss: 1508.174,  ess: 3.173
(537s) phi_loss: -1224.783,  theta_loss: 1513.045,  ess: 3.180
(519s) phi_loss: -1224.319,  theta_loss: 1513.085,  ess: 3.186
(546s) phi_loss: -1225.929,  theta_loss: 1512.229,  ess: 3.185
(542s) phi_loss: -1225.860,  theta_loss: 1501.988,  ess: 3.192
(516s) phi_loss: -1224.601,  theta_loss: 1511.050,  ess: 3.199
(511s) phi_loss: -1224.418,  theta_loss: 1506.777,  ess: 3.209
(512s) phi_loss: -1224.589,  theta_loss: 1507.987,  ess: 3.208
(515s) phi_loss: -1224.320,  theta_loss: 1517.159,  ess: 3.212
(524s) phi_loss: -1224.269,  theta_loss: 1507.668,  ess: 3.227
(522s) phi_loss: -1224.019,  theta_loss: 1511.370,  ess: 3.229
(514s) phi_loss: -1221.606,  theta_loss: 1512.782,  ess: 3.234
(511s) phi_loss: -1221.907,  theta_loss: 1520.095,  ess: 3.240
(512s) phi_loss: -1222.778,  theta_loss: 1517.387,  ess: 3.244
(539s) phi_loss: -1219.640,  theta_loss: 1518.140,  ess: 3.255
(528s) phi_loss: -1218.533,  theta_loss: 1502.844,  ess: 3.258
(544s) phi_loss: -1220.495,  theta_loss: 1518.429,  ess: 3.261
(535s) phi_loss: -1219.255,  theta_loss: 1518.302,  ess: 3.262
(512s) phi_loss: -1218.248,  theta_loss: 1516.406,  ess: 3.267
(512s) phi_loss: -1217.857,  theta_loss: 1518.365,  ess: 3.268
(529s) phi_loss: -1217.123,  theta_loss: 1515.296,  ess: 3.282
(526s) phi_loss: -1215.947,  theta_loss: 1522.651,  ess: 3.281
(511s) phi_loss: -1216.282,  theta_loss: 1523.641,  ess: 3.286
(512s) phi_loss: -1214.730,  theta_loss: 1520.604,  ess: 3.294
(512s) phi_loss: -1214.455,  theta_loss: 1524.036,  ess: 3.296
(513s) phi_loss: -1213.168,  theta_loss: 1519.033,  ess: 3.304
(539s) phi_loss: -1210.606,  theta_loss: 1519.871,  ess: 3.305
(546s) phi_loss: -1208.819,  theta_loss: 1524.395,  ess: 3.315
(545s) phi_loss: -1208.487,  theta_loss: 1533.068,  ess: 3.314
(523s) phi_loss: -1206.585,  theta_loss: 1533.434,  ess: 3.318
(513s) phi_loss: -1204.706,  theta_loss: 1526.544,  ess: 3.328
(546s) phi_loss: -1205.835,  theta_loss: 1539.907,  ess: 3.327
(544s) phi_loss: -1205.030,  theta_loss: 1532.523,  ess: 3.336
(516s) phi_loss: -1203.329,  theta_loss: 1532.881,  ess: 3.339
(523s) phi_loss: -1202.338,  theta_loss: 1541.793,  ess: 3.339
(519s) phi_loss: -1201.325,  theta_loss: 1531.619,  ess: 3.347
(544s) phi_loss: -1200.737,  theta_loss: 1539.677,  ess: 3.353
(548s) phi_loss: -1199.350,  theta_loss: 1537.312,  ess: 3.357
(518s) phi_loss: -1197.601,  theta_loss: 1537.768,  ess: 3.361
(533s) phi_loss: -1195.811,  theta_loss: 1535.960,  ess: 3.365
(518s) phi_loss: -1194.619,  theta_loss: 1535.642,  ess: 3.366
(524s) phi_loss: -1194.490,  theta_loss: 1546.421,  ess: 3.369
(532s) phi_loss: -1192.450,  theta_loss: 1540.651,  ess: 3.368
(528s) phi_loss: -1190.117,  theta_loss: 1540.913,  ess: 3.383
(513s) phi_loss: -1190.139,  theta_loss: 1546.325,  ess: 3.386
(513s) phi_loss: -1188.844,  theta_loss: 1552.588,  ess: 3.387
(521s) phi_loss: -1188.053,  theta_loss: 1543.750,  ess: 3.386
(537s) phi_loss: -1186.865,  theta_loss: 1547.753,  ess: 3.396
(547s) phi_loss: -1186.039,  theta_loss: 1546.743,  ess: 3.398
(517s) phi_loss: -1182.395,  theta_loss: 1562.737,  ess: 3.403
(524s) phi_loss: -1183.354,  theta_loss: 1546.911,  ess: 3.405
(513s) phi_loss: -1181.847,  theta_loss: 1551.617,  ess: 3.410
