(23s) phi_loss: -33394.124,  theta_loss: 33110.746,  ess: 1.004
(22s) phi_loss: -28619.968,  theta_loss: 28215.472,  ess: 1.005
(18s) phi_loss: -26747.246,  theta_loss: 26334.305,  ess: 1.006
(21s) phi_loss: -25236.896,  theta_loss: 24814.705,  ess: 1.005
(21s) phi_loss: -23277.040,  theta_loss: 22857.050,  ess: 1.005
(22s) phi_loss: -17923.121,  theta_loss: 17490.034,  ess: 1.003
(23s) phi_loss: -13803.078,  theta_loss: 13319.378,  ess: 1.004
(23s) phi_loss: -10710.434,  theta_loss: 10173.068,  ess: 1.004
(18s) phi_loss: -8147.348,  theta_loss: 7568.040,  ess: 1.005
(21s) phi_loss: -6329.968,  theta_loss: 5703.397,  ess: 1.006
(23s) phi_loss: -5516.651,  theta_loss: 4854.624,  ess: 1.008
(23s) phi_loss: -5071.165,  theta_loss: 4382.862,  ess: 1.009
(23s) phi_loss: -4781.132,  theta_loss: 4077.133,  ess: 1.009
(21s) phi_loss: -4582.899,  theta_loss: 3862.963,  ess: 1.010
(16s) phi_loss: -4424.398,  theta_loss: 3692.638,  ess: 1.010
(20s) phi_loss: -4300.293,  theta_loss: 3562.364,  ess: 1.009
(23s) phi_loss: -4214.020,  theta_loss: 3462.958,  ess: 1.010
(23s) phi_loss: -4126.753,  theta_loss: 3364.085,  ess: 1.011
(23s) phi_loss: -4063.221,  theta_loss: 3295.658,  ess: 1.011
(23s) phi_loss: -4005.496,  theta_loss: 3234.043,  ess: 1.012
(23s) phi_loss: -3930.659,  theta_loss: 3150.554,  ess: 1.010
(23s) phi_loss: -3869.792,  theta_loss: 3085.143,  ess: 1.011
(17s) phi_loss: -3799.685,  theta_loss: 3006.608,  ess: 1.011
