(122s) phi_loss: -55.082,  theta_loss: 27158.125,  ess: 1.344
(127s) phi_loss: -270.858,  theta_loss: 4809.818,  ess: 1.889
(127s) phi_loss: -329.118,  theta_loss: 2401.262,  ess: 2.081
(127s) phi_loss: -357.910,  theta_loss: 1732.765,  ess: 2.114
(123s) phi_loss: -376.503,  theta_loss: 1561.349,  ess: 2.145
(126s) phi_loss: -389.854,  theta_loss: 1495.255,  ess: 2.222
(122s) phi_loss: -404.868,  theta_loss: 1425.456,  ess: 2.248
(125s) phi_loss: -413.329,  theta_loss: 1416.876,  ess: 2.312
(125s) phi_loss: -424.229,  theta_loss: 1377.487,  ess: 2.331
(121s) phi_loss: -431.800,  theta_loss: 1394.914,  ess: 2.349
(125s) phi_loss: -437.158,  theta_loss: 1400.413,  ess: 2.383
(126s) phi_loss: -445.398,  theta_loss: 1338.815,  ess: 2.406
(124s) phi_loss: -447.697,  theta_loss: 1339.430,  ess: 2.431
(128s) phi_loss: -453.359,  theta_loss: 1320.418,  ess: 2.437
(125s) phi_loss: -453.145,  theta_loss: 1284.649,  ess: 2.434
(124s) phi_loss: -443.137,  theta_loss: 1167.796,  ess: 2.383
(121s) phi_loss: -451.227,  theta_loss: 973.253,  ess: 2.476
(118s) phi_loss: -467.178,  theta_loss: 920.207,  ess: 2.529
(118s) phi_loss: -479.245,  theta_loss: 887.266,  ess: 2.600
(120s) phi_loss: -487.587,  theta_loss: 859.891,  ess: 2.647
(124s) phi_loss: -495.914,  theta_loss: 844.849,  ess: 2.701
(123s) phi_loss: -507.096,  theta_loss: 825.686,  ess: 2.769
(124s) phi_loss: -510.993,  theta_loss: 845.655,  ess: 2.775
(124s) phi_loss: -515.510,  theta_loss: 828.887,  ess: 2.891
(123s) phi_loss: -520.405,  theta_loss: 804.461,  ess: 2.880
(124s) phi_loss: -526.499,  theta_loss: 886.810,  ess: 2.894
(118s) phi_loss: -531.659,  theta_loss: 807.677,  ess: 2.949
(125s) phi_loss: -535.009,  theta_loss: 791.539,  ess: 2.980
(124s) phi_loss: -539.048,  theta_loss: 776.029,  ess: 3.024
(122s) phi_loss: -545.864,  theta_loss: 753.301,  ess: 3.062
(122s) phi_loss: -543.422,  theta_loss: 828.680,  ess: 3.031
(124s) phi_loss: -552.910,  theta_loss: 743.164,  ess: 3.152
(123s) phi_loss: -549.932,  theta_loss: 764.565,  ess: 3.115
(118s) phi_loss: -554.565,  theta_loss: 752.671,  ess: 3.229
(118s) phi_loss: -552.823,  theta_loss: 804.231,  ess: 3.206
(119s) phi_loss: -551.194,  theta_loss: 773.846,  ess: 3.225
(121s) phi_loss: -555.685,  theta_loss: 1161.113,  ess: 3.151
(118s) phi_loss: -558.005,  theta_loss: 740.387,  ess: 3.291
(118s) phi_loss: -559.192,  theta_loss: 761.278,  ess: 3.299
(118s) phi_loss: -559.010,  theta_loss: 747.297,  ess: 3.297
(119s) phi_loss: -559.282,  theta_loss: 757.857,  ess: 3.308
(119s) phi_loss: -561.593,  theta_loss: 753.373,  ess: 3.360
(119s) phi_loss: -555.860,  theta_loss: 813.617,  ess: 3.282
(123s) phi_loss: -561.258,  theta_loss: 838.348,  ess: 3.356
(120s) phi_loss: -563.623,  theta_loss: 775.021,  ess: 3.387
(118s) phi_loss: -567.362,  theta_loss: 749.996,  ess: 3.368
