(111s) phi_loss: 5.750,  theta_loss: 26160.721,  ess: 1.315
(111s) phi_loss: -229.936,  theta_loss: 4366.332,  ess: 1.837
(109s) phi_loss: -311.181,  theta_loss: 2518.931,  ess: 2.173
(116s) phi_loss: -340.876,  theta_loss: 1891.818,  ess: 2.258
(117s) phi_loss: -353.985,  theta_loss: 1619.498,  ess: 2.302
(117s) phi_loss: -366.677,  theta_loss: 1497.279,  ess: 2.415
(112s) phi_loss: -377.677,  theta_loss: 1413.520,  ess: 2.496
(108s) phi_loss: -388.659,  theta_loss: 1358.479,  ess: 2.586
(115s) phi_loss: -396.570,  theta_loss: 1306.105,  ess: 2.648
(117s) phi_loss: -404.039,  theta_loss: 1258.989,  ess: 2.710
(115s) phi_loss: -411.453,  theta_loss: 1207.807,  ess: 2.763
(115s) phi_loss: -417.947,  theta_loss: 1209.251,  ess: 2.790
(117s) phi_loss: -424.087,  theta_loss: 1178.789,  ess: 2.824
(113s) phi_loss: -429.364,  theta_loss: 1173.255,  ess: 2.857
(110s) phi_loss: -435.305,  theta_loss: 1165.111,  ess: 2.893
(109s) phi_loss: -442.013,  theta_loss: 1152.422,  ess: 2.937
(108s) phi_loss: -447.072,  theta_loss: 1123.682,  ess: 2.956
(113s) phi_loss: -454.554,  theta_loss: 1114.585,  ess: 3.034
(113s) phi_loss: -458.903,  theta_loss: 1100.222,  ess: 3.062
(114s) phi_loss: -463.942,  theta_loss: 1096.319,  ess: 3.097
(113s) phi_loss: -468.413,  theta_loss: 1075.221,  ess: 3.116
(117s) phi_loss: -472.726,  theta_loss: 1071.529,  ess: 3.146
(108s) phi_loss: -475.738,  theta_loss: 1070.312,  ess: 3.138
(115s) phi_loss: -480.080,  theta_loss: 1057.956,  ess: 3.156
(121s) phi_loss: -484.802,  theta_loss: 1062.346,  ess: 3.178
(119s) phi_loss: -487.631,  theta_loss: 1054.165,  ess: 3.188
(110s) phi_loss: -491.050,  theta_loss: 1049.023,  ess: 3.185
(114s) phi_loss: -495.411,  theta_loss: 1038.312,  ess: 3.237
(117s) phi_loss: -498.157,  theta_loss: 1040.486,  ess: 3.224
(117s) phi_loss: -501.908,  theta_loss: 1027.684,  ess: 3.243
(112s) phi_loss: -503.097,  theta_loss: 1021.466,  ess: 3.224
(115s) phi_loss: -506.323,  theta_loss: 1040.910,  ess: 3.243
(114s) phi_loss: -508.511,  theta_loss: 1025.744,  ess: 3.245
(114s) phi_loss: -511.276,  theta_loss: 1021.367,  ess: 3.275
(113s) phi_loss: -514.445,  theta_loss: 1012.325,  ess: 3.276
(116s) phi_loss: -516.165,  theta_loss: 1022.102,  ess: 3.290
(114s) phi_loss: -518.091,  theta_loss: 1019.229,  ess: 3.283
(114s) phi_loss: -521.196,  theta_loss: 1020.852,  ess: 3.310
(107s) phi_loss: -521.796,  theta_loss: 1016.675,  ess: 3.291
(107s) phi_loss: -525.042,  theta_loss: 1015.222,  ess: 3.335
(117s) phi_loss: -525.576,  theta_loss: 996.939,  ess: 3.308
(118s) phi_loss: -527.566,  theta_loss: 1005.565,  ess: 3.333
(116s) phi_loss: -528.468,  theta_loss: 1001.772,  ess: 3.319
(116s) phi_loss: -530.740,  theta_loss: 1004.277,  ess: 3.356
(109s) phi_loss: -532.494,  theta_loss: 993.987,  ess: 3.373
(116s) phi_loss: -533.861,  theta_loss: 1001.432,  ess: 3.363
(113s) phi_loss: -536.370,  theta_loss: 1010.999,  ess: 3.387
(117s) phi_loss: -536.559,  theta_loss: 1009.015,  ess: 3.392
(113s) phi_loss: -537.219,  theta_loss: 1001.957,  ess: 3.385
(116s) phi_loss: -538.898,  theta_loss: 1006.258,  ess: 3.411
(115s) phi_loss: -539.743,  theta_loss: 990.714,  ess: 3.414
(119s) phi_loss: -541.992,  theta_loss: 1012.690,  ess: 3.439
(118s) phi_loss: -541.587,  theta_loss: 1006.098,  ess: 3.420
(114s) phi_loss: -542.846,  theta_loss: 1002.091,  ess: 3.447
(108s) phi_loss: -544.702,  theta_loss: 1006.243,  ess: 3.466
(111s) phi_loss: -544.586,  theta_loss: 1013.054,  ess: 3.466
(111s) phi_loss: -545.142,  theta_loss: 1008.705,  ess: 3.474
(121s) phi_loss: -546.427,  theta_loss: 1009.384,  ess: 3.497
(113s) phi_loss: -547.958,  theta_loss: 998.537,  ess: 3.507
(115s) phi_loss: -548.478,  theta_loss: 993.534,  ess: 3.515
(117s) phi_loss: -548.739,  theta_loss: 1001.914,  ess: 3.520
(110s) phi_loss: -549.414,  theta_loss: 1019.023,  ess: 3.521
(116s) phi_loss: -550.993,  theta_loss: 1002.396,  ess: 3.523
(115s) phi_loss: -551.631,  theta_loss: 1007.896,  ess: 3.565
(117s) phi_loss: -551.409,  theta_loss: 1009.002,  ess: 3.555
(117s) phi_loss: -551.937,  theta_loss: 1020.187,  ess: 3.586
(118s) phi_loss: -552.707,  theta_loss: 1016.357,  ess: 3.575
(116s) phi_loss: -552.944,  theta_loss: 1022.403,  ess: 3.570
(115s) phi_loss: -554.102,  theta_loss: 1023.507,  ess: 3.601
(119s) phi_loss: -554.213,  theta_loss: 1019.304,  ess: 3.596
(116s) phi_loss: -554.583,  theta_loss: 1013.919,  ess: 3.614
(117s) phi_loss: -555.677,  theta_loss: 1023.373,  ess: 3.643
(109s) phi_loss: -555.564,  theta_loss: 1018.928,  ess: 3.625
(116s) phi_loss: -555.913,  theta_loss: 1043.059,  ess: 3.651
(116s) phi_loss: -556.443,  theta_loss: 1042.669,  ess: 3.647
(117s) phi_loss: -557.570,  theta_loss: 1037.577,  ess: 3.671
(108s) phi_loss: -557.219,  theta_loss: 1044.350,  ess: 3.678
(107s) phi_loss: -558.121,  theta_loss: 1040.667,  ess: 3.692
(107s) phi_loss: -558.448,  theta_loss: 1047.898,  ess: 3.690
(106s) phi_loss: -558.988,  theta_loss: 1045.533,  ess: 3.716
(107s) phi_loss: -559.674,  theta_loss: 1035.925,  ess: 3.709
(109s) phi_loss: -559.631,  theta_loss: 1034.567,  ess: 3.708
(117s) phi_loss: -560.248,  theta_loss: 1040.986,  ess: 3.729
(116s) phi_loss: -560.158,  theta_loss: 1067.789,  ess: 3.735
(117s) phi_loss: -560.317,  theta_loss: 1076.223,  ess: 3.747
(114s) phi_loss: -561.154,  theta_loss: 1051.647,  ess: 3.777
(112s) phi_loss: -562.037,  theta_loss: 1049.652,  ess: 3.795
(116s) phi_loss: -562.388,  theta_loss: 1047.530,  ess: 3.785
(115s) phi_loss: -562.250,  theta_loss: 1051.802,  ess: 3.784
(116s) phi_loss: -562.283,  theta_loss: 1068.314,  ess: 3.796
(117s) phi_loss: -563.337,  theta_loss: 1070.817,  ess: 3.846
(112s) phi_loss: -562.314,  theta_loss: 1075.101,  ess: 3.792
(115s) phi_loss: -562.151,  theta_loss: 1079.260,  ess: 3.799
(111s) phi_loss: -562.885,  theta_loss: 1076.124,  ess: 3.826
(112s) phi_loss: -562.820,  theta_loss: 1081.930,  ess: 3.858
(117s) phi_loss: -563.927,  theta_loss: 1079.718,  ess: 3.876
(113s) phi_loss: -563.798,  theta_loss: 1074.390,  ess: 3.880
(115s) phi_loss: -564.727,  theta_loss: 1096.925,  ess: 3.895
(117s) phi_loss: -563.175,  theta_loss: 1093.097,  ess: 3.883
(116s) phi_loss: -564.188,  theta_loss: 1102.309,  ess: 3.921
(117s) phi_loss: -563.669,  theta_loss: 1103.747,  ess: 3.905
(118s) phi_loss: -563.582,  theta_loss: 1098.230,  ess: 3.909
(118s) phi_loss: -563.972,  theta_loss: 1106.201,  ess: 3.940
(118s) phi_loss: -563.790,  theta_loss: 1100.755,  ess: 3.934
(107s) phi_loss: -565.971,  theta_loss: 1109.370,  ess: 4.149
(113s) phi_loss: -566.068,  theta_loss: 1117.687,  ess: 4.127
(113s) phi_loss: -566.425,  theta_loss: 1123.925,  ess: 4.129
(115s) phi_loss: -566.582,  theta_loss: 1104.019,  ess: 4.156
(114s) phi_loss: -578.148,  theta_loss: 972.308,  ess: 3.891
(114s) phi_loss: -581.578,  theta_loss: 967.083,  ess: 3.917
(114s) phi_loss: -584.722,  theta_loss: 962.168,  ess: 3.915
(113s) phi_loss: -586.820,  theta_loss: 958.055,  ess: 3.933
(113s) phi_loss: -588.540,  theta_loss: 954.537,  ess: 3.930
(113s) phi_loss: -589.708,  theta_loss: 955.257,  ess: 3.980
(113s) phi_loss: -591.773,  theta_loss: 944.283,  ess: 3.976
(113s) phi_loss: -592.887,  theta_loss: 952.565,  ess: 3.994
(109s) phi_loss: -594.619,  theta_loss: 960.665,  ess: 4.011
(112s) phi_loss: -594.656,  theta_loss: 958.344,  ess: 4.035
(107s) phi_loss: -596.852,  theta_loss: 948.562,  ess: 4.004
(111s) phi_loss: -598.092,  theta_loss: 938.802,  ess: 4.021
(110s) phi_loss: -599.079,  theta_loss: 940.029,  ess: 4.022
(107s) phi_loss: -600.402,  theta_loss: 937.892,  ess: 3.992
(107s) phi_loss: -601.103,  theta_loss: 939.226,  ess: 4.045
(111s) phi_loss: -602.790,  theta_loss: 930.515,  ess: 4.042
(113s) phi_loss: -602.527,  theta_loss: 931.965,  ess: 4.060
(111s) phi_loss: -602.957,  theta_loss: 929.402,  ess: 4.082
(113s) phi_loss: -604.596,  theta_loss: 928.299,  ess: 4.077
(113s) phi_loss: -604.221,  theta_loss: 932.844,  ess: 4.105
(113s) phi_loss: -604.728,  theta_loss: 926.001,  ess: 4.115
(114s) phi_loss: -605.623,  theta_loss: 929.889,  ess: 4.109
(114s) phi_loss: -606.047,  theta_loss: 932.251,  ess: 4.134
(114s) phi_loss: -606.006,  theta_loss: 927.368,  ess: 4.144
(113s) phi_loss: -606.464,  theta_loss: 930.432,  ess: 4.155
(114s) phi_loss: -607.415,  theta_loss: 927.527,  ess: 4.120
(114s) phi_loss: -606.640,  theta_loss: 916.371,  ess: 4.163
(113s) phi_loss: -608.198,  theta_loss: 917.067,  ess: 4.136
(113s) phi_loss: -606.987,  theta_loss: 923.498,  ess: 4.176
(110s) phi_loss: -607.602,  theta_loss: 920.845,  ess: 4.163
(113s) phi_loss: -607.883,  theta_loss: 922.190,  ess: 4.160
(113s) phi_loss: -607.883,  theta_loss: 922.668,  ess: 4.200
(113s) phi_loss: -607.289,  theta_loss: 937.004,  ess: 4.205
(113s) phi_loss: -607.613,  theta_loss: 927.063,  ess: 4.199
(113s) phi_loss: -608.545,  theta_loss: 922.691,  ess: 4.187
(109s) phi_loss: -608.390,  theta_loss: 913.534,  ess: 4.195
(107s) phi_loss: -609.793,  theta_loss: 909.352,  ess: 4.195
(107s) phi_loss: -608.956,  theta_loss: 918.698,  ess: 4.198
(110s) phi_loss: -608.356,  theta_loss: 920.167,  ess: 4.238
(113s) phi_loss: -609.603,  theta_loss: 920.650,  ess: 4.172
(113s) phi_loss: -608.350,  theta_loss: 920.577,  ess: 4.207
(111s) phi_loss: -608.412,  theta_loss: 932.053,  ess: 4.228
(113s) phi_loss: -608.902,  theta_loss: 919.946,  ess: 4.227
(113s) phi_loss: -609.050,  theta_loss: 919.764,  ess: 4.227
(113s) phi_loss: -607.504,  theta_loss: 919.888,  ess: 4.237
(113s) phi_loss: -608.562,  theta_loss: 921.241,  ess: 4.241
(114s) phi_loss: -607.236,  theta_loss: 933.457,  ess: 4.225
(107s) phi_loss: -608.415,  theta_loss: 923.299,  ess: 4.234
(106s) phi_loss: -607.070,  theta_loss: 927.684,  ess: 4.245
(105s) phi_loss: -607.888,  theta_loss: 918.896,  ess: 4.242
(106s) phi_loss: -606.703,  theta_loss: 917.603,  ess: 4.249
(106s) phi_loss: -607.255,  theta_loss: 913.990,  ess: 4.233
(106s) phi_loss: -605.553,  theta_loss: 939.698,  ess: 4.268
(106s) phi_loss: -605.414,  theta_loss: 933.805,  ess: 4.284
(106s) phi_loss: -606.039,  theta_loss: 935.651,  ess: 4.266
(106s) phi_loss: -606.759,  theta_loss: 934.658,  ess: 4.274
(106s) phi_loss: -606.085,  theta_loss: 935.861,  ess: 4.265
(108s) phi_loss: -606.796,  theta_loss: 921.451,  ess: 4.265
(110s) phi_loss: -605.761,  theta_loss: 928.011,  ess: 4.271
(107s) phi_loss: -606.205,  theta_loss: 922.091,  ess: 4.253
(109s) phi_loss: -604.603,  theta_loss: 937.720,  ess: 4.276
(113s) phi_loss: -605.913,  theta_loss: 923.685,  ess: 4.278
(113s) phi_loss: -605.296,  theta_loss: 919.718,  ess: 4.292
(113s) phi_loss: -604.993,  theta_loss: 920.780,  ess: 4.276
(114s) phi_loss: -604.716,  theta_loss: 923.795,  ess: 4.288
(109s) phi_loss: -604.467,  theta_loss: 935.865,  ess: 4.256
(111s) phi_loss: -605.064,  theta_loss: 926.697,  ess: 4.276
(114s) phi_loss: -602.876,  theta_loss: 939.346,  ess: 4.295
(110s) phi_loss: -603.609,  theta_loss: 927.274,  ess: 4.273
(111s) phi_loss: -603.726,  theta_loss: 927.411,  ess: 4.308
(114s) phi_loss: -602.602,  theta_loss: 931.003,  ess: 4.299
(112s) phi_loss: -601.826,  theta_loss: 938.308,  ess: 4.293
(107s) phi_loss: -601.696,  theta_loss: 934.474,  ess: 4.295
(107s) phi_loss: -602.862,  theta_loss: 923.841,  ess: 4.282
(114s) phi_loss: -602.761,  theta_loss: 936.586,  ess: 4.298
(112s) phi_loss: -603.107,  theta_loss: 935.169,  ess: 4.312
(112s) phi_loss: -602.116,  theta_loss: 923.424,  ess: 4.266
(114s) phi_loss: -601.254,  theta_loss: 923.665,  ess: 4.295
(108s) phi_loss: -601.301,  theta_loss: 940.546,  ess: 4.288
(112s) phi_loss: -602.040,  theta_loss: 931.946,  ess: 4.309
(114s) phi_loss: -602.160,  theta_loss: 925.803,  ess: 4.309
(109s) phi_loss: -602.755,  theta_loss: 944.565,  ess: 4.293
(114s) phi_loss: -601.603,  theta_loss: 931.036,  ess: 4.303
(114s) phi_loss: -599.475,  theta_loss: 949.061,  ess: 4.324
(114s) phi_loss: -600.034,  theta_loss: 938.452,  ess: 4.313
(110s) phi_loss: -599.961,  theta_loss: 931.486,  ess: 4.294
(108s) phi_loss: -600.069,  theta_loss: 944.292,  ess: 4.320
(113s) phi_loss: -600.361,  theta_loss: 934.892,  ess: 4.301
