(118s) phi_loss: -32.393,  theta_loss: 23756.412,  ess: 1.412
(118s) phi_loss: -326.528,  theta_loss: 4574.971,  ess: 1.943
(120s) phi_loss: -432.931,  theta_loss: 2748.864,  ess: 2.203
(119s) phi_loss: -473.983,  theta_loss: 2096.218,  ess: 2.242
(117s) phi_loss: -496.701,  theta_loss: 1927.528,  ess: 2.268
(120s) phi_loss: -510.869,  theta_loss: 1824.382,  ess: 2.299
(121s) phi_loss: -521.751,  theta_loss: 1720.595,  ess: 2.326
(120s) phi_loss: -532.877,  theta_loss: 1642.981,  ess: 2.349
(119s) phi_loss: -541.645,  theta_loss: 1592.418,  ess: 2.385
(115s) phi_loss: -546.639,  theta_loss: 1524.215,  ess: 2.405
(114s) phi_loss: -554.954,  theta_loss: 1418.592,  ess: 2.422
(115s) phi_loss: -560.579,  theta_loss: 1300.339,  ess: 2.483
(118s) phi_loss: -574.360,  theta_loss: 1219.253,  ess: 2.524
(119s) phi_loss: -584.915,  theta_loss: 1175.806,  ess: 2.580
(117s) phi_loss: -589.678,  theta_loss: 1206.575,  ess: 2.645
(116s) phi_loss: -599.747,  theta_loss: 1159.355,  ess: 2.694
(116s) phi_loss: -614.335,  theta_loss: 1105.223,  ess: 2.756
(116s) phi_loss: -616.419,  theta_loss: 1089.220,  ess: 2.772
(116s) phi_loss: -621.171,  theta_loss: 1196.201,  ess: 2.814
(115s) phi_loss: -627.362,  theta_loss: 1108.363,  ess: 2.823
(114s) phi_loss: -630.649,  theta_loss: 1117.827,  ess: 2.836
(115s) phi_loss: -641.832,  theta_loss: 1079.239,  ess: 3.051
(116s) phi_loss: -644.077,  theta_loss: 1031.203,  ess: 2.996
(117s) phi_loss: -642.739,  theta_loss: 1078.246,  ess: 3.018
(116s) phi_loss: -649.082,  theta_loss: 1037.034,  ess: 3.088
(116s) phi_loss: -650.398,  theta_loss: 1309.557,  ess: 3.084
(116s) phi_loss: -647.156,  theta_loss: 1111.698,  ess: 3.056
(114s) phi_loss: -657.034,  theta_loss: 1032.523,  ess: 3.159
(114s) phi_loss: -653.709,  theta_loss: 1121.118,  ess: 3.133
(117s) phi_loss: -659.866,  theta_loss: 1036.445,  ess: 3.253
(118s) phi_loss: -654.021,  theta_loss: 1238.485,  ess: 3.157
(117s) phi_loss: -655.628,  theta_loss: 1082.447,  ess: 3.205
(118s) phi_loss: -662.058,  theta_loss: 1057.255,  ess: 3.250
(118s) phi_loss: -659.403,  theta_loss: 1045.394,  ess: 3.277
(116s) phi_loss: -663.818,  theta_loss: 1259.241,  ess: 3.194
(119s) phi_loss: -665.160,  theta_loss: 1025.349,  ess: 3.368
(116s) phi_loss: -667.813,  theta_loss: 1032.867,  ess: 3.312
(115s) phi_loss: -666.440,  theta_loss: 1037.687,  ess: 3.354
(117s) phi_loss: -670.482,  theta_loss: 1080.555,  ess: 3.385
(117s) phi_loss: -671.026,  theta_loss: 1257.839,  ess: 3.337
(120s) phi_loss: -672.008,  theta_loss: 1438.016,  ess: 3.193
(117s) phi_loss: -667.230,  theta_loss: 1041.279,  ess: 3.323
(118s) phi_loss: -672.189,  theta_loss: 989.497,  ess: 3.426
(117s) phi_loss: -673.086,  theta_loss: 1061.208,  ess: 3.336
(120s) phi_loss: -676.694,  theta_loss: 981.570,  ess: 3.413
(118s) phi_loss: -674.139,  theta_loss: 1551.204,  ess: 3.272
(119s) phi_loss: -671.602,  theta_loss: 998.065,  ess: 3.391
(119s) phi_loss: -669.267,  theta_loss: 1127.135,  ess: 3.332
(118s) phi_loss: -671.923,  theta_loss: 1162.396,  ess: 3.299
(115s) phi_loss: -680.839,  theta_loss: 998.797,  ess: 3.499
(115s) phi_loss: -678.094,  theta_loss: 996.447,  ess: 3.419
(115s) phi_loss: -676.768,  theta_loss: 995.787,  ess: 3.426
(118s) phi_loss: -675.500,  theta_loss: 1728.081,  ess: 3.171
(117s) phi_loss: -676.365,  theta_loss: 1053.231,  ess: 3.488
(117s) phi_loss: -676.503,  theta_loss: 1015.076,  ess: 3.474
(119s) phi_loss: -674.603,  theta_loss: 1031.005,  ess: 3.417
(117s) phi_loss: -673.473,  theta_loss: 1043.997,  ess: 3.406
(116s) phi_loss: -678.214,  theta_loss: 1018.542,  ess: 3.524
(119s) phi_loss: -675.179,  theta_loss: 1079.413,  ess: 3.400
(118s) phi_loss: -678.251,  theta_loss: 1111.918,  ess: 3.452
(117s) phi_loss: -682.119,  theta_loss: 1011.042,  ess: 3.489
(115s) phi_loss: -678.864,  theta_loss: 1402.158,  ess: 3.310
(121s) phi_loss: -677.830,  theta_loss: 1063.143,  ess: 3.455
(118s) phi_loss: -677.477,  theta_loss: 1039.315,  ess: 3.582
(117s) phi_loss: -679.176,  theta_loss: 1148.241,  ess: 3.527
(116s) phi_loss: -681.976,  theta_loss: 1007.063,  ess: 3.481
(116s) phi_loss: -682.486,  theta_loss: 1075.498,  ess: 3.544
(117s) phi_loss: -689.985,  theta_loss: 990.028,  ess: 3.565
(119s) phi_loss: -702.193,  theta_loss: 980.362,  ess: 3.773
(120s) phi_loss: -705.994,  theta_loss: 968.764,  ess: 3.767
(121s) phi_loss: -706.089,  theta_loss: 972.971,  ess: 3.774
(120s) phi_loss: -706.510,  theta_loss: 972.488,  ess: 3.787
(120s) phi_loss: -709.333,  theta_loss: 973.276,  ess: 3.765
(121s) phi_loss: -709.351,  theta_loss: 972.750,  ess: 3.776
(121s) phi_loss: -708.525,  theta_loss: 984.071,  ess: 3.811
(120s) phi_loss: -712.677,  theta_loss: 974.087,  ess: 3.764
(119s) phi_loss: -714.971,  theta_loss: 966.835,  ess: 3.762
(119s) phi_loss: -716.003,  theta_loss: 965.271,  ess: 3.769
(117s) phi_loss: -713.570,  theta_loss: 983.232,  ess: 3.827
(121s) phi_loss: -715.903,  theta_loss: 977.161,  ess: 3.781
(121s) phi_loss: -717.770,  theta_loss: 963.485,  ess: 3.777
(119s) phi_loss: -718.788,  theta_loss: 957.537,  ess: 3.812
(116s) phi_loss: -716.139,  theta_loss: 972.508,  ess: 3.845
(121s) phi_loss: -720.206,  theta_loss: 964.023,  ess: 3.810
