(141s) phi_loss: -47.600,  theta_loss: 57425.931,  ess: 1.327
(139s) phi_loss: -273.033,  theta_loss: 42188.850,  ess: 1.549
(139s) phi_loss: -382.884,  theta_loss: 34046.287,  ess: 1.616
(140s) phi_loss: -370.795,  theta_loss: 27707.855,  ess: 1.579
(139s) phi_loss: -363.309,  theta_loss: 23567.977,  ess: 1.586
(140s) phi_loss: -364.789,  theta_loss: 20880.835,  ess: 1.535
(140s) phi_loss: -364.585,  theta_loss: 19124.162,  ess: 1.491
(141s) phi_loss: -354.706,  theta_loss: 18174.372,  ess: 1.431
(142s) phi_loss: -353.926,  theta_loss: 17684.576,  ess: 1.401
(140s) phi_loss: -367.099,  theta_loss: 18090.374,  ess: 1.417
(140s) phi_loss: -396.383,  theta_loss: 20363.467,  ess: 1.455
(140s) phi_loss: -400.991,  theta_loss: 18808.064,  ess: 1.466
(139s) phi_loss: -451.563,  theta_loss: 19380.198,  ess: 1.565
(140s) phi_loss: -521.318,  theta_loss: 18226.451,  ess: 1.647
(140s) phi_loss: -548.741,  theta_loss: 18674.922,  ess: 1.723
(140s) phi_loss: -606.548,  theta_loss: 29926.286,  ess: 1.804
(140s) phi_loss: -641.770,  theta_loss: 19677.847,  ess: 1.990
(139s) phi_loss: -629.022,  theta_loss: 20174.673,  ess: 1.907
(139s) phi_loss: -685.664,  theta_loss: 20952.418,  ess: 1.901
(139s) phi_loss: -731.125,  theta_loss: 19554.139,  ess: 2.181
(140s) phi_loss: -775.733,  theta_loss: 18302.203,  ess: 2.148
(139s) phi_loss: -800.966,  theta_loss: 17834.347,  ess: 2.367
(139s) phi_loss: -817.366,  theta_loss: 17583.428,  ess: 2.345
(140s) phi_loss: -847.935,  theta_loss: 16922.213,  ess: 2.594
(140s) phi_loss: -845.363,  theta_loss: 16898.614,  ess: 2.850
(139s) phi_loss: -860.758,  theta_loss: 16533.001,  ess: 2.928
(141s) phi_loss: -837.662,  theta_loss: 16487.647,  ess: 3.055
(141s) phi_loss: -801.657,  theta_loss: 16668.339,  ess: 3.006
(142s) phi_loss: -784.924,  theta_loss: 16578.621,  ess: 2.780
(143s) phi_loss: -767.722,  theta_loss: 16487.302,  ess: 2.824
(143s) phi_loss: -749.556,  theta_loss: 17114.199,  ess: 2.886
(143s) phi_loss: -740.274,  theta_loss: 17031.857,  ess: 2.969
(143s) phi_loss: -732.730,  theta_loss: 17272.878,  ess: 3.113
(143s) phi_loss: -720.286,  theta_loss: 17421.855,  ess: 3.170
(143s) phi_loss: -713.788,  theta_loss: 17381.873,  ess: 3.244
(143s) phi_loss: -707.130,  theta_loss: 17755.050,  ess: 3.141
(143s) phi_loss: -702.675,  theta_loss: 17942.407,  ess: 3.240
(143s) phi_loss: -700.027,  theta_loss: 17926.538,  ess: 3.224
(143s) phi_loss: -690.661,  theta_loss: 18155.700,  ess: 3.275
(143s) phi_loss: -688.474,  theta_loss: 17757.342,  ess: 3.522
(143s) phi_loss: -681.251,  theta_loss: 18079.715,  ess: 3.525
(144s) phi_loss: -677.990,  theta_loss: 17851.418,  ess: 3.563
(144s) phi_loss: -675.384,  theta_loss: 18172.823,  ess: 3.553
(143s) phi_loss: -675.786,  theta_loss: 17998.304,  ess: 3.601
(143s) phi_loss: -678.121,  theta_loss: 18089.567,  ess: 3.665
(143s) phi_loss: -677.596,  theta_loss: 18090.555,  ess: 3.669
(143s) phi_loss: -680.104,  theta_loss: 18152.436,  ess: 3.723
(144s) phi_loss: -674.923,  theta_loss: 17659.981,  ess: 3.668
(143s) phi_loss: -674.196,  theta_loss: 17848.342,  ess: 3.771
(144s) phi_loss: -675.133,  theta_loss: 18205.336,  ess: 3.751
(143s) phi_loss: -671.467,  theta_loss: 18134.776,  ess: 3.708
(143s) phi_loss: -673.791,  theta_loss: 18254.602,  ess: 3.770
(143s) phi_loss: -671.215,  theta_loss: 18327.748,  ess: 3.763
(144s) phi_loss: -673.335,  theta_loss: 18245.111,  ess: 3.816
(143s) phi_loss: -676.853,  theta_loss: 18215.156,  ess: 3.788
(143s) phi_loss: -675.082,  theta_loss: 17838.780,  ess: 3.799
(143s) phi_loss: -676.429,  theta_loss: 18211.800,  ess: 3.807
(144s) phi_loss: -680.141,  theta_loss: 17984.183,  ess: 3.857
(144s) phi_loss: -673.473,  theta_loss: 17978.081,  ess: 3.724
(144s) phi_loss: -680.855,  theta_loss: 17899.992,  ess: 3.821
(143s) phi_loss: -679.924,  theta_loss: 18233.176,  ess: 3.789
(143s) phi_loss: -684.293,  theta_loss: 18134.409,  ess: 3.821
(143s) phi_loss: -685.151,  theta_loss: 18172.722,  ess: 3.812
(144s) phi_loss: -687.458,  theta_loss: 18246.128,  ess: 3.853
(143s) phi_loss: -689.541,  theta_loss: 18073.315,  ess: 3.841
(143s) phi_loss: -683.642,  theta_loss: 18388.746,  ess: 3.801
(143s) phi_loss: -685.935,  theta_loss: 18427.932,  ess: 3.792
(144s) phi_loss: -688.226,  theta_loss: 18538.062,  ess: 3.875
(143s) phi_loss: -684.485,  theta_loss: 18467.117,  ess: 3.777
(144s) phi_loss: -689.431,  theta_loss: 18241.595,  ess: 3.848
(145s) phi_loss: -684.084,  theta_loss: 18480.550,  ess: 3.831
(144s) phi_loss: -685.221,  theta_loss: 18437.432,  ess: 3.828
(144s) phi_loss: -691.322,  theta_loss: 18219.402,  ess: 3.850
(144s) phi_loss: -684.754,  theta_loss: 18552.821,  ess: 3.787
(143s) phi_loss: -690.307,  theta_loss: 18369.596,  ess: 3.855
(144s) phi_loss: -692.475,  theta_loss: 18127.040,  ess: 3.858
(143s) phi_loss: -690.378,  theta_loss: 18419.999,  ess: 3.882
(143s) phi_loss: -683.543,  theta_loss: 18198.269,  ess: 3.852
(143s) phi_loss: -690.316,  theta_loss: 18356.868,  ess: 3.884
(144s) phi_loss: -688.741,  theta_loss: 18437.269,  ess: 3.839
(143s) phi_loss: -692.817,  theta_loss: 18532.556,  ess: 3.863
(144s) phi_loss: -688.502,  theta_loss: 18329.398,  ess: 3.851
(143s) phi_loss: -688.370,  theta_loss: 18276.120,  ess: 3.845
(143s) phi_loss: -686.214,  theta_loss: 18563.714,  ess: 3.798
(144s) phi_loss: -689.742,  theta_loss: 18522.626,  ess: 3.832
(144s) phi_loss: -691.017,  theta_loss: 18323.782,  ess: 3.859
(143s) phi_loss: -686.001,  theta_loss: 18521.326,  ess: 3.840
(143s) phi_loss: -689.339,  theta_loss: 18396.158,  ess: 3.904
(144s) phi_loss: -691.410,  theta_loss: 18487.965,  ess: 3.881
(143s) phi_loss: -692.235,  theta_loss: 18523.124,  ess: 3.856
(144s) phi_loss: -695.306,  theta_loss: 18449.989,  ess: 3.881
(143s) phi_loss: -692.488,  theta_loss: 18172.250,  ess: 3.848
(144s) phi_loss: -682.985,  theta_loss: 18329.685,  ess: 3.803
(144s) phi_loss: -687.282,  theta_loss: 18475.937,  ess: 3.859
(143s) phi_loss: -693.119,  theta_loss: 18474.600,  ess: 3.855
(143s) phi_loss: -690.651,  theta_loss: 18594.287,  ess: 3.899
(144s) phi_loss: -689.728,  theta_loss: 18298.811,  ess: 3.861
(143s) phi_loss: -691.010,  theta_loss: 18667.833,  ess: 3.861
(143s) phi_loss: -685.029,  theta_loss: 18411.875,  ess: 3.803
(144s) phi_loss: -689.740,  theta_loss: 18368.138,  ess: 3.852
(144s) phi_loss: -693.717,  theta_loss: 18509.172,  ess: 3.921
(144s) phi_loss: -689.936,  theta_loss: 18852.657,  ess: 3.902
(143s) phi_loss: -693.051,  theta_loss: 18576.414,  ess: 3.916
(144s) phi_loss: -690.716,  theta_loss: 18490.318,  ess: 3.886
(144s) phi_loss: -693.392,  theta_loss: 18341.116,  ess: 3.920
(143s) phi_loss: -691.053,  theta_loss: 18612.601,  ess: 3.879
(144s) phi_loss: -689.082,  theta_loss: 18565.418,  ess: 3.886
(144s) phi_loss: -690.774,  theta_loss: 18567.335,  ess: 3.924
(143s) phi_loss: -689.913,  theta_loss: 18751.656,  ess: 3.894
(144s) phi_loss: -688.245,  theta_loss: 18428.373,  ess: 3.848
(144s) phi_loss: -693.278,  theta_loss: 18323.774,  ess: 3.897
(144s) phi_loss: -695.101,  theta_loss: 18498.778,  ess: 3.881
(143s) phi_loss: -696.506,  theta_loss: 18569.172,  ess: 3.887
(143s) phi_loss: -693.573,  theta_loss: 18607.354,  ess: 3.881
(144s) phi_loss: -693.434,  theta_loss: 18567.680,  ess: 3.901
(143s) phi_loss: -693.196,  theta_loss: 18566.125,  ess: 3.879
(144s) phi_loss: -697.486,  theta_loss: 18690.965,  ess: 3.955
(144s) phi_loss: -695.154,  theta_loss: 18990.280,  ess: 3.875
(144s) phi_loss: -696.881,  theta_loss: 18713.961,  ess: 3.891
(144s) phi_loss: -695.864,  theta_loss: 18751.668,  ess: 3.890
(144s) phi_loss: -702.557,  theta_loss: 18861.976,  ess: 3.944
(144s) phi_loss: -703.389,  theta_loss: 18843.752,  ess: 3.905
