(9s) phi_loss: -64623.107,  theta_loss: 64529.520,  ess: 1.001
(9s) phi_loss: -49084.461,  theta_loss: 48887.058,  ess: 1.001
(9s) phi_loss: -37110.010,  theta_loss: 36827.306,  ess: 1.000
(9s) phi_loss: -29869.613,  theta_loss: 29536.374,  ess: 1.001
(8s) phi_loss: -25063.793,  theta_loss: 24694.055,  ess: 1.000
(9s) phi_loss: -22189.383,  theta_loss: 21794.395,  ess: 1.000
(9s) phi_loss: -20266.939,  theta_loss: 19831.340,  ess: 1.001
(9s) phi_loss: -18841.762,  theta_loss: 18377.245,  ess: 1.001
(9s) phi_loss: -17806.180,  theta_loss: 17335.560,  ess: 1.000
(9s) phi_loss: -16914.015,  theta_loss: 16415.009,  ess: 1.000
(8s) phi_loss: -15936.277,  theta_loss: 15399.492,  ess: 1.001
(8s) phi_loss: -14635.490,  theta_loss: 14074.924,  ess: 1.001
(8s) phi_loss: -13550.002,  theta_loss: 12944.078,  ess: 1.001
(9s) phi_loss: -12995.511,  theta_loss: 12335.370,  ess: 1.001
(9s) phi_loss: -12539.170,  theta_loss: 11853.245,  ess: 1.002
(8s) phi_loss: -11969.202,  theta_loss: 11273.202,  ess: 1.002
(9s) phi_loss: -11596.320,  theta_loss: 10884.827,  ess: 1.001
(9s) phi_loss: -11277.026,  theta_loss: 10537.971,  ess: 1.001
(9s) phi_loss: -10904.442,  theta_loss: 10163.582,  ess: 1.002
(9s) phi_loss: -10548.964,  theta_loss: 9820.146,  ess: 1.001
(8s) phi_loss: -10257.037,  theta_loss: 9533.126,  ess: 1.002
(8s) phi_loss: -9959.306,  theta_loss: 9233.399,  ess: 1.001
(8s) phi_loss: -9782.207,  theta_loss: 9060.850,  ess: 1.002
(9s) phi_loss: -9541.496,  theta_loss: 8816.436,  ess: 1.002
(8s) phi_loss: -9341.209,  theta_loss: 8615.274,  ess: 1.002
(9s) phi_loss: -9153.436,  theta_loss: 8438.384,  ess: 1.002
(9s) phi_loss: -8977.434,  theta_loss: 8280.652,  ess: 1.003
(9s) phi_loss: -8799.618,  theta_loss: 8106.297,  ess: 1.002
(9s) phi_loss: -8729.192,  theta_loss: 8036.797,  ess: 1.002
(9s) phi_loss: -8521.055,  theta_loss: 7822.362,  ess: 1.002
(9s) phi_loss: -8418.901,  theta_loss: 7703.468,  ess: 1.003
(9s) phi_loss: -8325.398,  theta_loss: 7620.257,  ess: 1.002
(9s) phi_loss: -8189.690,  theta_loss: 7471.384,  ess: 1.004
(9s) phi_loss: -8051.447,  theta_loss: 7330.850,  ess: 1.003
(9s) phi_loss: -7939.796,  theta_loss: 7220.325,  ess: 1.003
(9s) phi_loss: -7875.336,  theta_loss: 7157.802,  ess: 1.003
(9s) phi_loss: -7830.602,  theta_loss: 7114.412,  ess: 1.003
(8s) phi_loss: -7744.940,  theta_loss: 7026.322,  ess: 1.003
(9s) phi_loss: -7692.762,  theta_loss: 6988.100,  ess: 1.003
(9s) phi_loss: -7618.094,  theta_loss: 6915.349,  ess: 1.004
(8s) phi_loss: -7537.500,  theta_loss: 6841.498,  ess: 1.003
(9s) phi_loss: -7538.602,  theta_loss: 6841.674,  ess: 1.004
(9s) phi_loss: -7460.246,  theta_loss: 6762.978,  ess: 1.002
(9s) phi_loss: -7441.256,  theta_loss: 6744.930,  ess: 1.004
(9s) phi_loss: -7423.412,  theta_loss: 6719.834,  ess: 1.003
(9s) phi_loss: -7353.777,  theta_loss: 6645.792,  ess: 1.004
(9s) phi_loss: -7391.442,  theta_loss: 6682.574,  ess: 1.003
(9s) phi_loss: -7310.039,  theta_loss: 6591.865,  ess: 1.003
(9s) phi_loss: -7272.897,  theta_loss: 6558.263,  ess: 1.003
(8s) phi_loss: -7228.933,  theta_loss: 6519.713,  ess: 1.003
(9s) phi_loss: -7182.709,  theta_loss: 6476.201,  ess: 1.003
(9s) phi_loss: -7171.757,  theta_loss: 6466.398,  ess: 1.004
(9s) phi_loss: -7138.167,  theta_loss: 6427.886,  ess: 1.004
(9s) phi_loss: -7115.137,  theta_loss: 6397.703,  ess: 1.003
(8s) phi_loss: -7061.477,  theta_loss: 6343.306,  ess: 1.003
(9s) phi_loss: -7047.075,  theta_loss: 6342.731,  ess: 1.004
(9s) phi_loss: -7034.657,  theta_loss: 6332.222,  ess: 1.004
(8s) phi_loss: -7029.981,  theta_loss: 6324.705,  ess: 1.003
(9s) phi_loss: -7025.522,  theta_loss: 6322.213,  ess: 1.004
(8s) phi_loss: -6979.391,  theta_loss: 6262.510,  ess: 1.004
(9s) phi_loss: -6978.078,  theta_loss: 6270.022,  ess: 1.004
(9s) phi_loss: -6984.604,  theta_loss: 6277.232,  ess: 1.003
(8s) phi_loss: -6967.527,  theta_loss: 6256.106,  ess: 1.004
(9s) phi_loss: -6963.683,  theta_loss: 6249.486,  ess: 1.003
(9s) phi_loss: -6921.150,  theta_loss: 6210.585,  ess: 1.004
(8s) phi_loss: -6931.838,  theta_loss: 6221.380,  ess: 1.005
(8s) phi_loss: -6920.064,  theta_loss: 6199.780,  ess: 1.004
(8s) phi_loss: -6893.414,  theta_loss: 6168.826,  ess: 1.004
(8s) phi_loss: -6848.723,  theta_loss: 6119.997,  ess: 1.004
(8s) phi_loss: -6819.695,  theta_loss: 6085.516,  ess: 1.003
(8s) phi_loss: -6827.249,  theta_loss: 6090.227,  ess: 1.004
(9s) phi_loss: -6806.431,  theta_loss: 6070.117,  ess: 1.005
(8s) phi_loss: -6745.044,  theta_loss: 6022.893,  ess: 1.005
(8s) phi_loss: -6711.623,  theta_loss: 5993.683,  ess: 1.004
(8s) phi_loss: -6696.342,  theta_loss: 5974.923,  ess: 1.004
(8s) phi_loss: -6668.589,  theta_loss: 5941.921,  ess: 1.004
(9s) phi_loss: -6665.146,  theta_loss: 5936.466,  ess: 1.005
(8s) phi_loss: -6673.626,  theta_loss: 5949.093,  ess: 1.005
(8s) phi_loss: -6605.690,  theta_loss: 5879.396,  ess: 1.005
(8s) phi_loss: -6572.382,  theta_loss: 5850.372,  ess: 1.004
(8s) phi_loss: -6509.933,  theta_loss: 5785.039,  ess: 1.004
(9s) phi_loss: -6498.585,  theta_loss: 5773.978,  ess: 1.005
(9s) phi_loss: -6517.483,  theta_loss: 5809.672,  ess: 1.005
(8s) phi_loss: -6455.350,  theta_loss: 5744.998,  ess: 1.004
(8s) phi_loss: -6417.751,  theta_loss: 5702.954,  ess: 1.005
(8s) phi_loss: -6414.314,  theta_loss: 5694.757,  ess: 1.004
(8s) phi_loss: -6377.695,  theta_loss: 5653.659,  ess: 1.005
(8s) phi_loss: -6355.790,  theta_loss: 5634.323,  ess: 1.004
(8s) phi_loss: -6328.378,  theta_loss: 5611.791,  ess: 1.006
(8s) phi_loss: -6303.080,  theta_loss: 5582.606,  ess: 1.004
(8s) phi_loss: -6270.701,  theta_loss: 5544.248,  ess: 1.004
(8s) phi_loss: -6253.681,  theta_loss: 5517.784,  ess: 1.004
(8s) phi_loss: -6224.707,  theta_loss: 5486.685,  ess: 1.005
(8s) phi_loss: -6266.046,  theta_loss: 5525.303,  ess: 1.006
(8s) phi_loss: -6221.413,  theta_loss: 5473.884,  ess: 1.005
(8s) phi_loss: -6191.175,  theta_loss: 5444.585,  ess: 1.005
(8s) phi_loss: -6116.402,  theta_loss: 5379.395,  ess: 1.005
(9s) phi_loss: -6093.244,  theta_loss: 5353.673,  ess: 1.005
(9s) phi_loss: -6054.449,  theta_loss: 5317.262,  ess: 1.006
(8s) phi_loss: -6038.257,  theta_loss: 5301.303,  ess: 1.005
(9s) phi_loss: -6030.808,  theta_loss: 5292.198,  ess: 1.005
(8s) phi_loss: -6025.556,  theta_loss: 5277.170,  ess: 1.005
(8s) phi_loss: -5979.499,  theta_loss: 5236.484,  ess: 1.005
(9s) phi_loss: -5920.345,  theta_loss: 5181.778,  ess: 1.005
(9s) phi_loss: -5932.163,  theta_loss: 5191.940,  ess: 1.005
(9s) phi_loss: -5927.818,  theta_loss: 5186.603,  ess: 1.004
(9s) phi_loss: -5894.370,  theta_loss: 5152.403,  ess: 1.005
(8s) phi_loss: -5843.365,  theta_loss: 5093.943,  ess: 1.006
(8s) phi_loss: -5855.772,  theta_loss: 5105.199,  ess: 1.005
(8s) phi_loss: -5818.039,  theta_loss: 5064.428,  ess: 1.006
(8s) phi_loss: -5778.821,  theta_loss: 5029.492,  ess: 1.005
(8s) phi_loss: -5768.120,  theta_loss: 5021.094,  ess: 1.005
(8s) phi_loss: -5751.834,  theta_loss: 5004.599,  ess: 1.006
(9s) phi_loss: -5684.295,  theta_loss: 4937.967,  ess: 1.006
(9s) phi_loss: -5656.229,  theta_loss: 4912.567,  ess: 1.005
(9s) phi_loss: -5597.339,  theta_loss: 4854.145,  ess: 1.006
(8s) phi_loss: -5554.958,  theta_loss: 4813.871,  ess: 1.006
(8s) phi_loss: -5496.724,  theta_loss: 4757.549,  ess: 1.006
(8s) phi_loss: -5458.184,  theta_loss: 4720.949,  ess: 1.007
(8s) phi_loss: -5437.885,  theta_loss: 4703.259,  ess: 1.005
(8s) phi_loss: -5389.377,  theta_loss: 4658.385,  ess: 1.005
(8s) phi_loss: -5343.855,  theta_loss: 4607.018,  ess: 1.007
(8s) phi_loss: -5317.114,  theta_loss: 4574.504,  ess: 1.007
(8s) phi_loss: -5263.923,  theta_loss: 4521.992,  ess: 1.006
(9s) phi_loss: -5218.455,  theta_loss: 4476.225,  ess: 1.007
(9s) phi_loss: -5184.673,  theta_loss: 4443.107,  ess: 1.005
(8s) phi_loss: -5118.947,  theta_loss: 4377.912,  ess: 1.007
(9s) phi_loss: -5073.816,  theta_loss: 4331.616,  ess: 1.007
(8s) phi_loss: -5050.623,  theta_loss: 4306.188,  ess: 1.006
(8s) phi_loss: -5016.249,  theta_loss: 4271.029,  ess: 1.003
(9s) phi_loss: -4965.385,  theta_loss: 4222.924,  ess: 1.006
(8s) phi_loss: -4934.770,  theta_loss: 4192.536,  ess: 1.007
(8s) phi_loss: -4855.879,  theta_loss: 4112.533,  ess: 1.007
(8s) phi_loss: -4792.885,  theta_loss: 4048.826,  ess: 1.007
(8s) phi_loss: -4751.401,  theta_loss: 4006.681,  ess: 1.006
(8s) phi_loss: -4696.753,  theta_loss: 3950.132,  ess: 1.006
(8s) phi_loss: -4647.935,  theta_loss: 3899.752,  ess: 1.006
(8s) phi_loss: -4602.394,  theta_loss: 3855.351,  ess: 1.007
(9s) phi_loss: -4560.596,  theta_loss: 3811.505,  ess: 1.007
(8s) phi_loss: -4496.444,  theta_loss: 3748.095,  ess: 1.007
(8s) phi_loss: -4435.995,  theta_loss: 3688.170,  ess: 1.006
(8s) phi_loss: -4380.888,  theta_loss: 3630.015,  ess: 1.007
(8s) phi_loss: -4296.999,  theta_loss: 3540.259,  ess: 1.007
(8s) phi_loss: -4227.014,  theta_loss: 3468.674,  ess: 1.009
(8s) phi_loss: -4177.570,  theta_loss: 3417.122,  ess: 1.008
(8s) phi_loss: -4115.908,  theta_loss: 3353.260,  ess: 1.008
(8s) phi_loss: -4050.793,  theta_loss: 3278.202,  ess: 1.009
