(33s) phi_loss: -13150.051,  theta_loss: 12643.710,  ess: 1.004
(33s) phi_loss: -4847.366,  theta_loss: 4161.680,  ess: 1.008
(32s) phi_loss: -3823.434,  theta_loss: 3072.943,  ess: 1.009
(33s) phi_loss: -3290.272,  theta_loss: 2495.770,  ess: 1.012
(32s) phi_loss: -3019.708,  theta_loss: 2179.432,  ess: 1.013
(32s) phi_loss: -2849.007,  theta_loss: 1990.172,  ess: 1.012
(33s) phi_loss: -2721.250,  theta_loss: 1826.301,  ess: 1.014
(32s) phi_loss: -2578.814,  theta_loss: 1669.671,  ess: 1.017
(32s) phi_loss: -2488.796,  theta_loss: 1557.063,  ess: 1.017
(33s) phi_loss: -2423.783,  theta_loss: 1473.353,  ess: 1.022
(33s) phi_loss: -2368.817,  theta_loss: 1423.947,  ess: 1.022
(33s) phi_loss: -2319.768,  theta_loss: 1353.209,  ess: 1.024
(33s) phi_loss: -2279.053,  theta_loss: 1302.235,  ess: 1.027
(33s) phi_loss: -2258.449,  theta_loss: 1277.398,  ess: 1.028
(33s) phi_loss: -2232.469,  theta_loss: 1235.186,  ess: 1.030
(33s) phi_loss: -2212.342,  theta_loss: 1220.927,  ess: 1.031
(33s) phi_loss: -2209.882,  theta_loss: 1203.660,  ess: 1.034
(32s) phi_loss: -2181.043,  theta_loss: 1166.798,  ess: 1.031
(33s) phi_loss: -2169.673,  theta_loss: 1149.972,  ess: 1.035
(33s) phi_loss: -2156.141,  theta_loss: 1151.222,  ess: 1.035
(33s) phi_loss: -2152.695,  theta_loss: 1130.956,  ess: 1.034
(33s) phi_loss: -2138.513,  theta_loss: 1118.066,  ess: 1.036
(33s) phi_loss: -2139.549,  theta_loss: 1111.687,  ess: 1.035
(33s) phi_loss: -2122.860,  theta_loss: 1086.949,  ess: 1.038
(33s) phi_loss: -2121.917,  theta_loss: 1078.345,  ess: 1.041
(33s) phi_loss: -2108.486,  theta_loss: 1073.668,  ess: 1.038
(32s) phi_loss: -2107.184,  theta_loss: 1080.507,  ess: 1.040
(33s) phi_loss: -2102.571,  theta_loss: 1065.465,  ess: 1.039
(32s) phi_loss: -2103.676,  theta_loss: 1056.927,  ess: 1.040
(32s) phi_loss: -2086.608,  theta_loss: 1042.227,  ess: 1.039
(32s) phi_loss: -2082.847,  theta_loss: 1042.239,  ess: 1.038
(33s) phi_loss: -2081.957,  theta_loss: 1031.703,  ess: 1.042
(32s) phi_loss: -2077.230,  theta_loss: 1034.238,  ess: 1.046
(33s) phi_loss: -2081.953,  theta_loss: 1030.495,  ess: 1.042
(33s) phi_loss: -2075.670,  theta_loss: 1017.893,  ess: 1.042
(33s) phi_loss: -2066.360,  theta_loss: 1025.026,  ess: 1.042
(33s) phi_loss: -2075.217,  theta_loss: 1020.098,  ess: 1.043
(33s) phi_loss: -2072.470,  theta_loss: 1012.658,  ess: 1.042
(33s) phi_loss: -2059.610,  theta_loss: 1006.733,  ess: 1.046
(32s) phi_loss: -2059.851,  theta_loss: 1015.020,  ess: 1.044
(33s) phi_loss: -2059.557,  theta_loss: 1008.249,  ess: 1.045
(32s) phi_loss: -2061.294,  theta_loss: 1017.417,  ess: 1.045
(32s) phi_loss: -2047.226,  theta_loss: 995.900,  ess: 1.046
(33s) phi_loss: -2052.586,  theta_loss: 996.348,  ess: 1.048
(32s) phi_loss: -2043.768,  theta_loss: 996.462,  ess: 1.048
(33s) phi_loss: -2060.621,  theta_loss: 1012.372,  ess: 1.046
(33s) phi_loss: -2043.639,  theta_loss: 1006.405,  ess: 1.047
(33s) phi_loss: -2039.529,  theta_loss: 1003.200,  ess: 1.047
(33s) phi_loss: -2039.040,  theta_loss: 992.396,  ess: 1.047
(32s) phi_loss: -2037.318,  theta_loss: 995.277,  ess: 1.046
(32s) phi_loss: -2040.318,  theta_loss: 995.813,  ess: 1.046
(33s) phi_loss: -2055.754,  theta_loss: 1005.555,  ess: 1.046
(34s) phi_loss: -2039.276,  theta_loss: 982.418,  ess: 1.046
(32s) phi_loss: -2044.989,  theta_loss: 982.181,  ess: 1.045
(32s) phi_loss: -2039.689,  theta_loss: 978.866,  ess: 1.048
(32s) phi_loss: -2037.062,  theta_loss: 974.492,  ess: 1.048
(33s) phi_loss: -2028.302,  theta_loss: 981.985,  ess: 1.046
(33s) phi_loss: -2038.587,  theta_loss: 995.218,  ess: 1.047
(33s) phi_loss: -2027.810,  theta_loss: 974.923,  ess: 1.047
(32s) phi_loss: -2025.833,  theta_loss: 977.907,  ess: 1.049
(33s) phi_loss: -2029.348,  theta_loss: 982.318,  ess: 1.045
(32s) phi_loss: -2021.582,  theta_loss: 983.450,  ess: 1.048
(33s) phi_loss: -2030.969,  theta_loss: 989.490,  ess: 1.051
