(525s) phi_loss: -323.602,  theta_loss: 6040.590,  ess: 1.794
(524s) phi_loss: -589.954,  theta_loss: 1965.559,  ess: 2.119
(515s) phi_loss: -665.224,  theta_loss: 1761.391,  ess: 2.246
(500s) phi_loss: -751.399,  theta_loss: 1499.190,  ess: 2.497
(533s) phi_loss: -820.573,  theta_loss: 1413.500,  ess: 2.665
(499s) phi_loss: -863.152,  theta_loss: 1356.118,  ess: 2.757
(544s) phi_loss: -889.930,  theta_loss: 1310.982,  ess: 2.821
(521s) phi_loss: -912.346,  theta_loss: 1296.429,  ess: 2.871
(328s) phi_loss: -934.420,  theta_loss: 1281.588,  ess: 2.953
(336s) phi_loss: -945.661,  theta_loss: 1269.713,  ess: 2.976
(356s) phi_loss: -952.438,  theta_loss: 1259.400,  ess: 2.991
(336s) phi_loss: -957.647,  theta_loss: 1251.217,  ess: 3.015
(337s) phi_loss: -962.871,  theta_loss: 1250.581,  ess: 3.038
(335s) phi_loss: -963.502,  theta_loss: 1253.967,  ess: 3.063
(336s) phi_loss: -966.303,  theta_loss: 1245.757,  ess: 3.069
(333s) phi_loss: -968.010,  theta_loss: 1241.461,  ess: 3.096
(331s) phi_loss: -968.108,  theta_loss: 1234.533,  ess: 3.097
(337s) phi_loss: -968.595,  theta_loss: 1242.720,  ess: 3.115
(341s) phi_loss: -969.176,  theta_loss: 1238.533,  ess: 3.127
(343s) phi_loss: -967.818,  theta_loss: 1240.482,  ess: 3.142
(477s) phi_loss: -968.106,  theta_loss: 1237.421,  ess: 3.146
(599s) phi_loss: -968.833,  theta_loss: 1238.696,  ess: 3.161
(597s) phi_loss: -969.714,  theta_loss: 1229.132,  ess: 3.173
(599s) phi_loss: -966.502,  theta_loss: 1245.669,  ess: 3.191
(596s) phi_loss: -963.117,  theta_loss: 1238.016,  ess: 3.201
(593s) phi_loss: -961.875,  theta_loss: 1239.456,  ess: 3.206
(595s) phi_loss: -961.173,  theta_loss: 1240.849,  ess: 3.217
(594s) phi_loss: -959.481,  theta_loss: 1248.681,  ess: 3.232
(597s) phi_loss: -958.625,  theta_loss: 1238.452,  ess: 3.236
(407s) phi_loss: -956.113,  theta_loss: 1242.365,  ess: 3.251
(332s) phi_loss: -953.323,  theta_loss: 1243.412,  ess: 3.257
(332s) phi_loss: -951.902,  theta_loss: 1248.578,  ess: 3.269
(332s) phi_loss: -949.769,  theta_loss: 1252.699,  ess: 3.280
(332s) phi_loss: -948.259,  theta_loss: 1248.891,  ess: 3.291
(333s) phi_loss: -945.314,  theta_loss: 1262.356,  ess: 3.298
(333s) phi_loss: -945.269,  theta_loss: 1264.120,  ess: 3.300
(333s) phi_loss: -943.698,  theta_loss: 1262.416,  ess: 3.319
(332s) phi_loss: -942.066,  theta_loss: 1267.125,  ess: 3.325
(333s) phi_loss: -938.386,  theta_loss: 1263.566,  ess: 3.338
(332s) phi_loss: -940.359,  theta_loss: 1269.473,  ess: 3.351
(332s) phi_loss: -938.875,  theta_loss: 1275.664,  ess: 3.355
(332s) phi_loss: -936.788,  theta_loss: 1279.616,  ess: 3.362
(333s) phi_loss: -934.045,  theta_loss: 1274.941,  ess: 3.375
(332s) phi_loss: -931.752,  theta_loss: 1275.191,  ess: 3.384
(332s) phi_loss: -932.460,  theta_loss: 1283.064,  ess: 3.392
(333s) phi_loss: -928.226,  theta_loss: 1277.107,  ess: 3.408
(332s) phi_loss: -926.952,  theta_loss: 1288.050,  ess: 3.409
(332s) phi_loss: -926.483,  theta_loss: 1288.859,  ess: 3.418
(333s) phi_loss: -924.154,  theta_loss: 1291.861,  ess: 3.426
(421s) phi_loss: -921.695,  theta_loss: 1285.508,  ess: 3.437
(436s) phi_loss: -919.554,  theta_loss: 1289.970,  ess: 3.436
(318s) phi_loss: -917.499,  theta_loss: 1299.131,  ess: 3.445
(318s) phi_loss: -916.133,  theta_loss: 1291.019,  ess: 3.453
(318s) phi_loss: -913.293,  theta_loss: 1291.396,  ess: 3.460
(349s) phi_loss: -910.971,  theta_loss: 1297.398,  ess: 3.467
(480s) phi_loss: -910.878,  theta_loss: 1297.429,  ess: 3.474
(560s) phi_loss: -907.262,  theta_loss: 1297.960,  ess: 3.481
(530s) phi_loss: -906.505,  theta_loss: 1294.358,  ess: 3.485
(317s) phi_loss: -904.493,  theta_loss: 1304.405,  ess: 3.484
(318s) phi_loss: -901.917,  theta_loss: 1303.816,  ess: 3.497
(317s) phi_loss: -902.002,  theta_loss: 1303.897,  ess: 3.498
(317s) phi_loss: -899.570,  theta_loss: 1303.870,  ess: 3.504
(317s) phi_loss: -898.827,  theta_loss: 1302.474,  ess: 3.503
(399s) phi_loss: -896.057,  theta_loss: 1308.388,  ess: 3.511
(563s) phi_loss: -894.287,  theta_loss: 1311.798,  ess: 3.517
(523s) phi_loss: -892.346,  theta_loss: 1312.191,  ess: 3.520
