(726s) phi_loss: 270.899,  theta_loss: 19722.169,  ess: 1.272
(878s) phi_loss: 257.819,  theta_loss: 33567.054,  ess: 1.189
(824s) phi_loss: -289.705,  theta_loss: 6354.163,  ess: 1.555
(876s) phi_loss: -548.069,  theta_loss: 10578.502,  ess: 1.653
(824s) phi_loss: -493.074,  theta_loss: 3386.046,  ess: 1.913
(875s) phi_loss: -860.931,  theta_loss: 6598.761,  ess: 2.016
(821s) phi_loss: -564.518,  theta_loss: 2502.055,  ess: 2.063
(873s) phi_loss: -954.955,  theta_loss: 5069.750,  ess: 2.121
(822s) phi_loss: -589.656,  theta_loss: 2092.472,  ess: 2.096
(874s) phi_loss: -957.784,  theta_loss: 4141.841,  ess: 2.101
(821s) phi_loss: -617.373,  theta_loss: 1921.684,  ess: 2.140
(874s) phi_loss: -986.253,  theta_loss: 3643.641,  ess: 2.091
(822s) phi_loss: -649.164,  theta_loss: 1842.658,  ess: 2.193
(873s) phi_loss: -1036.696,  theta_loss: 3421.801,  ess: 2.120
(821s) phi_loss: -678.030,  theta_loss: 1788.323,  ess: 2.233
(874s) phi_loss: -1081.549,  theta_loss: 3255.330,  ess: 2.168
(820s) phi_loss: -701.506,  theta_loss: 1752.986,  ess: 2.269
(874s) phi_loss: -1122.783,  theta_loss: 3132.004,  ess: 2.191
(821s) phi_loss: -721.091,  theta_loss: 1719.454,  ess: 2.312
(873s) phi_loss: -1157.319,  theta_loss: 3043.419,  ess: 2.226
(822s) phi_loss: -737.482,  theta_loss: 1687.601,  ess: 2.335
(821s) phi_loss: -749.951,  theta_loss: 1658.670,  ess: 2.372
(873s) phi_loss: -1187.605,  theta_loss: 2954.878,  ess: 2.263
(820s) phi_loss: -762.212,  theta_loss: 1640.269,  ess: 2.400
(873s) phi_loss: -1218.664,  theta_loss: 2891.220,  ess: 2.273
(821s) phi_loss: -775.528,  theta_loss: 1600.062,  ess: 2.431
(873s) phi_loss: -1247.636,  theta_loss: 2822.359,  ess: 2.297
(820s) phi_loss: -791.788,  theta_loss: 1530.684,  ess: 2.514
(873s) phi_loss: -1263.483,  theta_loss: 2751.206,  ess: 2.355
(820s) phi_loss: -814.855,  theta_loss: 1464.433,  ess: 2.612
(874s) phi_loss: -1293.360,  theta_loss: 2644.305,  ess: 2.394
(820s) phi_loss: -839.681,  theta_loss: 1418.716,  ess: 2.706
(873s) phi_loss: -1326.514,  theta_loss: 2512.816,  ess: 2.502
(821s) phi_loss: -858.106,  theta_loss: 1407.011,  ess: 2.765
(873s) phi_loss: -1369.535,  theta_loss: 2406.949,  ess: 2.606
(819s) phi_loss: -872.589,  theta_loss: 1386.877,  ess: 2.810
(873s) phi_loss: -1408.483,  theta_loss: 2347.651,  ess: 2.691
(819s) phi_loss: -885.465,  theta_loss: 1377.978,  ess: 2.853
(872s) phi_loss: -1443.170,  theta_loss: 2303.149,  ess: 2.747
(820s) phi_loss: -896.508,  theta_loss: 1368.201,  ess: 2.887
