(278s) phi_loss: -134.648,  theta_loss: 9096.057,  ess: 1.613
(282s) phi_loss: -389.135,  theta_loss: 2451.021,  ess: 2.028
(276s) phi_loss: -421.656,  theta_loss: 1947.847,  ess: 2.061
(278s) phi_loss: -458.610,  theta_loss: 2541.579,  ess: 2.239
(280s) phi_loss: -458.349,  theta_loss: 1777.574,  ess: 2.201
(277s) phi_loss: -478.989,  theta_loss: 1682.846,  ess: 2.263
(276s) phi_loss: -520.237,  theta_loss: 1517.457,  ess: 2.418
(277s) phi_loss: -562.693,  theta_loss: 1439.893,  ess: 2.568
(279s) phi_loss: -594.584,  theta_loss: 1393.646,  ess: 2.647
(275s) phi_loss: -614.126,  theta_loss: 1347.042,  ess: 2.750
(275s) phi_loss: -630.674,  theta_loss: 1315.436,  ess: 2.849
(275s) phi_loss: -640.211,  theta_loss: 1320.498,  ess: 2.920
(275s) phi_loss: -648.204,  theta_loss: 1309.267,  ess: 2.964
(277s) phi_loss: -656.422,  theta_loss: 1276.709,  ess: 3.051
(275s) phi_loss: -662.209,  theta_loss: 1267.476,  ess: 3.077
(288s) phi_loss: -671.565,  theta_loss: 1273.045,  ess: 3.134
(289s) phi_loss: -673.262,  theta_loss: 1266.861,  ess: 3.193
(280s) phi_loss: -675.718,  theta_loss: 1261.710,  ess: 3.201
(276s) phi_loss: -680.743,  theta_loss: 1249.994,  ess: 3.270
(278s) phi_loss: -681.137,  theta_loss: 1255.792,  ess: 3.249
(278s) phi_loss: -682.413,  theta_loss: 1254.474,  ess: 3.279
(277s) phi_loss: -685.624,  theta_loss: 1240.032,  ess: 3.291
(276s) phi_loss: -691.064,  theta_loss: 1237.608,  ess: 3.368
(278s) phi_loss: -691.314,  theta_loss: 1242.115,  ess: 3.376
