(23s) phi_loss: -33394.124,  theta_loss: 33110.746,  ess: 1.004
(22s) phi_loss: -28619.968,  theta_loss: 28215.472,  ess: 1.005
(18s) phi_loss: -26747.246,  theta_loss: 26334.305,  ess: 1.006
(21s) phi_loss: -25236.896,  theta_loss: 24814.705,  ess: 1.005
(21s) phi_loss: -23277.040,  theta_loss: 22857.050,  ess: 1.005
(22s) phi_loss: -17923.121,  theta_loss: 17490.034,  ess: 1.003
(23s) phi_loss: -13803.078,  theta_loss: 13319.378,  ess: 1.004
(23s) phi_loss: -10710.434,  theta_loss: 10173.068,  ess: 1.004
(18s) phi_loss: -8147.348,  theta_loss: 7568.040,  ess: 1.005
(21s) phi_loss: -6329.968,  theta_loss: 5703.397,  ess: 1.006
(23s) phi_loss: -5516.651,  theta_loss: 4854.624,  ess: 1.008
(23s) phi_loss: -5071.165,  theta_loss: 4382.862,  ess: 1.009
(23s) phi_loss: -4781.132,  theta_loss: 4077.133,  ess: 1.009
(21s) phi_loss: -4582.899,  theta_loss: 3862.963,  ess: 1.010
(16s) phi_loss: -4424.398,  theta_loss: 3692.638,  ess: 1.010
(20s) phi_loss: -4300.293,  theta_loss: 3562.364,  ess: 1.009
(23s) phi_loss: -4214.020,  theta_loss: 3462.958,  ess: 1.010
(23s) phi_loss: -4126.753,  theta_loss: 3364.085,  ess: 1.011
(23s) phi_loss: -4063.221,  theta_loss: 3295.658,  ess: 1.011
(23s) phi_loss: -4005.496,  theta_loss: 3234.043,  ess: 1.012
(23s) phi_loss: -3930.659,  theta_loss: 3150.554,  ess: 1.010
(23s) phi_loss: -3869.792,  theta_loss: 3085.143,  ess: 1.011
(17s) phi_loss: -3799.685,  theta_loss: 3006.608,  ess: 1.011
(23s) phi_loss: -3755.699,  theta_loss: 2964.799,  ess: 1.011
(22s) phi_loss: -3710.988,  theta_loss: 2913.143,  ess: 1.010
(22s) phi_loss: -3665.026,  theta_loss: 2861.397,  ess: 1.012
(24s) phi_loss: -3629.623,  theta_loss: 2824.069,  ess: 1.012
(26s) phi_loss: -3580.250,  theta_loss: 2764.652,  ess: 1.012
(27s) phi_loss: -3543.638,  theta_loss: 2718.928,  ess: 1.012
(17s) phi_loss: -3501.622,  theta_loss: 2676.267,  ess: 1.011
(16s) phi_loss: -3471.333,  theta_loss: 2644.875,  ess: 1.013
(21s) phi_loss: -3431.349,  theta_loss: 2604.212,  ess: 1.014
(22s) phi_loss: -3392.975,  theta_loss: 2564.455,  ess: 1.014
(22s) phi_loss: -3353.668,  theta_loss: 2515.207,  ess: 1.014
(23s) phi_loss: -3315.492,  theta_loss: 2467.279,  ess: 1.015
(23s) phi_loss: -3276.683,  theta_loss: 2421.036,  ess: 1.014
(23s) phi_loss: -3233.347,  theta_loss: 2375.119,  ess: 1.014
(23s) phi_loss: -3200.138,  theta_loss: 2334.248,  ess: 1.015
(23s) phi_loss: -3151.993,  theta_loss: 2288.422,  ess: 1.016
(23s) phi_loss: -3118.428,  theta_loss: 2249.890,  ess: 1.016
(21s) phi_loss: -3083.846,  theta_loss: 2212.295,  ess: 1.016
(20s) phi_loss: -3041.700,  theta_loss: 2168.804,  ess: 1.017
(22s) phi_loss: -3009.356,  theta_loss: 2130.959,  ess: 1.016
(23s) phi_loss: -2961.816,  theta_loss: 2081.408,  ess: 1.016
(23s) phi_loss: -2921.558,  theta_loss: 2036.914,  ess: 1.017
(23s) phi_loss: -2887.057,  theta_loss: 2000.713,  ess: 1.017
(23s) phi_loss: -2851.135,  theta_loss: 1962.078,  ess: 1.016
(23s) phi_loss: -2823.884,  theta_loss: 1931.163,  ess: 1.020
(23s) phi_loss: -2797.193,  theta_loss: 1903.502,  ess: 1.020
(23s) phi_loss: -2767.192,  theta_loss: 1871.488,  ess: 1.019
(23s) phi_loss: -2737.898,  theta_loss: 1832.354,  ess: 1.019
(23s) phi_loss: -2711.214,  theta_loss: 1801.709,  ess: 1.020
(19s) phi_loss: -2690.592,  theta_loss: 1783.610,  ess: 1.021
(15s) phi_loss: -2665.655,  theta_loss: 1754.195,  ess: 1.021
(21s) phi_loss: -2642.057,  theta_loss: 1722.712,  ess: 1.021
(23s) phi_loss: -2622.707,  theta_loss: 1699.004,  ess: 1.023
(23s) phi_loss: -2602.583,  theta_loss: 1682.768,  ess: 1.021
(23s) phi_loss: -2581.230,  theta_loss: 1658.361,  ess: 1.021
(23s) phi_loss: -2561.906,  theta_loss: 1632.365,  ess: 1.022
(23s) phi_loss: -2548.466,  theta_loss: 1619.851,  ess: 1.022
(23s) phi_loss: -2533.164,  theta_loss: 1603.248,  ess: 1.023
(22s) phi_loss: -2516.351,  theta_loss: 1587.997,  ess: 1.022
(21s) phi_loss: -2504.050,  theta_loss: 1570.478,  ess: 1.023
(23s) phi_loss: -2495.378,  theta_loss: 1565.046,  ess: 1.025
(23s) phi_loss: -2476.886,  theta_loss: 1544.117,  ess: 1.024
(19s) phi_loss: -2465.489,  theta_loss: 1528.058,  ess: 1.026
(23s) phi_loss: -2453.914,  theta_loss: 1513.569,  ess: 1.024
(23s) phi_loss: -2438.597,  theta_loss: 1494.291,  ess: 1.025
(23s) phi_loss: -2428.796,  theta_loss: 1479.104,  ess: 1.026
(23s) phi_loss: -2414.988,  theta_loss: 1455.034,  ess: 1.028
(18s) phi_loss: -2404.498,  theta_loss: 1443.584,  ess: 1.029
(23s) phi_loss: -2395.746,  theta_loss: 1433.979,  ess: 1.028
(23s) phi_loss: -2385.249,  theta_loss: 1423.436,  ess: 1.027
(23s) phi_loss: -2376.064,  theta_loss: 1406.123,  ess: 1.029
(23s) phi_loss: -2371.105,  theta_loss: 1395.472,  ess: 1.029
(16s) phi_loss: -2360.714,  theta_loss: 1388.750,  ess: 1.029
(20s) phi_loss: -2351.622,  theta_loss: 1375.831,  ess: 1.029
(22s) phi_loss: -2343.834,  theta_loss: 1375.651,  ess: 1.028
(23s) phi_loss: -2334.636,  theta_loss: 1369.030,  ess: 1.031
(23s) phi_loss: -2326.195,  theta_loss: 1352.207,  ess: 1.029
(23s) phi_loss: -2319.148,  theta_loss: 1341.052,  ess: 1.031
(17s) phi_loss: -2308.854,  theta_loss: 1329.474,  ess: 1.032
(20s) phi_loss: -2304.160,  theta_loss: 1326.329,  ess: 1.032
(20s) phi_loss: -2296.597,  theta_loss: 1321.506,  ess: 1.030
(18s) phi_loss: -2293.377,  theta_loss: 1318.623,  ess: 1.033
(23s) phi_loss: -2285.038,  theta_loss: 1306.614,  ess: 1.031
(19s) phi_loss: -2282.074,  theta_loss: 1302.567,  ess: 1.034
(20s) phi_loss: -2277.635,  theta_loss: 1293.858,  ess: 1.033
(23s) phi_loss: -2271.307,  theta_loss: 1286.280,  ess: 1.031
(22s) phi_loss: -2266.982,  theta_loss: 1282.379,  ess: 1.031
(23s) phi_loss: -2260.055,  theta_loss: 1280.823,  ess: 1.032
(23s) phi_loss: -2255.152,  theta_loss: 1275.229,  ess: 1.034
(23s) phi_loss: -2252.441,  theta_loss: 1272.230,  ess: 1.031
(23s) phi_loss: -2247.517,  theta_loss: 1265.644,  ess: 1.036
(23s) phi_loss: -2243.324,  theta_loss: 1260.406,  ess: 1.036
(23s) phi_loss: -2238.360,  theta_loss: 1255.170,  ess: 1.033
(23s) phi_loss: -2234.819,  theta_loss: 1250.769,  ess: 1.035
(23s) phi_loss: -2230.371,  theta_loss: 1245.015,  ess: 1.036
(23s) phi_loss: -2223.466,  theta_loss: 1237.967,  ess: 1.034
(23s) phi_loss: -2223.608,  theta_loss: 1236.475,  ess: 1.035
(23s) phi_loss: -2219.621,  theta_loss: 1228.746,  ess: 1.035
(23s) phi_loss: -2218.723,  theta_loss: 1227.290,  ess: 1.035
(23s) phi_loss: -2215.260,  theta_loss: 1218.920,  ess: 1.035
(23s) phi_loss: -2210.468,  theta_loss: 1217.349,  ess: 1.037
(22s) phi_loss: -2205.856,  theta_loss: 1215.793,  ess: 1.033
(23s) phi_loss: -2200.146,  theta_loss: 1207.019,  ess: 1.035
(18s) phi_loss: -2193.587,  theta_loss: 1200.387,  ess: 1.037
(18s) phi_loss: -2193.560,  theta_loss: 1202.003,  ess: 1.035
(16s) phi_loss: -2189.610,  theta_loss: 1194.400,  ess: 1.036
(18s) phi_loss: -2190.569,  theta_loss: 1196.450,  ess: 1.039
(20s) phi_loss: -2186.986,  theta_loss: 1193.206,  ess: 1.035
(23s) phi_loss: -2186.383,  theta_loss: 1197.614,  ess: 1.035
(20s) phi_loss: -2185.040,  theta_loss: 1194.984,  ess: 1.038
(20s) phi_loss: -2182.034,  theta_loss: 1188.577,  ess: 1.037
(22s) phi_loss: -2179.282,  theta_loss: 1184.122,  ess: 1.036
(15s) phi_loss: -2183.484,  theta_loss: 1179.322,  ess: 1.036
(18s) phi_loss: -2175.912,  theta_loss: 1173.576,  ess: 1.037
(20s) phi_loss: -2170.978,  theta_loss: 1171.010,  ess: 1.038
(21s) phi_loss: -2168.654,  theta_loss: 1171.869,  ess: 1.036
(17s) phi_loss: -2159.909,  theta_loss: 1163.797,  ess: 1.039
(21s) phi_loss: -2162.657,  theta_loss: 1161.947,  ess: 1.038
(23s) phi_loss: -2165.880,  theta_loss: 1164.931,  ess: 1.038
(23s) phi_loss: -2159.184,  theta_loss: 1158.161,  ess: 1.037
(23s) phi_loss: -2153.988,  theta_loss: 1155.381,  ess: 1.039
(22s) phi_loss: -2154.528,  theta_loss: 1157.121,  ess: 1.038
(23s) phi_loss: -2151.638,  theta_loss: 1154.324,  ess: 1.039
(23s) phi_loss: -2147.257,  theta_loss: 1151.020,  ess: 1.041
(23s) phi_loss: -2146.671,  theta_loss: 1149.138,  ess: 1.038
(19s) phi_loss: -2141.613,  theta_loss: 1137.768,  ess: 1.041
(16s) phi_loss: -2136.913,  theta_loss: 1134.489,  ess: 1.040
(15s) phi_loss: -2137.067,  theta_loss: 1134.955,  ess: 1.043
(21s) phi_loss: -2135.950,  theta_loss: 1135.263,  ess: 1.040
(23s) phi_loss: -2134.302,  theta_loss: 1128.456,  ess: 1.038
(23s) phi_loss: -2134.465,  theta_loss: 1126.909,  ess: 1.041
(23s) phi_loss: -2127.334,  theta_loss: 1124.574,  ess: 1.041
(20s) phi_loss: -2127.518,  theta_loss: 1122.043,  ess: 1.040
(23s) phi_loss: -2121.405,  theta_loss: 1112.708,  ess: 1.041
(20s) phi_loss: -2123.455,  theta_loss: 1113.535,  ess: 1.041
(23s) phi_loss: -2118.733,  theta_loss: 1107.968,  ess: 1.042
(23s) phi_loss: -2113.938,  theta_loss: 1104.117,  ess: 1.042
(20s) phi_loss: -2112.110,  theta_loss: 1102.499,  ess: 1.043
(22s) phi_loss: -2107.311,  theta_loss: 1102.037,  ess: 1.044
(23s) phi_loss: -2110.014,  theta_loss: 1105.589,  ess: 1.045
(18s) phi_loss: -2107.737,  theta_loss: 1104.358,  ess: 1.044
(24s) phi_loss: -2103.669,  theta_loss: 1097.985,  ess: 1.043
(26s) phi_loss: -2099.924,  theta_loss: 1097.312,  ess: 1.041
(20s) phi_loss: -2099.363,  theta_loss: 1095.316,  ess: 1.043
(15s) phi_loss: -2096.916,  theta_loss: 1096.743,  ess: 1.041
(23s) phi_loss: -2097.946,  theta_loss: 1094.665,  ess: 1.043
(23s) phi_loss: -2094.958,  theta_loss: 1091.114,  ess: 1.042
(22s) phi_loss: -2093.693,  theta_loss: 1085.487,  ess: 1.047
(23s) phi_loss: -2093.112,  theta_loss: 1088.316,  ess: 1.045
(30s) phi_loss: -2090.883,  theta_loss: 1085.502,  ess: 1.043
(36s) phi_loss: -2090.169,  theta_loss: 1089.028,  ess: 1.044
(23s) phi_loss: -2086.381,  theta_loss: 1082.824,  ess: 1.046
(23s) phi_loss: -2087.394,  theta_loss: 1081.032,  ess: 1.047
(23s) phi_loss: -2083.504,  theta_loss: 1075.335,  ess: 1.045
(23s) phi_loss: -2081.011,  theta_loss: 1073.680,  ess: 1.045
(18s) phi_loss: -2081.084,  theta_loss: 1072.027,  ess: 1.047
(19s) phi_loss: -2079.830,  theta_loss: 1073.832,  ess: 1.047
(23s) phi_loss: -2078.838,  theta_loss: 1069.515,  ess: 1.047
(23s) phi_loss: -2076.111,  theta_loss: 1064.929,  ess: 1.047
(23s) phi_loss: -2072.776,  theta_loss: 1059.685,  ess: 1.048
(19s) phi_loss: -2072.996,  theta_loss: 1059.122,  ess: 1.044
(19s) phi_loss: -2073.784,  theta_loss: 1060.598,  ess: 1.044
(15s) phi_loss: -2072.385,  theta_loss: 1060.746,  ess: 1.045
(22s) phi_loss: -2069.180,  theta_loss: 1056.658,  ess: 1.047
(23s) phi_loss: -2066.508,  theta_loss: 1057.100,  ess: 1.048
(23s) phi_loss: -2065.247,  theta_loss: 1054.939,  ess: 1.047
(23s) phi_loss: -2067.173,  theta_loss: 1057.111,  ess: 1.048
(23s) phi_loss: -2060.754,  theta_loss: 1046.518,  ess: 1.046
(23s) phi_loss: -2060.477,  theta_loss: 1047.448,  ess: 1.048
(23s) phi_loss: -2058.064,  theta_loss: 1048.746,  ess: 1.046
(18s) phi_loss: -2053.794,  theta_loss: 1044.181,  ess: 1.046
(15s) phi_loss: -2059.574,  theta_loss: 1050.831,  ess: 1.045
(15s) phi_loss: -2055.236,  theta_loss: 1046.127,  ess: 1.048
(15s) phi_loss: -2054.486,  theta_loss: 1042.107,  ess: 1.047
(15s) phi_loss: -2050.536,  theta_loss: 1037.494,  ess: 1.049
(15s) phi_loss: -2051.641,  theta_loss: 1036.051,  ess: 1.050
(16s) phi_loss: -2053.821,  theta_loss: 1036.965,  ess: 1.047
(19s) phi_loss: -2049.984,  theta_loss: 1029.113,  ess: 1.049
(22s) phi_loss: -2049.730,  theta_loss: 1032.185,  ess: 1.049
(23s) phi_loss: -2048.554,  theta_loss: 1033.307,  ess: 1.048
(18s) phi_loss: -2047.973,  theta_loss: 1033.554,  ess: 1.050
(20s) phi_loss: -2045.348,  theta_loss: 1029.074,  ess: 1.049
(20s) phi_loss: -2041.712,  theta_loss: 1025.673,  ess: 1.048
(22s) phi_loss: -2042.733,  theta_loss: 1027.151,  ess: 1.047
(23s) phi_loss: -2043.888,  theta_loss: 1027.928,  ess: 1.049
(23s) phi_loss: -2039.939,  theta_loss: 1025.955,  ess: 1.047
(23s) phi_loss: -2040.805,  theta_loss: 1025.752,  ess: 1.048
(23s) phi_loss: -2037.672,  theta_loss: 1024.565,  ess: 1.046
(23s) phi_loss: -2037.580,  theta_loss: 1025.739,  ess: 1.050
(21s) phi_loss: -2037.171,  theta_loss: 1027.749,  ess: 1.049
(19s) phi_loss: -2037.521,  theta_loss: 1023.747,  ess: 1.049
(20s) phi_loss: -2035.841,  theta_loss: 1021.121,  ess: 1.050
(19s) phi_loss: -2034.230,  theta_loss: 1018.152,  ess: 1.049
(15s) phi_loss: -2029.957,  theta_loss: 1014.816,  ess: 1.049
(15s) phi_loss: -2032.945,  theta_loss: 1016.707,  ess: 1.049
(15s) phi_loss: -2031.589,  theta_loss: 1019.250,  ess: 1.048
(15s) phi_loss: -2033.267,  theta_loss: 1019.790,  ess: 1.050
(15s) phi_loss: -2027.915,  theta_loss: 1013.730,  ess: 1.049
(15s) phi_loss: -2029.010,  theta_loss: 1014.607,  ess: 1.051
