(290s) phi_loss: -295.429,  theta_loss: 7922.261,  ess: 2.312
(292s) phi_loss: -543.009,  theta_loss: 3535.884,  ess: 3.974
(296s) phi_loss: -564.041,  theta_loss: 3602.534,  ess: 3.382
(380s) phi_loss: -617.360,  theta_loss: 3514.303,  ess: 3.290
(511s) phi_loss: -590.543,  theta_loss: 3383.125,  ess: 4.750
(512s) phi_loss: -556.534,  theta_loss: 3323.874,  ess: 4.643
(511s) phi_loss: -547.305,  theta_loss: 3182.151,  ess: 4.470
(450s) phi_loss: -549.086,  theta_loss: 2920.322,  ess: 4.105
(287s) phi_loss: -562.906,  theta_loss: 2545.446,  ess: 3.742
(288s) phi_loss: -591.287,  theta_loss: 2145.123,  ess: 3.508
(291s) phi_loss: -625.799,  theta_loss: 1850.856,  ess: 3.518
(287s) phi_loss: -647.703,  theta_loss: 1667.641,  ess: 3.610
(291s) phi_loss: -660.775,  theta_loss: 1554.649,  ess: 3.703
(287s) phi_loss: -665.940,  theta_loss: 1482.368,  ess: 3.792
(287s) phi_loss: -668.067,  theta_loss: 1426.999,  ess: 3.775
(282s) phi_loss: -670.370,  theta_loss: 1386.628,  ess: 3.799
(284s) phi_loss: -671.715,  theta_loss: 1346.480,  ess: 3.787
(283s) phi_loss: -672.553,  theta_loss: 1320.651,  ess: 3.798
(286s) phi_loss: -670.515,  theta_loss: 1304.132,  ess: 3.766
(285s) phi_loss: -671.771,  theta_loss: 1282.620,  ess: 3.746
(283s) phi_loss: -671.415,  theta_loss: 1260.384,  ess: 3.768
(284s) phi_loss: -668.814,  theta_loss: 1241.429,  ess: 3.741
(285s) phi_loss: -668.732,  theta_loss: 1221.325,  ess: 3.727
(284s) phi_loss: -668.584,  theta_loss: 1207.181,  ess: 3.702
(285s) phi_loss: -668.876,  theta_loss: 1195.122,  ess: 3.710
(284s) phi_loss: -666.377,  theta_loss: 1183.835,  ess: 3.692
(285s) phi_loss: -666.307,  theta_loss: 1178.303,  ess: 3.658
(283s) phi_loss: -663.689,  theta_loss: 1175.556,  ess: 3.651
(283s) phi_loss: -663.305,  theta_loss: 1157.016,  ess: 3.638
(284s) phi_loss: -659.351,  theta_loss: 1158.466,  ess: 3.602
(283s) phi_loss: -661.413,  theta_loss: 1151.511,  ess: 3.601
(283s) phi_loss: -662.504,  theta_loss: 1137.512,  ess: 3.577
(285s) phi_loss: -660.778,  theta_loss: 1130.881,  ess: 3.568
(285s) phi_loss: -659.384,  theta_loss: 1133.436,  ess: 3.572
(281s) phi_loss: -659.005,  theta_loss: 1129.636,  ess: 3.561
(279s) phi_loss: -657.294,  theta_loss: 1125.593,  ess: 3.553
(279s) phi_loss: -655.074,  theta_loss: 1134.350,  ess: 3.551
(279s) phi_loss: -656.859,  theta_loss: 1121.154,  ess: 3.551
(279s) phi_loss: -656.949,  theta_loss: 1121.800,  ess: 3.535
(278s) phi_loss: -657.445,  theta_loss: 1127.491,  ess: 3.573
(279s) phi_loss: -656.792,  theta_loss: 1125.303,  ess: 3.592
(278s) phi_loss: -653.604,  theta_loss: 1132.819,  ess: 3.604
(278s) phi_loss: -652.703,  theta_loss: 1124.090,  ess: 3.623
(280s) phi_loss: -651.937,  theta_loss: 1118.911,  ess: 3.634
(280s) phi_loss: -650.265,  theta_loss: 1138.651,  ess: 3.631
(279s) phi_loss: -651.269,  theta_loss: 1140.590,  ess: 3.660
(278s) phi_loss: -650.224,  theta_loss: 1131.331,  ess: 3.677
(278s) phi_loss: -651.029,  theta_loss: 1121.828,  ess: 3.664
(280s) phi_loss: -651.169,  theta_loss: 1125.313,  ess: 3.664
(278s) phi_loss: -650.872,  theta_loss: 1126.662,  ess: 3.661
(278s) phi_loss: -651.468,  theta_loss: 1144.841,  ess: 3.669
(280s) phi_loss: -649.796,  theta_loss: 1148.597,  ess: 3.648
(279s) phi_loss: -649.989,  theta_loss: 1137.240,  ess: 3.634
(280s) phi_loss: -649.542,  theta_loss: 1145.144,  ess: 3.631
(280s) phi_loss: -650.239,  theta_loss: 1156.482,  ess: 3.636
(280s) phi_loss: -650.358,  theta_loss: 1174.720,  ess: 3.646
(280s) phi_loss: -648.401,  theta_loss: 1188.401,  ess: 3.632
(279s) phi_loss: -648.796,  theta_loss: 1165.625,  ess: 3.639
(280s) phi_loss: -650.361,  theta_loss: 1179.750,  ess: 3.667
(279s) phi_loss: -650.497,  theta_loss: 1182.892,  ess: 3.665
(279s) phi_loss: -648.683,  theta_loss: 1161.445,  ess: 3.634
(281s) phi_loss: -649.381,  theta_loss: 1171.915,  ess: 3.646
(281s) phi_loss: -649.817,  theta_loss: 1171.575,  ess: 3.658
(279s) phi_loss: -650.472,  theta_loss: 1173.848,  ess: 3.656
(278s) phi_loss: -649.328,  theta_loss: 1175.938,  ess: 3.643
